"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"
"1"	135	334	49	230	380
"2"	110	1208	0	201	337
"3"	385	96	124	164	278
"4"	190	383	32	227	323
"5"	134	384	8	275	250
"6"	355	332	17	149	340
"7"	363	166	282	532	320
"8"	87	10	335	549	254
"9"	278	246	110	689	584
"10"	155	56	209	630	281
"11"	311	26	244	318	295
"12"	131	1108	28	211	353
"13"	157	679	8	80	292
"14"	172	168	225	525	278
"15"	92	950	3	356	312
"16"	201	319	55	82	364
"17"	371	505	45	427	475
"18"	31	554	0	214	246
"19"	37	848	3	450	339
"20"	42	1069	17	184	279
"21"	332	222	231	606	561
"22"	54	1224	0	46	131
"23"	302	284	123	711	368
"24"	41	786	2	99	189
"25"	127	929	0	257	605
