"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"
"1"	1	0	6	85	53	33	7	79	5	0	12	18	68	0	0	28	0	0	0	27	0	0	23	0	0	8	0	24	13	28	6	30	1	34	38	28	11	2	17	1	43	28	0	0	0	0	0	0	0	38	5	1	16	2	0	36	0	0	0	21	0	0	7	0	7	0	0	0	0	20	2	1	0	4	0	62	107	0	60	35	0	11	29	0	0	3	0	3	51	10	0	0	0	0	0	0	3	51	2	55	17	0	4	0	0	21	64	2	24	7	0	0	27	0	0	0	41	0	36	0
"2"	10	0	20	92	54	54	63	1	0	2	1	0	0	51	8	74	0	84	0	25	0	0	2	11	0	15	0	57	17	3	0	4	0	9	5	5	0	0	9	0	2	47	0	5	0	19	0	0	7	4	0	9	8	12	16	10	0	0	0	31	5	6	7	0	1	12	0	0	0	8	3	22	0	1	0	4	43	10	44	23	10	16	43	0	2	0	5	5	127	0	24	0	12	0	0	1	0	12	0	36	67	4	37	9	84	34	19	0	41	0	0	0	1	0	0	1	46	0	2	11
"3"	40	0	0	96	479	0	7	39	0	1	19	38	24	0	3	53	0	8	14	37	0	0	32	8	0	1	0	50	17	0	0	4	0	7	15	11	0	0	2	2	25	27	7	0	0	18	0	0	0	1	5	0	16	10	0	17	0	0	0	15	0	3	0	0	0	1	0	0	8	0	1	3	0	1	0	2	9	0	46	1	3	2	9	3	1	0	0	2	55	0	1	0	3	0	0	0	0	31	0	37	2	3	36	9	0	53	58	4	12	2	0	0	0	0	0	0	16	0	2	16
"4"	2	0	31	33	40	46	382	0	0	70	69	0	0	0	124	4	0	15	0	24	0	2	25	22	0	37	0	34	32	0	1	7	0	8	0	3	0	0	26	5	65	8	0	0	0	27	0	0	4	8	0	8	32	34	0	11	0	0	0	11	0	1	0	0	14	0	0	0	0	6	1	0	0	4	0	0	70	0	33	7	11	37	2	0	0	0	0	0	37	0	15	0	17	0	0	0	6	13	0	14	6	0	3	0	0	41	14	1	63	0	0	0	44	0	7	1	39	0	9	0
"5"	0	8	4	19	19	5	0	631	0	1	138	20	45	0	0	21	0	1	3	26	0	0	36	1	0	6	0	43	13	7	0	11	0	33	2	6	0	0	8	2	93	1	0	0	0	1	0	0	1	4	0	48	11	26	0	2	0	0	0	30	0	55	0	3	0	17	0	0	7	0	0	8	0	0	0	0	7	0	74	10	17	29	0	1	0	0	0	0	7	0	0	0	30	0	0	0	0	0	2	23	2	26	22	0	0	12	1	0	27	0	1	0	10	0	0	0	118	0	1	1
"6"	0	0	29	144	36	6	183	0	2	2	0	5	27	2	25	5	0	1	8	17	0	0	16	5	0	9	0	10	13	2	0	21	0	9	5	0	0	0	10	2	58	3	7	0	0	0	0	0	0	7	0	3	2	10	0	10	0	0	0	24	0	2	1	0	1	11	0	0	0	0	1	0	0	1	2	0	29	8	10	7	3	21	0	0	1	0	0	12	50	0	0	0	21	0	0	0	0	16	0	21	24	0	10	7	0	21	10	0	1	4	0	0	30	43	2	1	6	0	24	0
"7"	0	0	20	170	299	9	6	11	0	2	1	6	0	0	0	4	0	3	0	21	0	0	15	0	0	11	0	22	16	0	0	0	0	2	0	1	0	0	0	0	4	0	0	33	0	0	0	0	0	20	0	7	0	26	0	14	0	0	0	0	0	1	0	8	2	0	6	0	0	0	0	6	0	0	0	0	1	0	47	6	4	36	25	0	0	0	0	0	3	0	0	0	15	0	0	0	0	4	6	6	0	9	15	9	1	2	12	0	40	0	2	18	3	0	0	0	0	0	5	0
"8"	2	0	44	15	1	48	0	219	0	30	3	17	50	0	225	2	0	31	0	50	0	0	44	3	0	9	0	21	55	0	0	1	0	41	1	17	0	0	23	1	94	5	2	0	0	0	0	0	5	6	0	13	6	3	4	11	0	0	0	4	0	4	0	0	16	0	1	15	2	0	22	4	0	0	0	10	31	0	17	57	7	33	2	0	3	0	0	1	79	0	5	0	9	4	0	0	1	1	0	27	0	0	6	18	0	67	5	0	37	0	18	0	6	0	0	0	11	0	3	2
"9"	6	0	0	3	7	0	0	411	10	0	0	16	23	0	0	3	0	33	0	3	0	4	0	19	0	10	0	22	9	0	0	0	0	5	1	5	0	0	2	0	27	3	0	0	0	5	0	0	5	1	0	0	21	5	0	0	0	0	1	3	0	0	0	0	5	0	0	0	0	11	0	0	0	1	0	1	8	0	21	31	20	24	20	0	0	6	0	10	13	0	0	0	20	0	0	0	3	0	4	16	3	0	22	1	0	44	28	0	3	0	9	13	8	0	0	0	8	0	1	0
"10"	0	0	101	28	56	35	41	18	14	2	0	174	45	0	0	1	0	12	0	21	0	0	2	0	0	9	0	61	23	0	0	0	0	18	2	6	0	0	0	8	22	8	0	4	0	0	0	2	2	31	0	6	1	45	0	0	0	0	0	4	3	3	0	0	0	0	0	0	0	2	0	3	0	6	0	0	3	1	18	3	3	17	16	0	8	0	2	5	36	0	2	0	15	0	0	0	5	0	17	19	1	0	38	2	0	29	4	9	37	0	0	0	28	0	10	0	2	0	30	0
"11"	0	13	0	23	106	0	61	4	0	7	0	5	10	2	1	20	12	20	1	28	0	0	33	1	0	1	0	67	16	0	0	0	0	10	18	12	1	1	7	0	68	44	0	4	0	2	0	0	0	21	1	9	16	0	0	22	0	0	0	4	4	8	0	0	4	0	0	0	0	6	0	12	0	11	0	0	28	0	56	10	23	31	7	0	4	4	0	2	105	0	0	0	7	0	5	0	1	12	1	65	16	4	0	12	0	40	28	8	5	1	0	0	28	0	0	1	14	0	42	2
"12"	18	0	20	16	8	104	77	19	0	12	0	20	12	0	0	23	0	21	0	69	0	0	19	1	0	27	0	29	122	0	0	0	0	24	0	19	5	0	2	1	56	12	0	9	0	3	0	7	0	19	11	5	0	5	2	8	0	0	0	2	0	3	0	3	3	0	2	0	0	1	0	7	0	0	0	1	16	0	75	37	3	13	1	4	0	0	0	1	58	0	1	0	12	0	0	7	14	21	6	93	0	0	22	12	0	35	31	0	16	0	3	0	11	0	0	0	10	0	15	0
"13"	17	0	48	1	13	39	210	2	6	20	3	63	17	0	19	8	2	37	8	38	0	0	27	9	0	15	0	39	50	0	0	5	0	22	0	1	0	0	0	0	13	7	0	1	0	1	1	8	0	10	10	9	0	5	25	5	0	0	0	5	0	41	0	0	1	0	0	0	0	2	8	1	0	13	0	1	22	0	30	8	4	36	12	1	0	16	0	5	50	0	0	0	10	0	0	0	2	3	0	3	24	2	35	1	0	42	23	0	8	0	1	0	2	0	13	0	4	0	2	0
"14"	0	0	3	17	11	9	33	101	18	36	0	3	14	0	79	0	0	4	0	29	0	0	5	16	0	13	0	51	15	17	8	5	10	6	2	41	0	0	0	27	30	5	0	0	0	5	0	1	15	9	1	55	14	11	0	8	0	0	9	8	1	6	0	3	0	0	0	1	1	2	1	17	0	0	0	4	26	32	33	28	11	22	5	0	4	0	1	4	31	0	0	0	16	0	0	0	15	22	2	18	29	0	29	1	39	69	14	0	21	0	4	0	10	0	0	0	23	0	7	0
"15"	0	0	0	0	11	20	24	62	5	0	23	9	255	0	0	17	0	18	1	12	0	0	18	0	2	3	0	21	18	0	4	0	2	4	2	8	0	0	0	1	49	4	0	0	0	0	0	23	0	11	5	27	21	8	0	48	0	0	0	4	0	29	12	0	0	0	0	0	0	0	0	9	2	30	0	2	57	1	32	2	5	14	0	1	7	0	4	0	12	0	0	0	21	1	10	0	0	0	5	46	12	0	6	1	0	33	52	0	10	0	23	1	0	0	15	0	16	0	3	1
"16"	11	0	0	0	0	52	507	21	0	0	0	208	0	0	37	0	18	7	0	25	0	0	5	0	0	44	0	26	9	6	0	5	0	5	7	1	33	0	2	0	20	2	0	1	0	0	0	2	0	28	39	4	1	2	0	5	0	0	0	0	0	6	0	23	2	0	0	0	0	0	1	0	0	0	0	6	9	0	16	3	6	51	7	0	10	0	0	20	12	0	0	0	2	0	0	0	4	1	0	8	27	2	23	2	0	32	17	6	12	0	0	0	3	0	0	10	21	0	5	0
