"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"
"1"	138	87	566	7	344	22	0	9	102	8
"2"	358	182	735	0	26	8	0	47	65	21
"3"	194	299	411	0	86	19	0	41	13	6
"4"	472	409	341	18	15	0	32	123	7	0
"5"	196	53	40	62	1018	66	0	31	53	13
"6"	293	224	327	332	115	4	0	189	288	58
"7"	263	131	1038	13	0	2	1	144	76	20
"8"	63	10	94	48	915	71	0	31	12	13
"9"	124	88	355	8	280	77	22	24	16	19
"10"	186	79	63	24	38	3	44	612	0	27
"11"	47	1	63	0	1039	442	0	2	1	11
"12"	267	187	32	458	90	0	0	462	95	20
"13"	206	151	356	29	44	14	19	210	47	19
"14"	513	205	437	49	34	4	36	444	16	18
"15"	159	86	67	253	27	9	7	636	28	25
"16"	142	254	370	18	64	4	0	112	119	6
"17"	451	342	518	58	88	4	10	294	27	50
"18"	388	151	598	5	92	11	13	88	69	3
"19"	70	34	303	37	535	96	1	3	6	10
"20"	130	235	35	215	100	0	0	348	63	10
"21"	199	112	423	136	413	16	2	241	77	160
"22"	40	8	56	30	732	114	22	32	5	22
"23"	132	61	101	113	555	1	0	80	37	21
"24"	42	75	57	368	0	0	1	1070	194	10
"25"	229	137	683	11	30	0	0	18	3	16
"26"	264	282	967	0	155	10	4	25	35	47
"27"	122	55	64	239	5	0	2	768	140	16
"28"	291	175	389	44	76	24	44	87	21	105
"29"	428	128	713	44	58	87	40	160	85	75
"30"	212	281	319	11	3	0	6	302	38	14
"31"	311	107	728	29	300	346	1	72	11	37
"32"	213	31	915	4	58	309	108	199	35	26
"33"	241	194	357	0	371	7	0	7	3	11
"34"	392	386	247	31	158	7	6	91	125	11
"35"	93	93	34	237	0	0	0	712	56	14
"36"	212	48	750	29	0	0	10	241	49	2
"37"	253	93	484	10	13	18	12	80	30	18
"38"	299	950	75	67	2	0	0	30	24	0
"39"	236	196	327	9	158	35	32	10	0	16
"40"	194	251	476	47	93	0	0	26	49	6
"41"	42	155	32	7	900	0	0	1	0	0
"42"	295	157	568	30	41	7	2	134	22	12
"43"	60	68	237	145	949	11	0	43	163	14
"44"	332	373	142	123	49	0	0	212	85	32
"45"	28	17	47	259	67	10	1	511	111	23
"46"	282	91	337	30	269	11	1	15	9	8
"47"	431	557	145	74	128	0	0	43	21	38
"48"	455	561	244	65	360	0	0	110	15	32
"49"	99	42	875	4	0	0	1	108	83	6
"50"	59	0	26	10	904	79	0	8	1	5
