"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"
"1"	8	4	3	0	1149	5	10	0	4	2	7	0	53	0	0	21	0	8	0	38	30	36	18	9	40	7	26	0	0	16	0	18	2	27	21	13	24	0	0	3
"2"	46	72	17	17	54	0	6	0	8	0	44	0	53	0	0	86	0	12	2	22	19	75	40	52	31	17	47	0	0	27	2	50	0	75	23	7	60	2	4	34
"3"	50	50	8	37	2	0	7	0	9	0	93	13	17	0	2	136	0	21	0	68	0	63	59	23	45	1	33	0	0	24	0	122	0	43	28	2	114	0	0	3
"4"	81	132	2	14	252	1	4	0	0	0	41	2	36	0	0	105	80	2	0	56	18	206	56	19	38	43	42	4	5	73	0	148	0	100	27	12	82	0	0	36
"5"	91	20	10	6	78	0	10	0	1	0	13	1	90	1	0	48	0	14	0	43	1	107	19	29	16	4	8	20	1	94	1	91	0	52	49	2	74	9	2	9
"6"	302	1	0	162	6	2	49	0	0	0	32	0	70	10	0	65	2	28	2	32	0	129	47	12	28	3	38	1	0	44	0	106	1	101	48	6	83	0	2	4
"7"	16	32	2	0	128	2	61	11	3	1	132	0	78	0	4	66	0	52	0	85	1	122	31	44	14	2	54	3	10	23	3	67	8	192	39	2	182	2	0	26
"8"	49	6	8	0	606	164	3	11	0	0	27	0	69	8	6	47	0	71	8	47	3	124	78	11	12	33	22	0	0	60	2	70	1	161	43	9	37	2	24	0
"9"	2	163	12	535	0	0	71	0	2	0	0	0	13	0	0	43	0	11	0	10	44	9	31	37	5	9	17	1	0	6	3	32	6	34	58	6	9	0	0	7
"10"	25	23	73	0	779	11	9	0	7	0	19	0	49	0	0	37	9	13	5	52	13	102	36	18	30	41	38	3	0	33	0	141	0	48	50	14	51	3	3	30
"11"	20	2	13	0	816	25	0	0	2	0	3	0	33	0	0	26	0	49	0	15	3	40	52	9	8	21	50	3	0	52	5	39	0	73	24	5	40	127	0	0
"12"	1	43	1	0	933	0	0	0	0	0	2	0	27	0	0	20	0	34	0	21	0	45	17	1	0	1	4	0	0	5	0	12	0	26	0	2	11	0	3	0
"13"	37	92	36	8	207	0	3	6	55	3	39	1	167	0	1	41	5	38	10	61	25	176	122	73	83	13	85	0	0	34	0	87	2	284	39	7	96	0	0	53
"14"	36	82	3	21	20	0	60	0	0	0	40	1	136	4	2	64	2	3	0	44	18	116	32	36	15	30	28	1	0	64	17	85	7	107	16	0	42	3	0	15
"15"	4	91	4	0	481	2	68	21	2	0	39	4	60	3	0	85	0	20	3	98	17	140	26	19	20	21	27	1	6	63	0	140	0	130	23	9	86	3	0	77
"16"	54	60	3	9	86	0	100	0	0	0	45	1	147	0	4	155	3	56	1	117	0	92	25	78	35	13	86	0	5	60	3	76	26	109	37	5	86	9	0	8
"17"	165	59	5	173	5	1	12	14	58	0	8	1	61	7	9	199	0	52	18	24	39	123	63	28	60	77	52	0	0	57	20	80	0	137	47	11	210	1	0	13
"18"	82	74	76	0	83	0	0	12	48	0	43	1	101	4	2	123	0	53	0	111	10	197	44	104	45	38	8	0	5	51	0	74	13	173	142	73	186	1	0	7
"19"	154	66	0	185	5	1	56	0	88	0	46	51	83	0	0	119	3	22	0	50	1	81	124	8	5	28	103	0	0	61	1	81	0	231	10	40	164	0	0	27
"20"	5	45	65	0	372	0	0	6	5	0	26	0	63	4	0	46	0	34	10	26	5	141	52	24	6	21	38	0	0	9	5	64	0	113	54	78	56	0	34	26
