"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"
"1"	60	110	0	1	3	3	171	112	32	13	5	123	8	1	16	10	1	62	28	0	2	2	30	0	38	6	62	6	74	22	1	18	12	0	26	12	45	4	4	102
"2"	63	11	142	0	0	63	70	7	7	16	4	105	0	0	21	9	6	16	75	0	1	2	19	0	89	0	57	0	19	9	0	2	1	11	10	48	106	6	17	84
"3"	54	30	76	0	0	63	316	27	6	32	19	57	0	0	15	61	40	26	35	4	1	2	59	1	76	0	94	1	99	8	0	2	2	3	13	27	58	18	0	127
"4"	69	18	78	34	0	4	160	32	22	71	30	60	1	1	18	27	3	98	46	0	6	8	154	5	24	2	161	0	78	47	2	52	1	12	25	26	165	8	8	200
"5"	6	193	5	0	35	0	94	2	70	48	25	64	11	0	65	32	12	33	39	0	25	0	76	0	24	2	44	0	114	15	3	3	32	16	30	18	69	12	1	173
"6"	103	14	17	7	0	0	315	106	23	21	35	205	0	0	13	37	7	18	57	3	0	0	7	6	52	11	90	0	81	18	3	13	17	1	15	37	31	0	0	119
"7"	36	98	45	27	12	0	52	64	15	18	36	104	0	0	12	9	4	13	79	15	1	1	46	0	50	1	49	2	51	25	0	15	0	0	24	30	93	0	0	125
"8"	47	27	75	0	2	31	32	14	5	44	20	61	0	0	9	6	3	2	103	3	1	0	25	11	64	0	83	0	23	19	0	21	0	15	26	73	83	0	21	92
"9"	25	110	5	0	10	1	458	17	16	16	11	52	0	15	3	4	6	21	111	14	6	6	9	0	43	8	139	0	49	31	0	16	47	17	0	54	135	0	22	154
"10"	52	68	38	0	0	88	365	2	26	42	8	61	12	0	35	19	2	40	72	0	4	0	97	9	71	4	92	0	71	9	0	0	11	0	18	73	90	0	10	74
"11"	53	71	19	0	0	9	36	41	16	44	3	107	3	1	17	11	1	17	80	1	2	1	97	0	74	0	136	1	47	34	0	13	7	17	13	10	87	0	0	162
"12"	14	73	4	0	0	24	200	49	3	55	14	98	0	1	45	13	0	12	93	0	34	4	39	16	38	0	52	6	31	20	1	30	0	8	4	33	69	38	0	110
"13"	115	9	516	0	0	0	19	22	21	3	7	33	0	2	25	18	1	4	51	1	15	0	64	0	15	0	22	0	31	8	0	22	1	0	29	10	79	0	2	51
"14"	123	10	453	0	0	92	79	41	6	78	24	142	0	23	44	30	2	30	145	16	24	0	36	0	64	7	112	17	57	15	0	2	1	17	20	17	124	11	7	119
"15"	67	6	274	0	0	4	3	3	5	30	6	75	0	0	33	21	4	15	82	2	1	28	22	2	20	5	31	0	75	5	11	18	26	1	16	40	79	12	36	75
"16"	96	36	6	0	12	26	332	52	50	43	4	84	0	4	48	58	10	72	123	11	7	0	86	0	85	15	109	1	67	24	0	11	9	0	5	116	70	9	0	166
"17"	5	3	7	0	0	6	910	47	12	10	13	44	0	2	49	48	14	8	103	30	1	1	30	0	29	0	90	0	120	6	0	1	9	2	104	46	155	1	7	75
"18"	16	52	74	0	0	18	56	31	16	45	12	79	0	0	16	15	23	13	110	22	0	0	66	0	41	1	82	18	89	17	2	16	3	4	62	97	125	13	7	62
"19"	47	207	8	0	0	31	109	3	22	6	15	71	0	13	26	39	21	38	92	3	2	6	50	3	102	5	167	2	39	8	0	1	7	1	32	14	99	1	4	116
