"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"
"1"	72	0	0	3	3	30	87	1	1	0	180	1	0	1	0	0	1	0	14	16	36	9	0	0	7	0	2	0	14	33	0	0	0	22	13	0	0	3	4	7	6	20	4	0	0	0	4	0	27	1	0	13	0	14	19	0	22	23	2	35	0	54	19	0	6	6	3	3	3	9	13	4	0	18	0	15	3	9	0	3	0	0	0	12	3	1	10	0	6	8	0	1	10	0	0	0	0	49	0	0	58	2	6	9	3	0	0	0	0	0	10	1	14	1	0	2	19	17	25	11
"2"	15	0	12	0	0	1	0	1	24	5	1	6	12	152	0	0	2	0	1	28	14	1	18	0	13	0	1	0	25	5	0	0	0	9	11	1	0	33	0	1	60	7	11	1	0	5	0	0	36	0	0	44	0	19	0	16	19	44	0	26	7	37	23	0	0	0	0	0	0	2	18	0	0	4	0	23	0	0	1	0	0	1	0	5	7	1	31	0	0	0	0	1	6	13	0	0	0	28	0	6	42	0	2	29	17	0	0	2	0	1	3	0	1	3	1	12	5	0	118	6
"3"	35	0	0	0	5	0	0	0	38	27	40	15	0	2	0	0	7	0	26	3	5	0	0	0	5	6	0	26	5	6	31	0	0	16	62	0	0	0	9	8	23	16	5	3	0	4	17	5	56	0	0	35	0	52	0	3	23	16	0	53	0	43	9	5	17	11	5	0	0	2	30	36	8	17	2	6	0	1	0	0	0	0	0	0	9	1	8	0	1	1	0	2	3	12	0	0	0	36	2	2	17	0	3	35	0	0	0	0	0	1	0	12	8	12	0	8	8	44	99	58
"4"	17	0	22	0	0	143	101	39	18	0	21	2	202	1	0	0	0	1	3	13	11	0	7	1	36	0	0	0	9	27	0	0	6	2	38	1	0	4	0	13	15	22	19	7	0	2	14	0	15	0	0	26	6	5	0	0	35	45	0	14	0	74	34	0	0	43	22	0	0	25	18	1	0	34	0	2	0	1	3	0	34	0	0	15	4	4	31	0	0	15	1	45	0	14	0	0	0	58	2	8	6	0	0	18	0	0	0	32	0	0	0	0	9	2	0	2	32	38	64	28
"5"	27	22	15	0	0	0	0	0	0	364	12	8	0	49	0	0	0	0	6	17	5	0	0	0	35	0	0	0	1	7	6	0	9	6	18	0	0	0	14	11	0	61	4	14	0	0	1	0	16	0	0	19	5	26	0	26	13	0	0	6	2	42	5	0	4	0	1	0	14	0	24	3	0	31	7	6	0	0	1	0	0	0	0	22	0	3	6	0	0	12	0	0	0	1	0	4	0	24	2	0	3	0	0	6	20	0	0	0	0	0	0	0	1	1	0	1	26	10	16	0
"6"	43	1	6	33	0	12	85	0	11	65	60	0	12	10	0	1	25	0	9	10	0	0	0	0	39	0	0	0	2	59	7	0	2	21	81	3	0	16	0	12	10	59	7	3	7	0	2	14	123	0	0	34	6	76	2	5	61	14	0	23	4	33	37	0	63	9	2	3	0	0	31	0	3	1	0	13	0	0	4	0	4	0	2	13	15	1	62	0	5	10	0	0	1	5	4	0	0	11	1	5	60	0	0	1	2	0	0	19	0	0	0	0	5	2	2	5	29	75	19	23
"7"	10	1	2	16	0	0	13	0	4	75	148	5	6	59	3	0	2	0	2	20	22	0	9	0	33	2	0	3	7	41	0	0	22	16	52	6	0	0	0	14	3	22	6	4	0	0	31	0	90	0	8	5	0	36	0	5	100	17	0	18	2	104	46	0	7	26	1	0	13	0	75	20	8	4	7	18	0	0	9	0	0	0	0	39	7	7	82	13	3	50	0	4	2	12	0	0	2	12	6	0	90	2	10	36	1	0	10	5	0	0	0	0	1	11	3	0	19	48	156	2
"8"	16	0	5	0	34	0	2	0	472	0	0	3	91	27	0	0	6	0	0	39	10	0	0	0	6	2	0	0	0	24	11	0	17	8	14	0	0	1	0	10	0	28	0	25	0	0	8	1	8	0	0	58	0	15	0	5	16	28	8	13	0	32	13	0	4	11	34	0	0	0	58	4	0	9	4	18	0	0	0	0	0	1	0	56	3	0	16	0	0	10	0	7	3	17	0	2	0	16	0	18	17	0	1	13	2	0	0	1	0	2	1	0	5	0	0	0	0	37	12	7
"9"	36	0	0	5	0	2	34	14	12	0	41	0	0	47	0	2	2	0	20	15	44	6	0	1	33	3	8	4	11	17	6	0	0	1	20	0	0	10	0	11	1	65	23	3	0	5	6	0	23	0	0	22	1	46	3	3	54	6	0	22	19	48	15	0	6	0	0	0	0	1	38	11	0	18	0	7	2	0	1	0	0	0	0	9	1	0	65	0	12	15	0	0	1	13	0	0	0	28	0	12	29	0	1	14	0	0	8	0	0	1	0	2	0	3	5	8	2	19	229	34
"10"	85	0	169	0	74	2	19	0	1	0	108	46	75	54	0	0	0	0	1	8	8	5	0	0	33	0	0	3	5	0	0	0	1	1	36	0	0	5	0	3	17	15	6	1	0	1	5	17	44	0	0	75	2	20	0	0	19	63	0	6	0	57	7	0	42	4	5	0	0	1	29	3	0	29	0	56	0	0	0	0	0	0	0	6	0	2	19	0	0	53	0	3	0	0	0	0	0	8	0	1	38	4	34	38	26	0	0	3	4	1	0	0	0	0	5	40	5	24	70	3
