"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"
"1"	15	46	0	1	0	0	29	15	81	17	112	0	14	8	4	181	0	0	0	41	0	15	11	40	57	9	170	7	0	26	29	0	0	70	0	2	91	2	10	104	11	164	75	130	0	0	23	0	27	0
"2"	8	196	0	8	22	5	1	6	37	1	60	0	10	1	0	113	0	7	0	86	25	0	36	10	35	2	69	0	1	21	12	2	0	50	2	7	45	2	11	38	19	53	31	22	21	0	0	19	49	1
"3"	5	48	0	0	60	0	20	9	75	0	146	1	12	0	0	113	2	0	7	68	0	3	0	49	16	3	98	0	4	43	27	4	0	33	8	57	144	4	16	71	6	82	80	45	0	6	64	0	19	8
"4"	0	10	0	8	16	0	6	10	137	0	94	0	4	0	1	196	0	45	12	79	0	2	30	25	19	28	137	5	3	13	30	46	1	109	0	14	70	16	1	20	25	218	75	10	9	3	0	13	84	20
"5"	8	83	0	0	32	0	4	5	41	0	138	0	19	1	0	165	0	44	8	57	2	5	14	13	4	1	218	0	0	44	8	20	24	89	1	0	101	20	3	124	5	116	80	60	5	0	0	4	43	0
"6"	36	46	0	0	20	6	10	91	80	0	201	1	61	0	0	139	5	40	13	91	14	0	4	6	6	12	190	0	6	43	22	26	15	37	47	7	92	5	43	70	21	153	66	9	34	3	4	0	5	23
"7"	10	105	0	0	1	0	8	18	54	2	50	1	15	6	0	82	0	2	0	66	0	1	9	9	34	13	140	0	4	2	3	10	8	77	1	3	24	13	23	31	21	33	30	73	14	0	4	1	14	0
"8"	0	261	0	1	9	4	2	5	70	0	110	0	9	0	0	124	0	8	0	60	1	0	5	12	2	10	36	0	0	24	8	7	1	47	1	2	39	1	6	82	6	68	50	30	4	0	0	1	0	15
"9"	5	63	0	0	0	2	7	29	62	0	64	0	27	0	0	129	0	1	0	38	5	0	4	2	2	4	116	0	0	11	8	12	0	89	16	21	87	0	0	55	12	62	24	20	5	0	0	0	7	11
"10"	6	40	0	0	1	1	11	20	45	3	114	0	28	2	0	152	3	0	2	38	1	3	6	54	3	1	87	0	0	39	0	3	0	67	39	10	35	18	28	116	7	121	59	34	0	0	2	4	12	4
"11"	2	50	10	0	11	8	8	21	50	5	65	3	30	5	0	133	1	35	0	66	0	0	6	29	33	3	81	0	7	18	12	7	1	76	0	14	31	0	25	30	9	126	9	23	30	1	1	2	21	0
"12"	2	117	1	0	12	0	9	10	71	2	264	20	36	0	0	96	5	40	24	131	7	0	14	42	25	44	296	0	0	12	5	8	2	44	7	3	51	2	16	70	60	288	61	49	2	2	3	3	24	12
"13"	4	95	11	0	145	0	19	15	111	3	111	30	6	0	0	211	0	3	6	44	15	2	1	27	10	10	184	0	0	10	9	3	0	54	36	4	42	6	10	55	44	144	72	15	26	0	0	5	31	1
"14"	0	36	29	0	2	2	50	4	41	0	151	0	8	10	1	177	1	9	10	160	11	0	45	54	46	48	130	0	2	23	6	19	0	105	2	8	32	6	44	55	45	114	70	53	13	37	0	9	15	0
"15"	0	37	19	0	4	57	3	5	36	0	180	5	31	2	0	146	0	0	95	133	8	17	5	15	12	47	65	0	8	6	11	6	2	116	0	8	39	0	19	59	16	102	63	24	3	5	1	19	5	1
"16"	0	199	0	1	10	3	3	58	57	18	168	0	34	1	28	192	0	14	0	66	0	0	1	48	4	25	74	0	0	46	23	2	2	71	3	20	80	7	16	36	67	27	68	23	0	0	0	0	14	52
"17"	0	110	0	0	9	1	7	11	65	6	120	0	58	2	1	234	0	50	2	138	1	0	13	16	55	101	227	0	0	40	1	18	14	128	0	14	51	6	4	38	23	118	109	43	1	0	0	10	70	5
"18"	12	140	0	8	18	5	2	4	129	0	201	1	23	0	0	137	8	2	5	137	0	0	19	110	3	26	110	0	4	26	3	10	0	107	7	4	78	4	9	34	20	81	30	16	3	0	3	0	87	14
"19"	3	25	47	0	34	0	6	25	50	0	201	5	105	1	0	185	0	25	0	150	22	0	2	38	21	12	194	0	0	19	3	1	0	69	21	2	74	14	58	12	8	158	80	38	80	10	0	18	14	6
"20"	0	33	2	0	7	7	1	10	23	0	189	1	15	0	1	132	0	26	9	52	3	7	12	49	17	10	191	0	2	0	4	9	6	14	0	17	127	3	2	23	24	66	46	33	2	13	0	17	3	8
"21"	0	98	13	0	14	0	9	2	76	16	74	1	48	0	0	204	0	37	0	91	16	0	18	23	9	28	141	0	1	71	3	0	0	22	0	11	190	1	10	92	25	131	96	24	3	1	0	0	26	1
"22"	1	55	31	0	10	5	10	3	117	0	125	0	7	0	0	148	0	6	3	63	9	0	12	31	55	8	177	0	0	21	24	21	0	128	0	2	82	38	8	115	34	94	33	12	1	0	0	1	11	5
"23"	0	191	0	1	0	6	31	2	45	0	197	46	16	0	5	130	0	2	0	93	0	67	4	75	22	24	140	8	0	49	2	7	20	61	4	21	80	3	7	150	7	177	48	53	0	10	1	0	48	1
"24"	0	22	27	0	62	2	4	7	84	3	157	0	15	5	0	126	23	2	0	232	45	0	110	19	50	49	132	0	0	12	30	5	0	108	11	20	94	0	16	67	49	134	32	25	22	31	0	2	38	4
"25"	0	97	13	0	12	3	2	12	149	18	91	0	10	0	0	232	0	2	0	68	8	0	2	12	9	25	118	0	8	26	0	5	7	46	1	0	122	15	3	29	48	70	66	20	18	0	0	4	25	1
"26"	27	34	57	0	48	7	1	10	152	0	123	0	26	1	0	266	0	1	20	74	0	2	2	38	5	28	219	0	7	17	0	19	3	59	0	2	61	32	8	26	17	107	82	37	27	4	0	1	20	56
"27"	11	120	0	0	65	5	2	23	96	1	214	20	18	7	0	141	0	0	7	166	2	1	36	15	21	38	152	3	1	2	31	24	5	84	0	14	80	16	6	65	9	190	87	147	0	4	2	0	51	0
"28"	11	100	0	0	0	3	8	108	39	4	86	12	15	5	0	155	0	10	1	191	2	2	6	12	7	38	134	0	1	14	3	26	12	56	2	5	75	2	3	56	14	119	20	26	2	0	3	1	14	12
"29"	21	75	0	16	0	8	3	14	70	0	135	2	62	8	0	148	0	3	0	125	0	0	0	13	6	43	154	0	0	49	68	8	3	43	0	1	46	5	18	10	50	100	110	54	8	2	0	0	7	9
"30"	0	35	0	0	36	0	1	3	72	2	157	1	6	1	0	139	1	12	32	37	20	3	15	9	11	20	134	0	1	8	6	12	16	98	16	4	53	0	0	41	6	94	52	19	1	2	0	2	11	1
"31"	4	52	0	0	53	1	6	67	88	4	130	13	12	0	0	227	7	7	6	73	7	0	3	8	51	20	144	0	6	88	38	62	3	51	4	7	87	6	27	50	20	84	95	8	13	12	0	0	12	4
"32"	21	133	0	0	9	1	9	20	39	0	188	23	6	0	0	218	2	19	4	140	0	0	12	29	78	34	142	11	0	60	2	0	3	78	0	3	145	14	2	45	12	159	50	50	3	1	0	0	6	5
"33"	0	128	2	0	90	0	7	10	116	0	113	0	32	3	0	213	0	2	0	40	8	0	57	28	48	12	162	0	0	45	9	4	15	106	17	20	57	1	19	69	49	98	31	34	38	9	0	0	39	41
"34"	0	54	0	0	1	0	20	10	44	24	77	3	6	0	0	109	0	18	0	81	7	3	5	4	40	37	151	0	0	17	5	12	5	90	10	14	65	6	10	44	2	84	16	9	42	1	14	0	22	2
"35"	0	37	0	0	4	0	4	11	130	0	83	4	24	0	28	99	0	3	1	31	0	2	1	7	7	50	112	0	0	27	41	4	7	105	23	16	84	53	22	50	36	144	22	46	4	2	29	3	9	0
"36"	0	55	7	28	0	11	0	15	43	0	145	3	19	1	0	74	1	43	6	75	0	3	5	41	54	25	36	0	2	11	30	17	0	77	6	27	48	0	27	23	13	155	32	10	0	1	0	1	17	0
"37"	6	47	0	40	1	0	1	25	218	0	55	0	10	0	0	291	0	29	2	66	0	4	3	15	25	18	159	0	1	58	36	42	5	106	2	44	39	25	9	80	6	120	99	26	4	45	0	0	33	3
"38"	4	114	0	0	74	0	1	55	48	6	114	0	16	23	0	82	0	0	0	56	1	0	4	14	4	24	101	0	0	27	7	26	0	8	0	6	20	0	11	30	4	117	108	36	17	0	0	0	14	1
"39"	0	119	0	0	35	0	31	33	58	0	182	17	111	0	4	204	0	0	17	212	0	3	9	18	23	25	108	5	8	11	7	23	11	67	1	41	51	9	0	114	4	145	59	38	1	3	12	0	4	17
"40"	10	326	0	10	44	22	50	81	104	0	154	12	24	0	0	181	4	18	0	91	15	1	11	0	5	27	90	0	2	10	7	1	2	46	9	21	41	16	6	23	5	189	93	46	6	0	3	0	38	3
"41"	4	201	3	0	90	1	2	16	58	9	137	0	4	2	12	206	0	7	1	110	16	14	24	17	11	41	254	4	0	20	2	4	0	78	0	11	94	14	1	89	19	100	47	64	0	0	0	0	85	7
"42"	0	60	0	0	19	14	32	9	117	0	113	10	36	0	0	104	0	25	1	102	3	4	1	25	5	22	159	13	0	21	6	29	3	96	0	35	95	4	4	50	12	88	23	100	0	0	3	0	20	0
"43"	0	14	80	0	3	4	56	39	59	5	75	1	14	1	0	76	0	19	0	22	0	5	82	12	20	34	93	0	0	5	4	2	3	63	0	7	34	5	22	15	4	119	13	49	0	0	0	0	16	2
"44"	3	282	0	36	0	32	39	28	43	0	195	0	29	0	0	76	0	22	0	127	11	0	9	67	3	17	139	0	1	13	26	24	0	61	1	7	118	0	1	15	31	287	115	96	3	0	5	1	19	9
"45"	19	28	0	0	1	5	30	19	45	11	104	2	22	13	0	69	1	26	3	102	11	8	5	42	3	7	75	0	0	14	0	13	2	99	0	14	44	13	5	43	5	54	92	57	0	2	13	0	12	9
"46"	0	28	64	0	50	0	7	39	63	2	113	37	7	0	0	167	0	59	0	141	0	0	39	30	20	23	214	0	0	10	58	51	0	91	4	6	104	48	32	43	22	174	76	19	12	0	0	1	11	7
"47"	0	57	0	7	0	8	3	68	89	0	225	0	74	0	0	186	0	20	0	114	0	0	18	42	7	26	151	5	0	35	24	15	1	95	11	28	120	66	3	74	11	174	49	64	33	0	6	0	17	7
"48"	6	89	0	1	0	8	3	32	67	10	71	4	58	3	3	162	0	32	4	30	0	0	0	5	15	40	113	0	2	4	3	1	0	119	26	8	42	16	7	54	5	77	40	18	1	0	22	2	18	5
"49"	0	5	2	0	0	5	18	1	92	0	65	0	12	0	1	116	15	4	7	121	28	0	4	39	27	26	178	0	0	6	2	8	0	54	0	12	49	1	20	39	3	68	30	42	5	0	0	2	12	7
"50"	12	420	0	2	2	0	2	16	150	1	235	7	7	0	0	94	0	11	10	43	1	2	0	25	16	44	187	2	0	29	4	16	0	40	2	5	38	0	0	39	15	74	26	9	4	0	0	2	8	2
"51"	1	124	0	7	0	1	27	2	96	0	136	0	2	0	0	162	3	1	0	89	9	1	7	30	18	32	184	0	0	32	20	28	9	43	7	33	69	1	28	52	39	210	90	63	9	1	4	3	12	20
