"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"	"taxa121"	"taxa122"	"taxa123"	"taxa124"	"taxa125"	"taxa126"	"taxa127"	"taxa128"	"taxa129"	"taxa130"	"taxa131"	"taxa132"	"taxa133"	"taxa134"	"taxa135"	"taxa136"	"taxa137"	"taxa138"	"taxa139"	"taxa140"	"taxa141"	"taxa142"	"taxa143"	"taxa144"	"taxa145"	"taxa146"	"taxa147"	"taxa148"	"taxa149"	"taxa150"
"1"	23	10	48	0	11	0	0	7	0	0	0	16	29	0	6	0	0	2	0	8	5	16	0	0	0	19	16	0	15	7	0	0	0	0	40	0	14	0	0	0	0	32	0	12	0	1	10	0	0	3	0	30	0	0	4	12	7	1	0	0	34	15	1	4	1	1	15	4	1	0	14	0	0	0	0	0	2	3	2	0	0	10	11	10	0	0	2	0	0	0	11	11	7	0	0	36	134	37	5	0	0	4	2	3	13	1	11	0	2	2	0	10	5	9	0	3	5	0	2	0	0	2	0	24	2	18	0	7	2	18	12	1	3	0	0	8	44	31	2	7	1	0	1	6	0	27	0	38	19	0
"2"	22	28	0	0	311	6	18	16	4	1	0	40	53	0	5	0	0	3	0	0	37	7	0	0	0	2	8	0	19	6	5	1	23	3	2	0	0	0	0	0	0	0	0	93	0	1	0	0	0	0	0	54	0	5	21	13	34	1	0	0	31	58	8	0	0	0	0	28	1	0	16	16	0	0	0	0	2	0	2	0	0	26	6	2	64	0	0	0	40	0	1	7	15	1	0	30	14	12	1	0	1	33	0	0	7	0	5	0	0	18	0	48	0	4	0	24	0	6	0	1	41	0	0	27	0	15	0	8	26	35	13	0	0	6	0	51	61	0	2	32	33	1	3	0	0	8	0	2	13	0
"3"	47	11	20	0	2	0	1	17	30	0	0	37	13	0	7	3	0	1	0	0	9	8	0	0	0	25	27	2	73	8	0	0	6	0	15	0	1	0	0	0	0	0	0	63	0	48	0	0	0	0	10	38	0	3	0	14	60	1	0	0	59	26	31	0	4	0	54	5	0	0	41	0	0	0	0	33	0	1	0	0	6	34	42	9	7	1	0	0	1	0	2	0	4	0	0	40	10	0	7	0	3	43	28	0	35	0	2	2	0	13	0	61	10	3	0	7	0	8	0	0	5	0	0	14	1	39	0	5	4	42	13	0	0	7	0	70	63	15	11	37	2	0	0	11	0	50	0	115	2	0
"4"	3	21	3	0	13	0	29	9	9	0	0	4	5	0	50	0	0	0	2	0	9	25	0	0	0	56	31	18	42	9	0	0	0	0	25	6	1	0	0	0	0	1	0	46	7	57	0	0	3	0	1	33	0	0	0	20	6	2	0	0	13	26	4	2	0	3	14	6	1	6	66	0	0	0	0	2	0	0	1	0	6	10	23	6	4	0	3	0	13	6	1	8	3	5	0	10	20	0	7	4	0	1	0	4	15	1	0	2	0	17	0	6	0	10	1	16	3	0	0	0	13	0	0	15	1	1	0	1	3	14	6	0	3	0	0	44	10	1	0	39	5	0	0	2	1	11	0	10	0	0
"5"	65	0	123	0	17	0	12	34	29	0	0	4	0	0	73	0	0	5	0	0	35	55	1	0	0	2	89	17	18	0	0	0	0	0	7	0	1	1	0	0	0	0	2	38	0	1	5	15	1	0	59	35	0	0	18	24	44	0	0	0	29	37	7	2	2	0	14	3	0	11	16	0	0	0	0	0	0	0	0	0	0	2	9	5	0	0	0	0	0	0	0	10	31	0	0	53	2	0	0	0	0	61	6	0	83	0	6	27	0	18	0	6	43	0	0	14	0	12	4	0	2	0	0	4	0	5	15	31	19	31	9	0	0	0	3	30	85	34	24	11	12	0	0	0	0	33	0	26	6	0
"6"	42	0	847	37	0	0	0	4	4	0	0	14	5	0	12	0	0	0	10	0	0	4	0	0	0	6	5	4	6	10	0	0	0	0	2	0	1	0	0	0	0	0	0	10	0	8	2	1	0	9	0	73	0	0	1	1	11	7	0	0	27	21	0	2	0	0	0	6	0	0	8	0	0	0	0	0	0	0	0	0	1	7	10	0	0	0	0	0	0	0	12	13	5	3	1	32	2	0	0	0	0	1	0	0	0	0	0	4	0	12	0	3	0	1	0	0	0	2	0	0	0	0	0	2	0	2	0	2	1	1	0	0	0	0	0	16	2	39	3	53	0	0	9	0	0	16	0	70	1	0
"7"	3	124	2	0	2	0	22	19	14	2	0	6	27	0	50	0	0	0	8	0	2	36	0	0	1	7	8	26	48	18	0	1	0	0	3	0	0	12	0	0	0	0	0	76	2	0	3	0	0	0	5	21	1	12	20	78	5	1	0	13	23	115	0	12	0	2	22	17	3	3	66	6	0	0	0	0	2	0	1	0	4	9	15	17	1	0	0	0	0	0	16	11	34	2	4	67	122	6	22	0	0	8	42	0	33	0	6	0	0	12	0	51	0	2	0	60	0	29	0	0	4	0	2	21	0	40	0	13	0	19	0	0	0	4	0	32	37	21	5	16	48	1	0	9	0	61	0	40	8	1
"8"	3	28	29	9	6	5	1	9	3	18	0	14	8	0	4	0	0	10	0	0	8	3	7	0	0	6	29	29	28	0	0	1	1	0	16	0	0	10	0	0	0	1	0	67	0	3	1	4	0	0	0	52	2	0	3	14	20	0	0	0	26	53	8	4	7	4	1	43	0	5	46	0	0	0	1	0	0	0	43	0	4	0	15	2	2	0	0	0	0	0	5	7	1	0	0	4	13	0	3	0	1	16	0	0	13	0	2	0	0	21	0	61	0	4	0	5	0	9	0	0	0	0	0	5	0	8	3	28	14	35	9	0	0	0	0	22	18	2	14	65	2	0	1	0	0	29	0	35	3	0
"9"	1	0	0	0	250	0	0	7	19	0	0	12	25	2	9	2	0	0	0	0	1	4	0	0	0	13	28	0	6	2	0	0	0	0	0	0	0	0	0	15	0	0	0	13	0	0	8	0	0	0	3	2	0	0	0	12	64	5	0	0	15	24	0	4	0	0	7	8	5	0	93	0	0	0	0	0	0	0	7	0	8	11	2	11	1	0	13	1	0	0	0	1	0	0	27	98	5	0	0	0	0	45	0	0	27	0	2	0	0	5	0	32	0	2	0	1	0	15	14	0	26	0	8	18	0	4	0	1	0	31	0	0	0	0	0	22	10	0	14	4	3	2	0	0	0	11	0	52	27	0
"10"	19	38	187	0	0	0	0	2	5	0	0	26	0	0	9	0	1	6	0	0	11	1	4	2	0	36	10	0	44	1	17	0	0	0	40	0	0	0	0	0	0	15	0	7	0	5	2	0	6	0	4	35	0	0	0	14	33	3	0	0	33	85	11	4	8	16	19	50	4	1	65	0	0	1	0	0	0	30	2	1	4	43	12	0	0	0	16	0	0	0	50	18	19	0	0	0	0	0	19	0	11	2	0	2	11	0	4	0	0	8	0	43	1	1	0	29	0	24	6	0	16	0	0	8	0	7	0	23	4	9	8	0	0	3	0	16	65	16	4	30	0	0	0	1	1	3	0	74	4	0
