"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"
"1"	6	13	66	39	355	3	40	0	3	53	9	0	122	164	0	29	119	3	10	7
"2"	11	0	794	3	0	50	2	0	4	10	3	0	37	35	0	1	57	0	5	7
"3"	15	9	177	105	156	87	104	22	35	65	4	1	256	393	2	23	156	63	135	35
"4"	21	35	653	8	52	52	35	0	1	24	0	0	77	76	0	21	115	19	42	1
"5"	0	20	581	0	13	8	59	1	13	65	9	0	256	100	7	32	107	8	38	32
"6"	14	1	336	51	61	96	52	1	34	25	0	3	229	107	0	41	100	10	1	25
"7"	1	6	615	10	6	17	9	0	21	40	13	0	109	140	5	18	107	4	11	19
"8"	4	2	671	13	52	3	12	0	2	92	6	0	155	192	0	9	79	55	5	36
"9"	0	39	7	549	98	4	20	1	23	38	3	0	115	148	0	3	82	14	21	18
"10"	48	14	216	123	188	89	41	0	29	47	34	0	142	117	0	46	90	7	14	43
"11"	25	29	67	225	62	30	68	35	15	59	0	2	266	147	1	57	191	45	29	33
"12"	2	1	1377	24	12	28	53	4	5	3	16	3	73	92	46	43	39	5	26	38
"13"	0	7	1112	1	6	34	45	21	28	43	2	0	185	125	0	17	69	60	32	40
"14"	17	7	91	263	22	337	90	27	73	72	0	11	327	133	0	57	148	33	16	31
"15"	19	24	849	30	18	89	62	0	16	56	0	0	130	142	0	26	54	8	28	6
"16"	0	34	134	58	13	31	59	36	9	31	8	1	200	212	0	33	107	53	23	24
"17"	13	62	111	323	151	16	15	0	21	84	54	0	261	238	0	44	94	5	16	50
"18"	6	7	85	87	32	54	45	5	20	32	10	0	272	131	14	49	114	20	7	22
"19"	21	83	316	29	3	134	21	27	49	94	18	0	171	155	0	39	157	39	3	25
"20"	20	0	702	112	14	113	31	7	10	27	23	2	167	226	22	66	139	13	25	13
"21"	44	46	113	85	15	284	37	32	60	31	16	25	327	210	1	61	328	56	28	127
"22"	23	17	203	7	8	229	45	0	14	20	9	19	232	203	0	6	167	45	51	41
"23"	0	47	277	71	6	248	127	21	74	122	24	24	325	137	0	35	253	37	31	21
"24"	18	33	38	160	61	117	29	1	44	141	8	0	285	167	0	40	122	22	31	19
"25"	31	18	78	184	34	14	87	1	19	51	14	2	202	256	0	45	213	5	35	20
