"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"	"taxa121"	"taxa122"	"taxa123"	"taxa124"	"taxa125"	"taxa126"	"taxa127"	"taxa128"	"taxa129"	"taxa130"	"taxa131"	"taxa132"	"taxa133"	"taxa134"	"taxa135"	"taxa136"	"taxa137"	"taxa138"	"taxa139"	"taxa140"	"taxa141"	"taxa142"	"taxa143"	"taxa144"	"taxa145"	"taxa146"	"taxa147"	"taxa148"	"taxa149"	"taxa150"	"taxa151"	"taxa152"	"taxa153"	"taxa154"	"taxa155"	"taxa156"	"taxa157"	"taxa158"	"taxa159"	"taxa160"	"taxa161"	"taxa162"	"taxa163"	"taxa164"	"taxa165"	"taxa166"	"taxa167"	"taxa168"	"taxa169"	"taxa170"	"taxa171"	"taxa172"	"taxa173"	"taxa174"	"taxa175"	"taxa176"	"taxa177"	"taxa178"	"taxa179"	"taxa180"	"taxa181"	"taxa182"	"taxa183"	"taxa184"	"taxa185"	"taxa186"	"taxa187"	"taxa188"	"taxa189"	"taxa190"	"taxa191"	"taxa192"	"taxa193"	"taxa194"	"taxa195"	"taxa196"	"taxa197"	"taxa198"	"taxa199"	"taxa200"	"taxa201"	"taxa202"	"taxa203"	"taxa204"	"taxa205"	"taxa206"	"taxa207"	"taxa208"	"taxa209"	"taxa210"	"taxa211"	"taxa212"	"taxa213"	"taxa214"	"taxa215"	"taxa216"	"taxa217"	"taxa218"	"taxa219"	"taxa220"	"taxa221"	"taxa222"	"taxa223"	"taxa224"	"taxa225"	"taxa226"	"taxa227"	"taxa228"	"taxa229"	"taxa230"	"taxa231"	"taxa232"	"taxa233"	"taxa234"	"taxa235"	"taxa236"	"taxa237"	"taxa238"	"taxa239"	"taxa240"	"taxa241"	"taxa242"	"taxa243"	"taxa244"	"taxa245"	"taxa246"	"taxa247"	"taxa248"	"taxa249"	"taxa250"	"taxa251"	"taxa252"	"taxa253"	"taxa254"	"taxa255"	"taxa256"	"taxa257"	"taxa258"	"taxa259"	"taxa260"	"taxa261"	"taxa262"	"taxa263"	"taxa264"	"taxa265"	"taxa266"	"taxa267"	"taxa268"	"taxa269"	"taxa270"	"taxa271"	"taxa272"	"taxa273"	"taxa274"	"taxa275"	"taxa276"	"taxa277"	"taxa278"	"taxa279"	"taxa280"
"1"	0	47	0	0	0	16	0	0	0	1	1	0	0	4	4	0	3	0	0	0	10	0	1	0	0	0	1	15	0	0	15	0	0	0	27	0	0	0	8	10	0	0	0	3	0	13	1	0	2	0	0	5	99	0	0	11	0	14	1	5	0	24	53	13	4	22	0	0	16	0	0	5	0	0	0	0	1	0	6	0	0	0	2	1	0	0	0	0	0	0	1	46	0	23	25	35	1	17	0	5	0	6	0	0	3	3	19	0	0	0	0	0	7	0	0	26	0	0	39	0	0	4	2	13	0	10	21	25	0	2	5	16	0	29	0	6	0	33	10	0	11	0	2	0	6	0	0	1	0	12	0	0	0	0	0	0	17	0	0	29	0	28	0	0	27	0	0	5	0	0	3	15	30	0	0	39	2	0	0	0	0	0	0	0	10	3	0	0	17	0	6	0	0	15	1	1	0	0	0	0	0	28	0	0	0	10	0	0	12	0	9	0	20	0	0	0	0	8	20	0	20	0	8	0	0	3	1	1	0	0	4	0	61	1	2	25	4	0	4	0	0	13	71	6	0	0	0	0	0	28	0	1	0	0	0	0	2	52	20	0	31	1	9	0	0	15	71	1	0	7	2	0	59	0	1	19	20	8	0	0
"2"	0	68	0	28	0	0	0	7	0	93	8	0	0	10	9	5	0	0	0	0	0	0	16	0	9	1	3	0	0	0	17	0	0	0	0	0	0	0	13	16	0	0	0	7	0	1	0	0	2	0	1	24	0	0	0	18	0	13	1	2	0	3	0	0	6	15	14	0	0	0	0	2	2	0	1	2	13	0	0	0	0	0	12	2	0	0	0	0	0	0	0	10	0	11	55	3	7	0	0	0	0	12	0	1	0	1	8	0	0	0	0	0	5	0	0	1	0	0	8	5	14	1	0	15	0	0	17	5	0	0	4	1	0	32	0	0	0	5	11	7	5	3	0	3	0	0	2	16	5	0	0	5	0	0	0	0	1	0	0	2	0	5	0	0	1	9	15	7	0	0	0	34	0	11	7	13	0	1	0	0	4	0	0	0	7	4	3	0	0	4	3	0	0	24	0	5	0	0	1	2	0	1	0	3	0	0	0	0	28	5	9	0	2	0	16	0	0	12	0	0	25	0	0	0	0	5	0	0	0	32	2	0	34	12	15	3	0	0	0	0	0	0	3	0	2	4	0	0	0	10	1	0	0	0	0	1	0	13	0	0	18	0	0	1	0	33	0	13	0	0	0	0	1	0	0	2	0	21	0	0
"3"	5	50	0	6	0	13	1	0	2	27	5	7	0	2	0	9	0	0	13	3	88	0	0	0	0	0	0	3	2	0	33	0	10	10	0	0	0	0	2	43	0	0	0	3	0	1	11	0	0	0	0	18	5	0	2	7	49	3	37	12	0	0	0	0	0	22	0	0	2	0	0	6	1	0	9	0	0	0	0	2	0	0	7	3	0	0	0	0	0	0	0	6	0	74	33	0	33	0	0	0	0	6	0	3	11	0	1	0	0	0	0	2	0	0	13	34	1	0	42	1	3	2	0	21	0	9	11	2	15	1	9	1	0	15	1	0	1	38	8	6	33	0	4	2	1	1	3	71	0	0	0	43	0	0	1	0	23	0	0	23	0	10	0	0	13	2	0	9	6	0	18	7	4	0	0	25	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	32	0	2	5	0	0	0	0	0	0	12	1	10	0	0	14	0	27	0	0	0	0	0	0	3	11	0	10	0	1	0	0	58	0	3	4	10	6	0	27	4	36	2	7	0	0	4	0	0	0	2	1	0	0	0	0	2	6	25	1	1	0	5	0	26	13	0	12	1	7	0	0	16	0	0	29	1	1	0	0	0	0	31	0	43	1	0
"4"	0	26	0	8	0	0	0	34	0	9	45	0	2	21	5	6	3	0	0	0	1	0	4	0	8	3	0	2	0	0	7	1	1	0	0	10	0	0	9	3	0	0	0	32	0	0	1	0	7	0	0	8	0	0	0	10	0	11	17	0	0	42	8	0	0	18	0	0	54	0	0	7	0	0	3	1	0	0	2	10	0	0	3	17	0	0	0	0	1	0	0	21	0	16	10	0	2	0	1	1	0	2	0	0	26	4	31	0	0	0	0	0	2	0	0	1	0	0	18	1	6	3	0	6	1	12	2	17	0	1	25	3	0	6	5	0	0	0	2	24	11	6	1	0	10	0	10	2	0	23	0	3	0	0	0	0	9	5	0	39	0	4	0	0	1	6	1	0	0	0	7	53	0	9	1	5	0	0	0	0	25	7	0	0	17	0	8	0	3	0	0	5	0	48	0	0	10	0	0	2	0	19	0	1	0	0	2	5	5	1	9	0	0	6	3	0	0	19	1	0	11	0	0	0	0	8	0	5	0	9	3	0	37	2	40	17	8	0	5	5	4	9	16	0	0	0	0	0	0	21	1	0	0	1	2	2	0	23	0	0	39	2	0	1	0	13	1	6	0	0	0	0	1	0	0	5	1	21	0	2
"5"	23	25	0	0	0	2	0	0	8	21	5	0	0	13	1	1	0	0	0	0	3	0	0	0	0	9	19	2	0	0	4	0	3	0	0	8	0	0	107	45	1	0	1	1	0	1	21	0	0	0	0	37	3	0	0	35	0	27	2	0	11	3	0	1	27	34	11	0	39	0	0	73	0	0	0	0	0	0	0	21	0	0	8	8	0	15	0	0	0	1	0	43	0	31	5	0	48	0	0	4	0	1	0	5	33	2	2	0	0	1	0	3	22	0	0	0	0	0	18	21	27	0	0	23	0	5	7	0	1	2	26	1	0	15	9	0	20	2	3	19	1	10	3	0	1	0	28	8	0	0	0	0	0	0	0	0	76	5	0	31	0	7	0	0	23	2	2	3	32	0	14	30	0	0	4	4	1	9	0	0	25	0	0	5	1	0	2	2	0	0	0	0	0	32	0	0	1	0	0	0	0	9	4	13	0	1	0	0	3	2	6	0	4	0	0	0	0	24	11	2	1	0	0	6	0	6	0	0	1	21	3	0	18	0	0	1	6	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	3	0	0	5	1	0	2	10	0	12	0	42	19	5	0	0	1	4	43	4	0	7	0	0	7	45
"6"	9	55	0	0	0	0	0	0	1	17	11	0	0	2	4	0	1	1	0	0	3	0	8	0	0	5	0	3	0	0	17	0	5	0	0	0	0	22	12	8	0	0	0	10	0	20	0	0	0	0	0	3	12	0	0	49	0	5	0	8	1	5	0	1	1	25	5	0	6	0	0	12	0	0	35	12	1	0	0	0	0	0	43	6	0	0	0	4	13	0	6	13	0	27	32	12	0	2	0	3	0	2	0	1	20	10	0	0	0	0	0	2	31	0	0	1	47	0	21	1	9	11	0	22	0	6	53	54	0	0	4	13	0	11	0	0	0	0	21	2	2	5	0	0	14	1	3	27	0	17	0	0	0	3	1	0	22	0	0	23	0	17	0	0	19	5	0	0	1	0	8	10	0	1	1	8	0	0	0	0	1	1	0	0	31	0	0	0	0	0	1	0	4	5	0	0	0	0	0	0	0	16	0	6	0	4	0	0	40	0	49	0	16	0	0	9	0	0	15	6	36	0	3	0	0	2	2	0	0	16	41	0	15	4	13	0	1	0	0	0	2	0	2	10	3	0	0	0	0	0	15	0	0	1	0	5	0	3	0	0	2	0	0	3	0	4	3	0	0	0	0	9	10	11	0	8	2	14	1	0
"7"	1	13	0	0	0	5	0	0	0	3	5	0	0	7	1	0	0	1	0	0	18	0	0	0	4	13	0	15	0	0	6	39	0	5	18	2	0	0	26	35	0	0	0	2	0	0	0	0	0	0	0	29	29	0	0	4	0	33	16	21	0	17	0	0	1	42	5	0	14	0	0	3	1	0	1	12	0	0	0	9	0	0	15	1	0	0	0	0	3	0	1	20	0	1	3	0	3	0	0	1	0	6	0	1	6	5	3	0	0	0	0	4	2	2	16	7	0	0	36	9	1	18	0	0	0	48	1	0	0	0	17	16	0	29	35	0	0	0	0	52	2	0	0	0	3	15	1	8	0	0	0	18	0	0	0	0	1	28	0	15	6	7	0	0	46	27	0	0	0	0	6	21	1	0	2	10	3	0	5	0	3	0	0	0	13	0	17	0	0	0	0	0	9	1	0	0	20	1	0	0	0	21	0	18	0	0	0	0	76	0	3	0	2	0	0	0	0	0	8	0	21	0	4	16	1	36	0	0	2	4	0	0	57	28	54	8	6	0	0	0	0	0	2	0	0	1	0	0	0	41	0	0	0	0	0	30	0	12	1	0	5	2	0	3	0	8	4	0	0	0	0	0	1	0	0	0	16	7	0	0
"8"	4	20	0	0	0	22	12	0	0	32	8	0	0	52	1	3	0	0	0	0	1	0	0	0	0	33	0	35	0	0	0	3	11	0	0	0	0	0	6	42	0	0	0	37	0	0	0	0	0	38	0	50	24	0	0	7	0	33	4	1	0	0	0	3	0	18	0	0	4	0	0	22	0	0	4	0	1	0	0	1	0	0	8	31	0	1	0	0	0	0	0	36	0	7	41	2	0	0	0	7	0	13	0	19	4	15	47	0	1	0	0	13	26	0	2	2	0	0	0	18	6	1	1	29	13	47	36	3	3	11	16	8	0	30	1	3	12	13	1	6	2	0	0	0	1	1	5	13	0	0	0	9	0	0	0	1	31	5	0	16	0	7	4	0	17	7	0	0	0	2	8	34	19	9	24	24	0	14	9	0	13	0	0	0	22	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	14	0	0	1	0	24	0	0	0	0	0	0	0	6	3	5	0	7	0	0	56	0	0	0	0	0	0	78	0	67	17	4	0	0	0	13	39	1	0	0	0	0	0	5	14	25	0	0	23	9	5	0	18	0	0	38	0	0	10	0	1	0	0	0	0	15	0	8	0	0	22	0	45	1	0
"9"	1	15	0	6	0	0	0	0	0	6	35	0	3	0	0	0	0	15	0	0	5	0	0	0	6	0	0	5	3	0	2	0	0	0	0	5	7	0	7	13	21	0	0	0	0	0	15	0	0	0	0	13	4	0	0	3	4	1	0	2	0	0	18	0	0	22	15	0	19	0	0	51	2	0	34	0	7	0	0	0	0	0	22	2	0	10	0	0	0	0	0	8	0	11	34	28	1	0	0	0	0	1	0	2	25	0	0	4	29	0	1	0	11	0	0	38	0	0	51	0	32	0	0	14	0	18	1	13	1	6	8	7	0	6	17	0	14	6	1	2	12	0	0	1	28	4	3	18	0	1	0	0	0	0	0	0	2	2	0	25	0	2	0	16	86	6	0	0	3	0	0	17	6	12	0	5	23	0	0	0	10	0	0	0	7	0	0	0	0	0	1	6	2	42	1	0	0	0	2	3	0	2	20	0	0	2	0	0	17	0	5	1	4	1	0	0	0	6	22	0	12	0	0	0	0	26	0	5	0	23	0	0	7	8	4	7	13	0	13	0	3	2	2	5	23	0	0	0	4	0	1	0	0	0	0	7	0	0	17	0	8	3	19	4	0	6	0	12	0	0	0	1	52	7	0	2	0	0	0	0
"10"	4	2	0	3	0	0	0	0	0	5	20	0	0	3	2	10	0	1	0	0	4	0	7	0	0	3	1	3	52	0	1	18	2	0	0	0	0	0	14	38	0	3	0	47	0	0	0	0	0	0	0	1	4	0	1	12	0	46	17	2	0	58	0	0	13	100	0	0	3	0	0	6	36	0	7	0	0	0	0	5	6	4	11	12	0	2	0	0	0	0	0	8	0	14	64	7	1	0	0	5	0	1	0	14	0	1	0	0	0	0	0	0	1	0	0	7	0	0	54	1	0	4	0	50	0	9	0	18	9	2	13	4	0	46	0	0	4	0	0	1	49	0	0	0	13	6	17	11	1	0	0	4	0	0	0	1	2	2	0	25	0	27	2	0	30	1	0	0	11	10	55	2	6	27	9	6	0	0	0	0	3	0	0	0	32	6	52	0	0	0	0	0	0	63	0	0	0	0	13	0	0	0	4	3	0	0	0	4	22	1	29	0	10	0	0	0	1	0	1	0	17	0	1	0	0	14	0	5	0	0	0	0	2	19	22	26	9	0	7	0	0	9	6	7	6	0	0	0	0	6	6	0	0	0	15	5	0	0	0	0	7	46	0	3	0	1	0	0	3	0	9	0	0	1	0	38	5	0	0	11
