"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"	"taxa121"	"taxa122"	"taxa123"	"taxa124"	"taxa125"	"taxa126"	"taxa127"	"taxa128"	"taxa129"	"taxa130"	"taxa131"	"taxa132"	"taxa133"	"taxa134"	"taxa135"	"taxa136"	"taxa137"	"taxa138"	"taxa139"	"taxa140"	"taxa141"	"taxa142"	"taxa143"	"taxa144"	"taxa145"	"taxa146"	"taxa147"	"taxa148"	"taxa149"	"taxa150"	"taxa151"	"taxa152"	"taxa153"	"taxa154"	"taxa155"	"taxa156"	"taxa157"	"taxa158"	"taxa159"	"taxa160"
"1"	0	24	2	0	177	47	0	0	32	20	52	0	0	24	14	0	0	8	5	3	0	0	0	0	11	37	14	0	1	0	0	1	4	0	3	0	0	23	23	0	48	0	1	7	0	21	26	1	0	1	4	10	23	0	36	19	6	0	0	23	10	13	0	29	14	0	23	0	0	1	0	0	0	0	5	14	0	3	0	0	0	11	2	0	24	18	45	4	44	54	0	9	0	23	12	0	0	1	18	4	14	68	45	30	8	0	0	25	8	14	13	0	0	27	1	76	0	2	0	0	0	0	0	0	12	1	0	48	8	2	0	0	7	3	0	5	10	17	8	39	6	6	10	0	0	25	62	0	0	4	0	0	0	0	0	14	0	13	0	0
"2"	0	0	0	0	5	123	19	1	74	5	4	0	0	19	12	45	0	14	0	0	0	3	0	10	6	25	55	0	3	0	0	20	0	0	1	0	0	16	16	1	37	2	0	0	0	1	99	0	0	3	0	1	42	1	7	26	12	0	0	1	8	0	0	0	5	0	15	0	0	0	9	1	0	0	16	6	0	30	0	1	6	4	0	0	0	47	28	13	1	0	0	36	0	4	2	6	0	4	0	39	46	68	2	3	0	0	0	27	42	23	10	1	0	0	1	97	0	4	0	0	0	0	7	0	2	17	0	1	21	0	0	0	6	28	0	4	0	0	44	21	2	28	0	0	5	6	43	2	0	0	0	0	0	0	0	30	3	105	0	0
"3"	0	4	1	0	18	4	0	0	14	335	4	0	0	0	67	25	0	40	0	0	0	0	0	6	31	22	54	0	4	1	0	3	4	0	12	0	0	1	28	2	43	0	6	0	0	0	35	0	0	1	4	0	2	0	25	0	2	0	14	1	7	0	0	10	4	0	4	0	0	0	0	0	0	0	9	3	0	18	0	0	0	0	0	0	4	16	8	1	18	0	0	1	0	4	1	8	0	0	33	12	5	16	3	0	8	0	0	8	29	0	45	0	4	1	4	2	0	1	0	0	0	0	11	9	4	5	0	0	20	0	0	0	2	3	0	5	0	2	0	6	1	9	10	0	1	9	7	0	0	2	0	0	0	1	15	5	0	10	0	0
"4"	4	8	1	0	7	0	2	0	42	0	12	0	0	10	11	1	0	21	16	0	0	0	1	10	17	0	24	8	4	0	0	13	0	0	9	0	0	0	5	0	35	0	7	0	0	0	27	0	0	1	2	0	25	0	18	3	3	0	4	0	38	0	0	6	0	17	4	2	0	1	0	0	0	2	18	0	1	13	34	0	0	3	3	0	1	11	23	28	6	0	6	14	0	9	0	6	1	4	0	5	52	20	5	0	9	0	0	22	9	5	7	0	0	7	0	52	0	1	0	0	1	0	9	0	2	2	0	0	28	11	0	0	19	0	0	0	0	1	0	19	0	6	1	0	0	15	69	0	0	0	0	0	0	0	0	12	0	22	0	16
"5"	0	55	1	0	26	309	0	7	0	16	2	0	0	4	8	162	0	0	0	28	0	13	2	76	13	1	20	0	16	0	0	12	0	0	16	0	0	4	23	0	57	0	18	0	0	0	28	0	0	0	11	0	51	0	40	4	1	0	26	0	54	0	3	4	23	0	19	0	0	0	5	1	33	3	0	12	0	34	0	0	0	13	0	0	3	4	46	16	8	0	0	0	0	56	0	63	0	1	1	18	11	17	18	0	2	5	0	8	11	14	14	16	0	4	0	21	1	17	0	0	0	0	11	1	13	0	0	0	28	23	0	0	5	0	0	6	0	1	0	7	38	32	9	0	0	9	62	0	0	0	0	0	0	11	16	21	28	2	0	0
"6"	0	18	17	14	0	5	31	0	10	0	0	0	112	11	105	6	0	40	0	0	5	0	0	12	40	0	20	0	0	0	0	1	0	0	6	0	0	12	19	1	12	1	7	0	0	0	32	3	0	9	0	6	6	0	39	31	8	2	11	0	10	0	0	2	0	0	28	0	0	8	0	2	0	0	19	1	2	0	6	0	2	41	9	0	15	17	11	18	5	0	0	5	0	10	1	0	0	5	0	8	10	12	6	0	0	2	31	16	8	12	79	0	0	4	0	12	0	14	17	0	0	0	0	3	62	25	0	0	23	1	3	8	0	14	1	3	5	6	0	1	3	7	0	0	0	10	3	0	0	0	0	2	0	12	0	7	1	11	0	0
"7"	0	0	0	0	201	10	0	35	0	10	89	0	0	2	0	0	1	0	6	9	0	14	0	16	3	0	10	0	12	0	0	4	0	0	1	0	0	3	12	1	14	2	0	0	0	0	56	0	0	2	1	0	15	0	33	18	17	0	3	0	2	0	2	1	2	0	4	0	0	0	0	0	0	0	10	14	0	1	0	2	0	18	0	0	17	21	10	4	0	0	1	0	0	10	1	0	3	8	0	8	5	29	0	0	8	1	0	9	27	2	30	0	0	1	0	11	0	36	0	0	0	0	9	0	3	11	9	1	17	0	0	0	0	17	0	4	0	1	4	23	1	2	4	0	25	5	49	0	1	1	0	1	0	7	1	17	8	21	0	16
"8"	0	197	7	13	0	0	0	2	0	0	1	0	18	6	13	26	0	0	0	12	0	0	0	0	14	0	26	0	13	14	16	2	0	0	10	0	0	31	49	4	40	3	0	0	0	28	21	5	7	2	7	3	22	1	56	39	0	0	43	0	30	0	0	28	0	0	16	0	0	0	3	0	5	0	7	1	0	15	4	0	0	3	1	0	9	34	6	11	4	0	13	1	0	16	2	0	0	0	3	0	17	44	2	0	15	5	24	67	17	1	30	4	0	78	0	5	0	44	0	28	0	0	10	0	20	13	6	0	67	0	0	0	1	2	0	0	0	13	0	0	0	15	0	0	0	18	42	0	0	15	0	0	0	0	0	0	0	4	0	0
"9"	0	2	13	0	5	56	1	1	2	0	0	32	190	0	15	0	0	40	0	0	0	3	0	0	19	3	5	0	7	0	0	0	0	0	43	0	0	11	39	2	20	0	0	0	0	0	8	1	0	2	18	0	0	1	16	16	10	0	13	1	20	0	2	2	10	0	23	0	0	0	0	6	0	0	11	10	0	4	0	3	0	2	2	0	4	19	15	0	0	16	0	1	0	31	0	0	21	23	0	6	22	73	7	0	43	0	0	56	52	8	40	11	16	3	0	56	0	12	0	0	0	1	4	0	25	32	0	0	32	0	8	0	2	0	0	8	0	1	0	8	19	55	10	0	0	34	5	0	1	1	0	0	0	34	0	13	22	8	0	4
"10"	0	30	14	7	23	52	0	1	18	13	15	0	0	7	34	1	0	2	0	6	0	3	0	15	17	1	20	0	22	30	0	1	0	0	2	0	1	0	35	0	30	0	5	0	0	0	17	2	0	2	34	0	29	0	44	10	58	3	10	3	7	0	31	6	1	2	20	0	0	0	5	0	0	3	12	86	0	6	10	4	0	18	21	0	28	6	37	4	24	0	0	20	0	44	24	19	0	7	0	6	71	50	0	0	20	1	10	45	26	27	14	0	0	11	5	3	23	20	0	5	3	0	8	0	46	0	0	0	76	0	0	0	8	0	0	10	0	9	0	41	4	4	0	0	1	14	62	0	0	0	0	0	0	13	0	36	4	26	1	3
