"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"
"1"	738	10	584	106	523
"2"	184	132	367	155	486
"3"	794	30	880	65	210
"4"	1024	8	371	2	151
"5"	542	17	489	121	263
"6"	726	11	393	13	170
"7"	159	36	1266	0	111
"8"	46	67	1058	10	164
"9"	568	6	522	20	200
"10"	770	3	150	152	240
"11"	892	76	522	88	318
"12"	958	5	369	70	261
"13"	672	12	255	137	261
"14"	86	91	919	55	196
"15"	360	139	591	284	363
"16"	43	132	1427	4	182
"17"	53	26	1299	0	28
"18"	365	75	1351	32	91
"19"	64	61	1281	0	137
"20"	429	9	228	224	334
"21"	384	30	642	119	302
"22"	119	177	1280	64	342
"23"	317	151	1017	163	336
"24"	420	43	238	158	303
"25"	334	6	762	6	233
"26"	529	9	264	44	284
"27"	1316	0	260	4	240
"28"	970	39	358	113	358
"29"	765	10	45	69	131
"30"	650	11	373	39	220
"31"	409	16	552	93	294
"32"	257	11	1021	9	99
"33"	196	185	620	216	444
"34"	1276	1	315	16	164
"35"	846	7	376	29	419
"36"	659	10	215	147	280
"37"	1350	0	107	111	375
"38"	333	38	758	42	155
"39"	266	96	685	3	197
"40"	185	119	414	264	346
"41"	51	65	1064	1	125
"42"	44	55	1121	2	38
"43"	295	43	913	20	381
"44"	467	3	1207	39	229
"45"	249	127	1276	54	238
"46"	364	7	444	55	234
"47"	685	57	626	41	406
"48"	73	108	1303	19	107
"49"	540	113	473	192	593
"50"	314	17	405	170	355
"51"	796	59	212	274	657
"52"	1170	11	156	139	295
"53"	87	90	1017	13	156
"54"	523	141	452	192	421
"55"	511	2	436	25	133
"56"	666	11	441	3	173
"57"	148	60	1199	20	98
"58"	41	149	1561	47	119
"59"	176	26	1256	8	172
"60"	78	24	1236	3	74
"61"	382	47	553	8	208
"62"	206	104	521	12	258
"63"	946	5	629	12	163
"64"	498	9	581	64	273
"65"	28	8	1064	0	157
"66"	211	73	370	116	294
"67"	30	53	1144	0	48
"68"	544	7	974	1	123
"69"	1138	4	83	66	163
"70"	695	20	384	11	128
"71"	225	262	651	204	539
"72"	40	73	864	24	112
"73"	363	21	804	22	230
"74"	456	20	453	29	77
"75"	283	23	857	6	120
"76"	947	15	174	98	160
"77"	1271	16	295	16	112
"78"	72	76	864	3	77
"79"	185	44	940	23	156
"80"	1386	0	80	47	205
"81"	1071	5	295	56	436
"82"	3	25	1166	0	47
"83"	634	21	725	23	109
"84"	107	3	1087	0	98
"85"	357	92	527	17	204
"86"	390	37	177	250	421
"87"	84	31	1058	13	102
"88"	1205	0	133	44	180
"89"	98	53	1663	9	57
"90"	759	53	439	86	348
"91"	601	49	464	150	439
"92"	44	135	1008	25	162
"93"	307	104	759	89	541
"94"	145	208	895	167	353
"95"	33	94	1414	0	35
"96"	1050	11	12	318	198
"97"	608	26	663	31	147
"98"	428	28	587	76	412
"99"	797	3	463	95	317
"100"	506	21	762	25	276
"101"	522	67	725	88	277
"102"	407	22	511	172	488
"103"	330	27	1118	29	434
"104"	688	7	970	14	266
"105"	489	16	275	51	186
"106"	196	49	1241	5	132
"107"	865	0	85	38	171
"108"	656	0	99	70	218
"109"	585	21	577	37	124
"110"	1178	21	220	96	398
"111"	877	22	330	149	420
"112"	404	40	923	16	474
"113"	216	30	379	99	356
"114"	812	17	18	318	599
"115"	305	30	845	34	415
"116"	278	63	810	15	237
"117"	650	4	323	1	77
"118"	881	37	506	61	180
"119"	203	28	890	7	64
"120"	831	12	88	56	112
"121"	469	56	932	31	385
"122"	200	32	906	33	128
"123"	240	18	90	399	284
"124"	957	22	287	194	427
"125"	28	250	1294	2	77
"126"	25	167	1550	0	76
"127"	443	48	1144	20	139
"128"	144	57	1672	4	49
"129"	563	52	311	72	255
"130"	462	25	95	233	283
"131"	251	56	830	125	385
"132"	238	35	982	36	105
"133"	351	25	1018	91	444
"134"	746	46	552	108	451
"135"	433	51	521	12	167
"136"	358	1	1002	0	142
"137"	756	0	222	11	231
"138"	705	57	709	34	170
"139"	913	52	202	112	218
"140"	90	219	1034	150	331
"141"	885	0	22	102	48
"142"	624	36	33	675	330
"143"	1015	8	420	169	339
"144"	565	11	883	5	199
"145"	107	71	1275	33	183
"146"	456	45	367	349	410
"147"	876	1	155	13	194
"148"	70	100	884	72	210
"149"	1204	0	155	50	128
"150"	795	0	140	34	151
