"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"
"1"	0	519	0	196	21	0	34	0	161	65	45	45	5	6	71	4	14	9	5	128	87	10	38	5	48	12	0	40	0	3	103	17	61	0	6	15	2	12	0	5
"2"	0	252	0	444	0	15	72	0	6	59	10	19	0	0	34	2	1	1	0	90	72	5	60	0	26	3	4	12	0	0	122	57	58	0	3	0	0	47	0	0
"3"	0	14	26	0	0	14	1	9	350	40	49	30	1	0	120	11	1	0	0	189	69	14	38	0	50	10	10	16	1	2	81	45	54	0	5	0	5	28	0	9
"4"	0	408	0	313	2	0	51	15	52	84	24	72	1	9	154	9	51	0	0	110	315	4	4	0	25	3	0	7	0	17	62	41	43	0	0	15	10	23	0	3
"5"	1	14	14	4	0	0	11	8	233	30	26	16	22	0	80	1	0	0	6	48	161	4	3	3	105	2	0	10	0	9	45	61	43	0	2	1	4	44	2	1
"6"	4	22	23	163	0	0	102	18	157	90	38	27	19	0	246	1	44	0	7	143	99	15	41	1	85	89	49	49	0	1	236	77	39	0	13	17	3	2	1	2
"7"	0	969	0	332	6	0	35	7	68	31	14	23	0	0	19	0	0	3	0	28	26	48	24	0	30	99	0	2	5	0	27	10	19	0	0	0	0	19	1	0
"8"	0	287	0	153	3	24	72	0	23	70	136	94	5	2	164	0	25	0	4	130	71	0	20	5	83	5	10	32	6	0	114	39	48	0	11	8	8	126	0	4
"9"	3	200	0	31	8	0	5	3	221	31	86	36	10	0	97	2	38	0	0	81	126	0	16	21	62	27	5	13	3	2	118	52	97	1	1	0	0	10	8	1
"10"	0	8	28	0	0	22	2	20	320	52	16	39	1	0	99	39	1	0	0	229	115	2	7	0	32	8	9	2	4	0	185	46	39	1	6	5	31	3	0	5
"11"	0	180	2	92	0	0	49	16	195	55	38	79	17	0	144	0	14	10	0	153	211	31	34	0	82	2	70	17	0	0	89	18	60	22	70	10	16	11	0	19
"12"	0	210	0	69	1	1	4	34	198	21	21	49	3	2	71	0	1	0	0	93	64	16	7	0	50	1	6	1	0	3	58	28	61	1	21	27	0	15	0	47
"13"	0	205	35	419	6	1	143	21	32	37	34	39	13	0	168	11	3	0	0	75	193	0	28	6	84	60	1	24	28	0	149	82	25	0	1	0	0	19	0	0
"14"	0	213	0	86	7	0	19	2	136	32	4	32	29	0	103	2	1	5	2	89	140	7	17	0	65	3	2	29	0	1	178	65	21	0	25	0	3	4	2	39
"15"	25	5	17	0	0	0	25	5	420	79	157	46	0	1	128	1	4	2	1	263	60	14	21	0	32	10	1	7	4	0	156	83	28	0	0	11	8	97	3	3
"16"	1	129	1	351	0	3	149	0	104	53	102	66	5	0	93	3	27	9	2	80	235	0	38	0	34	43	6	54	8	5	95	57	60	19	0	2	17	36	0	28
"17"	0	46	0	468	0	0	94	22	135	41	42	25	30	0	40	0	35	11	0	188	87	3	11	8	98	0	6	1	6	0	83	4	55	2	1	15	2	75	10	13
"18"	0	95	3	1	14	0	0	61	323	23	49	77	2	1	53	0	12	1	0	118	104	0	11	0	37	0	7	25	0	6	166	13	55	0	2	0	7	7	0	2
"19"	0	676	0	225	3	0	13	12	73	9	10	3	1	0	14	0	1	0	0	0	2	0	0	0	6	0	0	0	4	0	6	1	13	0	0	0	0	0	0	0
"20"	0	43	4	493	0	0	129	20	75	51	101	48	15	4	69	49	16	0	5	57	129	12	5	0	59	0	5	16	39	0	176	57	45	0	43	0	1	48	6	15
"21"	4	66	1	55	1	0	55	292	554	18	99	34	3	1	160	0	1	5	0	94	166	0	13	0	29	0	4	65	52	9	41	41	6	3	1	0	0	15	8	22
"22"	3	181	0	350	2	0	171	7	97	92	132	37	10	0	153	3	1	3	0	118	99	0	31	2	59	21	0	37	23	1	91	92	28	0	2	0	1	40	0	9
"23"	16	132	0	7	0	11	9	11	115	138	92	91	2	3	225	8	38	2	0	328	139	4	23	3	87	0	7	59	32	13	92	70	50	10	0	13	57	26	0	10
"24"	0	180	0	272	0	0	305	14	180	44	33	19	16	0	89	0	0	0	15	117	106	0	27	1	33	1	8	34	8	0	48	22	28	0	4	0	31	27	3	25
"25"	0	125	0	168	0	0	158	31	221	63	32	54	0	0	117	4	5	2	0	119	172	0	28	4	89	0	0	2	0	0	143	16	64	12	0	4	2	60	0	19
"26"	1	585	0	114	15	0	11	0	99	35	31	11	4	2	28	0	0	0	0	32	55	0	9	7	44	1	0	3	2	0	47	8	4	0	0	1	0	2	0	7
"27"	0	71	27	5	2	1	3	0	256	87	46	170	3	20	145	16	71	0	0	142	100	0	48	0	92	2	12	35	28	0	158	106	99	1	6	0	5	28	1	44
"28"	5	24	81	2	0	0	59	44	368	54	73	29	3	1	122	15	54	30	0	190	181	10	24	2	106	9	2	48	10	0	88	28	107	11	20	6	37	20	0	58
"29"	1	270	31	40	3	0	85	1	126	126	28	71	10	0	287	32	3	0	1	177	113	4	3	0	79	2	8	26	0	1	133	126	46	0	3	10	13	16	0	34
"30"	0	236	2	183	1	0	63	1	79	83	24	19	10	0	85	13	1	0	2	67	92	0	13	0	43	4	1	4	17	5	97	31	49	0	0	0	7	7	3	6
"31"	0	70	1	158	0	0	35	13	113	44	41	21	1	0	178	5	2	2	0	43	89	15	17	13	19	68	7	25	0	1	48	34	22	1	0	11	34	74	0	1
"32"	0	552	0	42	27	0	1	54	80	63	39	58	15	0	34	4	0	2	0	92	101	11	59	0	37	18	4	98	6	0	118	8	48	0	0	2	9	77	0	7
"33"	0	340	0	289	0	0	33	4	75	23	40	21	32	1	37	2	22	0	3	121	91	6	3	0	78	0	1	43	2	4	124	119	18	0	2	0	11	29	0	5
"34"	5	40	30	13	0	10	45	5	130	63	16	10	7	0	64	16	19	0	0	66	163	7	11	1	22	25	2	21	1	0	119	32	28	0	5	0	16	12	1	9
"35"	0	111	4	5	27	2	20	30	85	54	38	98	18	0	167	1	7	1	0	44	127	18	10	0	39	0	1	10	3	0	92	35	32	27	9	0	16	30	1	22
"36"	0	921	0	73	1	0	34	7	167	33	87	11	1	0	95	0	0	0	3	34	98	2	0	0	21	1	1	6	0	0	100	5	7	44	0	1	0	8	0	52
"37"	5	142	0	627	0	0	300	21	55	22	24	2	0	0	71	0	1	0	0	40	80	0	4	0	27	0	1	2	0	4	72	13	30	0	1	0	2	13	0	0
"38"	7	230	0	138	3	0	35	0	99	48	22	30	15	0	84	3	0	1	0	74	69	14	21	1	26	2	23	7	0	14	136	19	54	0	0	3	31	5	0	20
"39"	0	186	0	327	0	0	56	12	74	48	29	8	0	4	106	13	30	3	0	67	61	3	13	0	41	0	1	21	1	4	82	21	66	0	0	3	18	27	0	5
"40"	1	334	0	214	5	0	39	56	85	75	3	44	1	0	68	1	3	7	0	124	110	30	45	0	24	13	0	2	20	4	146	27	57	0	3	7	14	37	0	0
"41"	2	91	4	69	44	9	1	0	112	75	58	86	11	0	76	2	25	0	0	162	136	22	34	1	61	7	1	9	1	35	75	26	52	4	5	6	1	16	0	4
"42"	0	112	10	242	0	0	97	46	107	66	19	23	0	0	55	0	0	0	0	38	135	0	14	0	16	3	7	11	0	27	38	74	37	0	0	1	5	3	0	5
"43"	0	289	0	170	0	0	121	44	141	22	32	22	2	0	106	1	9	0	0	102	133	0	37	3	82	1	0	22	13	1	119	41	102	0	1	0	0	31	5	39
"44"	10	124	16	29	46	0	14	22	220	97	20	29	58	0	216	5	10	0	10	71	135	3	54	0	82	1	11	16	6	9	168	111	33	0	0	0	17	49	0	3
"45"	7	1	43	17	0	11	34	29	216	89	107	22	18	0	103	1	12	0	0	84	102	2	6	0	78	5	5	26	16	0	67	37	42	0	0	2	15	27	0	15
"46"	5	363	0	344	5	14	32	19	97	107	52	20	3	9	75	10	4	6	1	67	121	6	13	0	51	0	0	12	0	1	100	43	36	0	6	0	4	10	0	0
"47"	3	81	0	44	12	0	14	6	278	53	45	28	0	3	94	2	6	0	2	60	85	30	60	0	55	0	10	25	17	0	24	29	35	0	2	4	0	5	0	3
"48"	0	92	118	29	0	6	91	176	393	152	54	11	24	0	123	18	4	0	29	72	108	10	19	0	85	0	3	23	0	1	112	47	7	0	7	6	0	28	0	6
"49"	12	84	5	121	4	0	60	33	85	67	50	57	11	0	148	6	23	4	17	82	62	12	11	0	67	27	7	41	13	0	101	18	57	0	3	0	14	31	2	3
"50"	0	9	6	222	0	0	194	38	99	24	37	58	61	0	82	0	4	6	1	71	92	1	2	0	55	0	0	34	3	0	55	37	37	0	4	5	4	33	0	28
"51"	0	272	1	83	7	1	4	13	167	78	104	96	3	28	46	3	16	0	0	134	323	0	22	9	57	12	8	74	8	10	111	100	19	0	2	4	2	87	6	14
"52"	6	65	3	49	1	0	14	13	91	48	45	25	2	0	112	0	0	0	0	46	105	7	8	1	20	0	3	5	2	0	152	84	69	0	0	8	0	65	1	3
"53"	1	154	3	60	0	0	13	71	305	45	10	21	22	0	111	33	6	8	2	113	170	2	37	0	49	1	20	30	5	0	128	87	43	0	0	0	2	16	0	10
"54"	0	158	7	76	0	20	0	16	76	34	98	86	28	1	88	3	0	4	0	74	74	0	24	0	62	0	25	19	0	0	116	26	132	4	0	4	12	52	7	15
"55"	8	113	0	38	1	0	6	1	314	37	64	150	4	6	96	26	14	3	2	122	227	2	84	0	55	9	1	13	0	0	105	127	119	0	11	1	15	69	0	43
"56"	9	313	9	175	2	0	94	3	32	60	92	86	34	0	95	14	28	0	3	111	220	3	13	0	92	24	6	23	13	0	129	23	108	1	2	0	10	42	19	18
