"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"	"taxa121"	"taxa122"	"taxa123"	"taxa124"	"taxa125"	"taxa126"	"taxa127"	"taxa128"	"taxa129"	"taxa130"	"taxa131"	"taxa132"	"taxa133"	"taxa134"	"taxa135"	"taxa136"	"taxa137"	"taxa138"	"taxa139"	"taxa140"	"taxa141"	"taxa142"	"taxa143"	"taxa144"	"taxa145"	"taxa146"	"taxa147"	"taxa148"	"taxa149"	"taxa150"	"taxa151"	"taxa152"	"taxa153"	"taxa154"	"taxa155"	"taxa156"	"taxa157"	"taxa158"	"taxa159"	"taxa160"
"1"	0	2	21	43	9	1	0	1	0	0	3	1	2	372	0	0	0	0	0	2	0	0	0	2	0	1	0	21	0	0	0	0	0	0	1	3	0	0	17	3	0	0	0	8	0	0	0	1	0	5	7	2	6	50	24	8	1	0	35	0	1	4	0	11	11	0	25	0	42	1	0	0	0	16	41	0	0	8	2	26	10	6	0	0	0	16	0	9	0	11	10	10	0	0	0	0	0	0	0	0	18	1	27	0	6	0	12	0	14	2	13	0	0	16	0	10	13	0	2	27	0	0	0	0	33	0	0	0	5	0	0	0	1	1	31	0	2	0	13	0	18	0	0	80	3	0	24	7	24	3	0	1	0	1	7	0	0	9	0	0
"2"	0	0	8	44	0	0	0	0	0	7	0	0	15	31	0	0	0	155	0	114	0	8	0	0	0	8	0	1	3	5	0	0	3	0	6	0	20	0	14	1	0	0	0	4	0	0	14	0	0	26	15	0	10	24	16	21	0	0	7	0	0	2	0	9	11	0	29	0	5	0	8	0	6	0	0	0	0	0	4	25	0	1	12	0	11	0	10	2	0	2	27	19	1	0	0	0	0	1	0	7	35	0	22	0	3	0	0	11	3	9	9	0	0	27	0	0	11	2	0	0	0	0	0	0	3	0	0	0	19	0	2	0	0	0	10	0	2	0	1	1	7	0	0	4	0	0	7	17	5	0	1	5	3	2	0	11	0	8	0	4
"3"	0	34	16	0	66	0	32	0	0	3	3	0	9	0	3	0	44	46	0	19	0	0	0	36	0	2	1	0	0	4	0	0	12	0	1	2	0	0	5	32	1	19	0	0	0	0	0	0	0	3	15	2	0	3	15	12	0	0	11	0	0	3	0	0	0	0	22	0	22	5	29	0	0	1	15	0	0	0	3	19	0	0	4	0	16	5	41	20	0	24	40	0	0	2	0	0	0	33	3	1	37	0	7	0	0	0	1	0	4	4	11	0	0	54	0	42	16	2	2	0	0	1	9	0	8	0	1	0	5	0	0	0	0	0	37	1	8	0	2	0	9	0	0	6	37	0	10	0	9	3	0	0	1	5	0	0	0	4	0	0
"4"	0	0	51	14	0	0	0	76	0	0	333	22	0	0	0	0	0	10	0	3	0	1	4	31	0	12	0	11	0	20	0	0	11	6	0	10	3	0	4	0	22	2	0	0	4	0	6	0	0	1	3	9	57	8	33	37	0	0	8	2	0	0	0	0	22	0	25	0	26	1	12	0	1	19	2	34	0	0	5	20	1	16	0	0	18	15	6	108	0	3	63	33	0	24	0	0	19	19	3	8	27	0	10	0	0	9	2	0	31	7	0	3	0	5	0	0	34	0	0	0	0	8	0	0	19	0	17	0	52	0	0	0	0	0	83	10	39	0	13	0	0	0	0	6	24	0	1	35	25	0	0	9	0	26	0	4	0	32	0	0
"5"	3	1	6	0	0	0	11	0	14	0	9	0	42	0	31	0	67	14	0	22	0	0	0	1	0	21	0	17	3	8	0	0	3	1	0	33	0	9	32	0	0	0	0	6	4	0	3	30	0	10	24	2	43	6	48	19	0	0	18	1	0	49	0	6	3	0	23	0	59	2	18	1	0	3	13	0	0	0	8	8	7	4	0	0	35	13	9	49	0	9	35	7	0	25	0	0	5	8	0	13	33	0	8	0	21	0	15	2	13	0	6	0	0	25	0	21	73	0	0	0	0	11	5	2	33	0	0	14	29	0	0	0	6	0	30	0	24	8	8	0	10	0	0	19	1	26	11	0	9	0	4	35	0	8	3	37	0	1	0	10
"6"	0	3	84	0	1	0	0	5	0	0	330	6	4	1	0	0	3	2	0	7	0	0	0	25	0	4	1	51	3	1	0	0	4	0	0	1	0	0	3	0	0	2	1	0	0	1	12	23	0	0	21	0	1	0	38	9	0	0	0	0	6	0	0	7	0	0	18	0	14	1	10	0	7	44	0	0	0	0	0	62	3	0	6	0	6	1	1	17	0	5	7	1	0	0	0	3	0	13	0	3	2	0	1	0	1	0	11	0	2	2	0	0	0	6	0	25	0	0	0	0	0	0	0	0	6	0	0	0	34	0	0	0	0	0	22	7	0	0	4	0	0	0	0	23	6	0	1	2	12	0	0	1	1	12	0	7	0	0	2	0
"7"	5	0	101	9	0	3	0	0	7	0	3	0	16	70	0	0	16	0	0	2	1	0	0	23	0	0	0	33	0	0	0	0	32	0	0	1	4	0	15	0	16	0	0	1	14	2	14	0	0	5	9	0	15	1	53	35	0	0	3	0	0	7	0	20	0	0	13	0	23	0	0	5	0	10	0	0	0	0	0	21	0	4	0	0	10	1	16	14	6	2	23	13	0	0	0	0	0	16	0	0	6	0	21	0	1	0	10	3	3	6	0	2	0	33	0	6	0	1	0	2	0	0	40	4	32	0	0	2	13	0	0	3	0	0	39	14	0	0	13	0	5	0	0	7	1	0	8	1	20	0	2	3	0	1	0	6	0	5	0	0
"8"	0	0	17	7	54	0	25	68	0	0	5	1	1	16	0	0	78	119	32	6	18	0	0	98	0	10	0	25	0	0	0	0	18	0	0	10	0	3	31	7	1	2	4	0	0	0	1	12	0	8	35	11	28	0	88	5	0	0	0	0	0	0	0	8	1	0	29	0	20	22	9	0	0	0	6	1	0	0	14	26	0	11	3	21	20	0	2	35	7	1	34	45	0	6	6	8	0	11	0	74	30	0	21	4	17	0	0	3	25	0	6	4	0	13	0	0	4	0	0	1	0	0	0	0	54	0	0	0	74	0	0	0	0	0	61	1	0	0	5	5	7	0	1	3	11	0	3	1	25	0	0	59	6	4	0	63	0	6	0	0
"9"	0	0	132	8	0	0	0	4	6	39	35	0	0	7	0	1	3	113	0	142	0	47	0	4	0	0	0	25	0	11	0	0	36	1	1	34	0	0	4	9	0	0	1	0	0	7	0	5	0	5	6	7	77	7	28	29	0	0	2	1	0	0	3	23	5	0	39	0	90	7	21	0	3	3	13	1	0	0	0	28	0	2	3	0	20	4	10	22	0	6	15	0	7	1	0	1	0	18	0	0	35	0	3	0	1	0	57	1	12	70	5	12	0	56	30	9	11	0	1	10	0	0	7	0	29	0	0	0	32	0	0	0	0	0	75	42	5	2	43	0	10	0	0	0	3	2	18	3	19	0	1	2	7	3	0	12	0	42	0	17
"10"	0	6	35	0	19	0	0	57	0	18	7	0	8	0	2	0	47	13	46	30	3	0	1	2	0	3	0	8	0	1	9	0	0	0	0	55	2	0	7	0	0	23	0	1	15	0	0	5	0	8	8	0	9	3	22	14	2	0	30	0	0	93	3	13	11	0	84	0	11	16	0	0	0	8	0	1	0	0	6	4	0	42	0	0	5	0	42	7	0	7	29	37	0	0	0	10	0	13	2	6	15	0	60	0	0	9	1	0	22	3	41	0	0	39	0	1	5	0	0	0	0	7	0	0	56	1	0	21	16	0	0	0	0	0	16	3	13	0	15	0	27	0	0	2	7	5	26	29	17	0	2	23	5	1	0	0	0	0	2	0
