"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"	"taxa121"	"taxa122"	"taxa123"	"taxa124"	"taxa125"	"taxa126"	"taxa127"	"taxa128"	"taxa129"	"taxa130"	"taxa131"	"taxa132"	"taxa133"	"taxa134"	"taxa135"	"taxa136"	"taxa137"	"taxa138"	"taxa139"	"taxa140"	"taxa141"	"taxa142"	"taxa143"	"taxa144"	"taxa145"	"taxa146"	"taxa147"	"taxa148"	"taxa149"	"taxa150"
"1"	12	5	11	63	1	0	12	6	0	29	72	2	0	0	16	0	5	1	5	63	5	22	0	2	0	0	0	0	0	0	0	0	0	0	2	10	25	2	0	0	11	11	0	0	12	0	0	0	44	16	3	0	2	1	8	16	158	0	17	0	28	10	0	0	0	39	29	66	120	1	92	0	2	17	8	30	12	6	14	0	11	0	0	0	0	0	1	0	5	9	44	16	6	3	8	3	16	0	9	37	9	0	0	0	0	28	21	24	0	0	15	0	0	25	24	94	0	0	1	0	1	0	0	37	1	0	8	45	46	60	5	9	1	13	3	0	0	3	0	0	8	15	31	0	0	7	5	0	0	2
"2"	0	0	0	3	3	0	9	0	2	10	7	0	11	0	17	0	3	3	7	30	5	2	0	0	5	0	0	0	2	0	8	0	0	2	0	11	33	33	0	6	0	4	0	0	5	0	0	1	18	0	0	29	0	2	5	7	62	0	14	0	4	46	9	0	0	0	5	31	21	3	9	4	5	0	1	3	24	1	0	0	0	0	0	0	0	0	0	0	0	6	3	0	6	1	3	7	11	0	0	22	17	1	0	2	1	4	0	3	16	0	51	0	0	7	0	4	0	0	1	10	1	0	3	19	10	0	2	48	19	42	0	6	9	10	13	0	0	0	0	0	3	15	4	17	6	45	0	0	0	67
"3"	0	0	25	21	0	0	6	0	0	0	17	30	0	0	0	0	0	78	8	44	9	7	0	0	0	2	1	13	3	0	7	0	0	0	8	7	130	23	0	10	17	2	0	0	12	1	0	3	21	0	2	3	16	2	23	17	49	0	11	0	1	4	0	0	0	0	2	8	92	23	24	0	0	9	3	4	100	1	0	5	1	0	0	0	3	7	0	0	11	3	6	0	16	3	7	0	7	6	7	78	63	6	0	0	0	3	9	10	0	0	27	0	0	47	0	30	0	0	0	3	2	0	0	1	36	7	0	67	14	23	0	29	6	49	7	0	0	14	3	0	0	12	3	7	2	41	17	0	4	1
"4"	3	0	34	52	1	0	4	6	7	11	46	7	0	0	2	0	0	39	0	18	32	14	17	0	0	0	0	13	0	0	0	0	0	0	7	4	12	8	0	16	11	1	0	2	8	34	0	0	15	1	12	9	6	6	29	0	114	0	3	0	15	32	8	1	5	6	21	15	29	1	7	1	0	10	6	19	8	7	0	0	0	7	2	0	0	0	0	0	1	24	1	36	17	0	47	0	7	0	21	8	2	1	0	1	0	7	9	17	0	0	4	0	0	10	1	50	0	0	0	0	8	0	0	12	1	5	0	50	8	71	0	2	0	12	1	0	8	5	0	0	9	8	9	13	26	11	0	0	8	5
"5"	0	0	236	43	0	2	7	6	8	0	18	1	0	1	1	0	0	17	7	29	2	32	0	9	6	0	0	2	0	0	1	0	3	0	0	1	30	64	2	1	25	5	0	0	22	0	0	6	0	0	1	0	0	0	12	15	29	0	2	0	5	28	0	0	0	0	2	16	59	0	22	1	9	6	0	30	27	0	0	0	0	0	0	0	0	0	0	12	10	15	0	1	25	0	0	0	10	5	1	21	0	13	0	10	0	4	2	5	0	3	5	0	0	0	0	14	0	0	0	0	33	0	43	2	0	6	1	26	69	43	0	1	2	0	7	0	0	6	0	0	0	1	17	7	9	48	1	0	0	5
"6"	14	1	24	8	0	17	45	0	40	1	28	1	0	2	1	0	1	17	2	71	0	6	0	0	7	1	0	19	4	0	0	0	0	0	0	0	41	27	0	9	31	6	0	3	13	1	7	8	7	0	0	13	0	0	9	23	14	3	12	0	5	8	3	0	21	0	1	19	56	0	11	1	2	4	3	0	77	11	0	13	51	0	0	0	0	0	0	1	36	10	10	0	16	0	11	12	26	11	4	3	13	6	0	0	0	48	9	0	6	11	3	0	0	19	0	63	0	0	0	13	10	0	0	51	0	7	4	64	56	82	0	0	0	10	1	0	0	9	0	0	13	10	57	18	3	2	0	0	0	38
"7"	0	16	24	0	1	3	19	4	2	15	43	3	19	0	19	0	0	1	0	41	18	14	0	0	0	0	0	0	0	0	24	2	0	0	0	3	3	19	1	0	2	0	0	0	6	0	0	0	25	0	0	33	0	0	16	6	9	6	11	14	14	9	0	0	4	0	1	27	32	9	3	0	25	0	11	5	38	1	0	0	12	0	0	0	0	0	0	0	0	62	0	8	15	0	8	0	6	0	0	2	38	0	0	0	0	10	18	18	0	2	9	0	0	7	0	82	0	0	0	1	0	0	0	33	4	7	0	11	24	19	0	8	0	3	30	0	0	1	0	0	0	3	12	2	4	23	54	0	0	10
"8"	0	7	113	12	0	0	2	0	0	1	18	0	1	13	25	1	0	19	2	42	3	24	0	1	0	0	0	1	0	2	2	0	15	0	0	8	13	29	0	0	5	1	0	0	4	1	0	23	9	0	1	0	0	12	51	20	18	0	6	2	29	4	5	0	0	21	2	31	17	0	5	0	2	2	3	2	7	3	0	0	0	0	0	7	0	0	0	0	10	45	1	33	19	9	4	0	20	1	17	43	5	26	0	9	0	21	24	3	0	0	9	0	1	10	49	56	0	0	0	0	3	0	1	11	27	26	20	49	17	115	0	21	3	5	8	0	0	2	1	0	0	21	21	17	0	11	0	0	0	12
"9"	0	3	21	32	12	1	8	0	0	0	20	0	40	12	10	0	1	104	11	43	21	13	7	10	19	0	0	3	0	0	4	1	0	0	0	9	32	25	2	3	6	0	0	0	73	0	0	0	20	0	7	9	0	1	53	5	51	0	2	0	9	28	4	0	0	0	0	68	79	17	11	0	0	1	0	2	20	9	0	0	8	0	0	0	0	0	0	0	1	32	0	87	4	0	11	9	23	19	7	41	5	19	0	1	0	23	11	10	0	1	3	0	0	33	0	45	0	0	0	0	13	0	0	7	1	8	8	49	7	14	0	0	0	3	14	0	0	4	0	0	30	5	9	2	1	49	10	16	0	3
"10"	0	4	1	10	4	5	49	32	0	1	51	0	0	0	0	8	1	32	0	10	1	1	15	5	4	0	1	1	0	4	16	5	0	0	0	13	15	5	0	1	0	3	0	9	23	1	2	0	50	1	0	1	0	2	33	42	82	9	7	0	16	61	27	0	11	0	0	58	109	2	4	4	4	0	1	35	48	1	0	0	0	0	0	12	0	0	0	0	10	12	1	0	1	0	7	1	8	0	24	21	28	12	0	7	0	27	45	0	5	0	1	0	0	40	0	18	0	0	0	0	14	3	0	1	5	0	0	43	5	7	0	5	0	4	0	0	0	12	1	0	0	14	8	2	2	13	4	0	0	61
