"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"
"1"	7	0	57	11	119	1	2	2	0	0	0	37	10	0	10	0	0	7	4	0	14	13	21	0	0	46	0	1	18	23	0	12	0	12	1	64	12	57	7	0	48	6	27	7	0	0	39	0	16	68	1	0	0	0	0	0	2	7	34	14	2	0	5	0	1	8	43	2	1	0	0	7	24	24	12	21	3	25	8	0
"2"	0	17	264	6	132	2	0	13	0	0	0	58	159	36	15	1	0	40	6	0	13	0	6	0	0	28	0	0	8	27	1	76	0	1	0	29	14	42	3	10	100	26	3	4	0	3	96	0	45	59	3	2	3	0	0	0	0	10	27	36	0	11	1	7	9	30	82	8	0	67	0	21	2	24	0	14	0	48	50	0
"3"	3	0	6	2	15	1	11	15	3	0	3	29	42	3	5	0	0	25	7	8	0	1	28	22	0	32	0	4	6	13	1	173	0	0	0	28	19	11	3	0	79	9	11	5	10	32	43	15	86	83	16	1	0	0	0	14	0	64	99	36	7	2	33	0	1	1	47	17	0	14	1	17	0	38	0	9	7	13	29	0
"4"	49	31	5	7	293	24	0	8	0	0	1	58	76	5	2	21	0	26	60	0	10	8	59	0	0	35	0	9	4	0	1	40	23	0	0	23	15	8	28	0	31	16	0	22	8	0	111	0	25	41	7	0	0	2	0	13	0	13	59	9	36	31	2	0	10	12	44	17	0	1	0	53	0	10	0	11	14	8	12	0
"5"	1	0	17	42	17	104	4	19	1	3	0	57	72	18	35	1	0	54	9	4	76	0	29	0	4	92	0	0	36	40	0	152	0	2	1	21	39	30	18	0	121	12	18	13	7	2	57	0	63	73	6	19	2	0	0	13	9	21	44	3	49	1	37	1	6	41	56	12	0	9	0	51	2	96	2	5	16	73	46	0
"6"	40	20	0	13	36	1	33	6	1	0	0	33	49	0	17	16	0	58	2	1	27	0	22	0	0	36	2	0	9	25	0	61	18	0	3	12	5	91	6	24	51	27	11	15	1	1	96	4	56	87	29	11	4	0	0	1	0	23	10	24	2	9	52	0	0	11	70	19	0	0	0	22	0	58	0	11	0	58	60	0
"7"	3	0	12	5	445	0	4	20	0	9	0	81	103	0	49	0	3	54	0	0	34	1	3	17	0	89	7	1	1	11	8	105	30	3	1	15	94	43	4	1	19	1	8	15	13	40	24	0	35	110	6	57	0	0	0	1	0	10	35	5	2	7	3	0	1	37	30	29	7	15	0	34	3	59	0	0	4	47	41	0
"8"	11	1	0	50	192	9	1	9	0	0	14	23	18	3	22	0	0	86	2	0	120	7	54	16	3	26	47	2	26	8	0	38	1	6	5	56	78	36	13	17	65	11	19	70	4	1	67	0	51	31	4	4	0	0	0	4	4	32	87	3	14	0	18	63	2	13	80	27	0	26	0	46	1	42	0	31	1	0	37	0
"9"	0	12	15	16	27	2	1	17	0	0	0	33	17	2	7	0	1	32	0	10	7	0	28	0	0	71	1	6	4	50	16	97	7	1	0	62	14	38	2	4	14	4	12	4	2	0	47	0	65	72	11	6	0	0	0	0	0	6	30	20	10	23	5	1	0	8	34	11	0	9	9	21	19	44	12	5	6	28	53	0
"10"	33	0	20	16	26	0	0	12	2	0	1	58	94	6	3	2	0	53	5	0	99	3	21	1	0	9	1	0	28	39	1	30	9	0	16	52	22	100	6	0	7	22	48	29	11	1	74	1	41	98	3	11	6	0	0	0	0	155	59	2	1	8	5	11	15	40	26	75	14	32	0	16	8	19	0	6	1	34	66	23
"11"	38	22	0	5	70	10	0	1	0	0	11	24	14	0	10	37	0	30	19	1	119	1	36	0	0	37	0	0	26	84	0	76	0	15	8	13	34	58	8	0	44	27	30	2	27	0	96	9	38	125	28	0	0	0	0	30	1	21	169	2	1	0	62	9	2	22	47	70	0	8	0	28	3	20	7	6	13	106	66	1
"12"	0	1	20	13	147	0	14	4	0	0	37	6	12	2	4	1	0	25	13	3	17	1	44	4	0	19	4	3	2	8	0	33	0	11	0	9	22	25	1	1	5	1	21	4	4	0	13	0	47	28	46	1	0	1	1	15	0	18	40	1	2	20	14	2	12	3	57	59	0	4	0	24	0	2	0	2	0	24	80	2
"13"	14	3	59	19	103	14	0	11	0	0	0	68	69	0	24	0	1	134	2	0	30	0	55	2	1	58	4	38	39	65	0	65	6	17	4	72	4	58	5	0	92	54	9	32	8	16	56	0	110	95	10	0	0	0	0	1	0	16	82	42	27	0	78	0	4	4	36	21	0	6	1	13	11	11	0	1	14	40	15	0
"14"	2	8	75	18	43	0	9	0	3	0	3	65	118	2	27	12	0	74	7	0	108	0	51	0	8	41	3	0	60	46	0	60	0	0	13	18	52	29	10	25	16	17	21	4	4	9	39	0	82	85	1	1	0	0	0	8	0	19	84	13	2	5	56	57	3	9	128	108	8	22	0	65	3	44	4	9	0	25	41	0
"15"	24	0	0	38	67	19	0	5	11	0	0	21	68	1	14	0	9	47	4	0	3	2	18	3	0	43	0	0	12	20	2	78	6	0	7	13	36	49	3	0	39	11	0	26	4	1	39	0	74	45	0	0	11	0	0	13	0	25	28	7	4	0	23	0	7	3	42	31	3	6	0	48	6	82	0	7	7	22	29	0
"16"	10	0	50	40	90	3	0	5	0	0	15	5	31	0	10	1	0	73	6	6	60	0	34	1	0	75	0	0	51	23	0	33	0	0	0	34	31	142	24	10	86	41	6	1	2	13	40	0	93	115	11	4	2	0	0	18	1	34	33	21	1	1	49	20	18	14	62	14	29	34	0	92	34	57	0	3	6	9	48	9
"17"	12	1	23	35	21	0	12	1	0	0	1	11	54	4	0	3	0	25	13	10	23	3	29	1	0	39	0	0	4	29	1	38	0	3	3	28	25	36	0	0	17	5	11	32	8	3	17	0	90	82	10	40	3	0	0	9	0	15	43	0	9	7	12	0	4	18	33	27	0	0	0	5	8	28	5	11	4	11	49	0
"18"	25	0	0	17	208	12	6	2	0	0	0	46	73	0	10	0	0	19	4	3	21	0	17	0	0	27	0	0	26	76	11	94	0	0	11	28	48	44	5	0	41	24	36	2	9	0	32	1	56	30	5	0	0	0	0	1	2	39	46	21	10	0	1	1	3	12	12	1	0	0	0	51	0	23	0	12	0	97	34	0
