"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"
"1"	4	200	168	223	0	18	44	935	30	44
"2"	9	5	209	634	44	2	25	515	8	3
"3"	98	294	11	320	7	16	61	180	1	66
"4"	53	836	18	323	18	29	153	145	12	64
"5"	24	246	62	15	0	0	121	1135	0	9
"6"	32	815	29	236	1	31	371	227	2	8
"7"	9	68	34	1460	2	35	237	92	2	3
"8"	67	131	504	270	0	0	245	657	0	15
"9"	1	530	11	61	0	73	1014	277	3	7
"10"	7	72	0	1206	53	20	16	33	0	47
"11"	29	282	14	91	0	18	457	138	0	4
"12"	7	123	43	787	1	81	57	180	6	34
"13"	178	66	51	914	11	17	144	56	2	12
"14"	64	530	0	125	8	0	149	339	6	38
"15"	29	50	103	1108	86	6	44	99	1	3
"16"	8	5	338	547	0	16	61	45	0	0
"17"	10	14	462	799	21	8	0	166	0	17
"18"	14	119	120	1146	19	38	45	324	0	33
"19"	17	83	60	588	20	8	0	309	12	47
"20"	0	10	91	1187	31	7	30	85	8	3
"21"	1	11	404	498	9	8	99	43	8	0
"22"	3	30	10	1844	52	2	2	30	1	9
"23"	20	342	10	1221	3	118	63	41	7	45
"24"	0	154	41	685	0	62	159	109	14	10
"25"	36	89	267	153	4	25	241	440	0	86
"26"	5	530	0	305	3	35	46	106	7	0
"27"	109	796	40	371	28	33	229	268	47	71
"28"	22	37	257	188	63	0	18	572	2	11
"29"	32	206	33	606	4	25	100	141	7	14
"30"	135	264	50	279	196	37	162	524	11	57
"31"	3	952	0	115	70	6	1	527	11	21
"32"	3	39	92	605	0	171	80	60	0	42
"33"	118	418	0	133	145	1	15	534	11	11
"34"	8	21	1	1815	0	30	19	0	0	0
"35"	35	86	48	32	2	2	681	129	0	3
"36"	6	163	125	221	0	27	171	413	0	16
"37"	32	274	49	209	0	4	734	130	0	10
"38"	53	750	50	131	0	109	461	268	25	10
