"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"
"1"	0	0	161	0	19	0	35	0	3	0	0	86	2	0	0	3	25	2	13	4	1	25	26	14	1	39	3	46	0	6	8	34	0	0	0	4	11	0	0	0	23	14	15	43	45	0	0	19	0	20	5	38	17	9	0	10	11	0	0	5	7	2	20	11	5	8	2	0	0	21	0	25	19	0	7	12	3	0	58	3
"2"	6	13	0	18	0	21	39	5	16	0	47	13	0	29	0	20	0	3	50	24	27	48	45	4	1	25	0	65	35	2	3	1	0	0	1	1	37	0	3	0	15	12	0	57	48	22	2	15	0	12	2	18	17	8	0	21	2	0	9	16	2	22	32	12	22	25	2	3	0	12	8	33	40	77	7	1	2	1	29	2
"3"	10	29	25	0	20	6	97	0	19	0	8	57	7	0	2	0	0	2	11	12	21	57	26	4	20	79	27	58	0	4	46	4	0	0	5	0	25	0	0	0	34	5	24	19	49	37	3	38	0	22	28	34	14	55	3	15	0	1	0	4	40	0	0	1	35	20	3	2	0	11	4	26	96	0	26	25	12	3	64	15
"4"	27	32	4	15	0	1	67	1	35	0	3	94	0	3	7	1	0	8	25	10	42	16	75	14	6	45	0	95	6	1	5	11	0	0	6	2	155	0	2	0	10	7	2	44	26	11	8	1	0	19	7	21	27	4	0	24	0	1	1	0	24	0	0	5	15	11	13	6	0	15	8	14	95	1	22	0	0	2	72	4
"5"	0	0	42	0	524	20	114	0	5	0	0	28	3	0	0	5	8	16	1	17	0	48	25	15	6	78	0	32	1	1	22	21	17	0	5	0	8	0	0	0	4	3	0	17	16	10	0	5	0	9	11	30	20	6	0	3	61	0	0	4	3	2	0	1	4	1	0	3	0	22	0	2	80	0	37	5	4	0	40	0
"6"	0	0	158	5	21	0	70	7	26	0	0	45	23	0	0	9	0	11	22	0	37	8	112	15	7	45	0	61	3	0	13	19	0	0	14	6	44	0	0	0	3	8	7	113	9	4	4	26	0	25	22	60	111	23	0	18	10	0	5	0	2	1	1	30	38	28	29	1	0	70	15	12	110	0	21	4	3	0	37	3
"7"	0	3	208	0	9	1	81	0	65	5	1	17	0	0	0	1	0	12	10	3	17	61	20	3	7	46	0	139	34	17	37	13	0	0	0	14	49	0	0	2	9	7	7	72	38	1	4	4	0	22	9	85	26	50	0	0	1	0	0	0	9	0	3	1	20	12	0	0	0	23	16	8	67	0	79	32	13	8	113	6
"8"	0	5	76	2	48	3	67	2	59	0	0	31	0	0	8	5	0	61	8	3	3	76	32	1	67	42	4	48	1	0	8	11	0	0	6	0	13	0	0	1	3	22	0	44	60	0	0	25	0	25	43	1	26	16	2	9	3	0	0	0	3	0	3	12	32	4	22	10	0	16	22	10	31	0	27	1	14	0	28	0
"9"	7	0	81	0	188	55	140	0	17	0	0	74	1	3	0	0	0	5	44	0	5	79	69	7	2	82	0	48	1	5	10	38	0	0	2	0	4	0	0	0	2	10	20	105	42	0	0	2	5	88	11	79	27	4	20	37	0	0	0	0	0	0	0	6	31	9	0	0	0	31	7	5	71	0	50	13	26	4	21	26
"10"	6	0	151	0	40	30	166	3	20	0	0	29	15	0	0	0	0	3	83	3	106	54	59	16	28	90	0	95	6	1	13	17	0	0	10	2	63	0	0	0	11	36	2	109	22	20	1	0	0	20	2	23	2	7	2	14	1	0	0	4	13	0	4	22	10	7	9	28	0	117	15	20	66	0	42	21	4	0	18	55
"11"	0	3	37	7	44	17	20	6	59	0	7	52	0	0	0	1	0	20	23	0	18	63	52	3	80	102	2	50	0	1	29	4	0	0	1	5	18	0	0	0	7	8	40	50	15	8	7	1	0	34	11	23	8	1	0	4	0	0	0	33	13	0	5	0	35	3	6	12	0	25	12	9	60	0	27	8	1	0	9	7
"12"	5	35	25	0	8	13	56	2	6	0	1	75	0	0	0	0	10	2	39	9	16	51	58	32	15	94	0	83	0	1	3	44	0	24	2	1	37	0	0	0	16	32	41	54	15	0	0	0	0	8	9	45	9	4	1	52	0	1	0	0	85	18	4	4	17	4	1	0	0	70	15	31	51	0	44	6	2	53	21	34
"13"	1	0	16	12	6	30	51	0	23	0	5	83	3	0	0	7	3	11	65	18	17	30	56	5	4	102	0	68	0	1	46	12	0	0	26	1	84	0	0	0	1	5	21	122	44	4	1	2	0	59	45	5	34	26	0	10	0	9	4	1	79	2	19	28	9	2	0	55	0	108	19	48	58	0	17	7	5	14	48	13
"14"	0	0	222	0	24	12	126	0	12	0	1	100	0	0	0	3	0	49	13	1	30	15	32	27	41	66	0	119	1	0	5	3	0	0	7	0	16	21	0	20	8	2	11	21	39	3	2	38	44	17	0	16	31	16	0	20	0	0	5	0	12	0	0	0	5	0	0	0	0	19	20	11	27	0	34	25	26	5	107	15
"15"	0	0	163	0	1	10	49	3	9	0	14	70	0	0	14	0	0	13	34	0	28	102	24	14	38	48	0	80	0	0	22	33	0	0	28	0	46	4	0	6	0	2	43	177	6	10	15	19	0	20	19	16	11	48	1	14	10	0	0	0	28	3	0	9	26	18	3	1	0	41	30	36	112	0	47	17	0	15	36	11
