"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"
"1"	6	180	10	0	57	1	0	0	32	0	0	90	0	2	0	0	0	0	0	49	12	0	0	0	31	26	0	1	0	0	4	0	37	2	16	0	4	9	31	0	0	4	0	0	6	21	0	2	0	24	0	0	0	11	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	17	0	2	21	19	0	0	0	14	0	0	0	2	26	0	2	0	0	0	15	0	7	49	9	3	0	33	18	5	0	0	0	2	55	27	3	9	7	0	0	0	0	0	15	21	12	6	45	4	1	0
"2"	47	22	0	11	3	0	186	0	10	0	21	50	3	0	0	0	4	8	1	3	0	1	0	0	14	28	0	0	0	1	0	0	50	1	82	6	7	1	2	2	20	22	0	2	2	19	0	1	1	0	0	2	0	2	27	4	0	0	3	1	0	0	0	0	1	1	4	0	0	29	5	22	12	23	0	0	1	19	0	0	0	3	86	0	7	0	29	6	19	0	18	11	0	15	0	3	35	0	0	0	0	16	71	2	0	1	0	0	2	0	1	0	28	13	51	1	57	9	25	0
"3"	10	38	0	1	2	4	3	0	67	0	21	18	3	1	0	0	0	0	0	11	4	6	0	30	16	17	0	0	0	0	11	0	14	11	23	3	19	15	3	8	1	7	3	0	7	36	0	9	5	24	0	0	0	14	22	1	0	1	0	3	10	0	0	0	9	0	0	0	0	95	0	18	25	21	0	1	0	67	0	0	0	1	32	0	14	3	0	0	4	0	0	5	0	22	0	22	46	0	0	0	1	0	9	29	1	2	55	0	0	0	2	0	20	23	4	0	66	16	3	2
"4"	11	17	0	0	390	0	2	4	33	0	16	0	17	24	0	5	0	0	0	3	1	6	0	0	7	9	1	1	0	0	2	10	11	0	8	4	8	2	8	3	0	20	0	0	2	4	1	16	5	3	0	0	0	3	25	2	0	0	0	0	17	0	1	0	7	0	1	0	6	25	1	23	40	7	1	0	5	37	2	0	0	27	4	0	35	0	0	0	2	0	0	8	0	0	0	0	1	0	0	0	0	0	17	0	0	0	4	1	3	0	0	0	56	7	10	20	19	9	0	0
"5"	54	36	0	3	21	0	66	24	23	3	0	87	0	44	1	0	0	3	0	40	26	58	0	5	74	35	0	14	0	0	0	0	22	2	24	16	1	3	19	49	1	0	0	0	4	3	0	7	4	4	0	14	0	16	0	14	2	27	0	1	12	0	0	0	68	0	0	0	0	17	0	36	59	9	5	2	0	52	0	0	1	25	49	4	34	0	16	0	13	0	1	12	0	27	0	2	19	0	0	0	7	13	23	6	0	11	8	0	0	0	3	0	31	13	89	66	102	61	3	0
"6"	35	28	0	0	56	1	2	12	4	2	0	109	1	38	2	0	0	0	0	36	7	12	0	0	30	93	0	1	0	0	8	0	71	1	8	10	1	3	9	19	39	21	0	0	2	5	0	33	1	19	0	1	1	13	0	2	0	31	0	0	1	0	0	0	10	0	0	0	0	21	0	1	49	44	28	1	0	7	0	3	3	0	79	1	39	0	0	14	48	0	0	35	0	7	0	1	10	0	0	0	0	4	88	35	0	1	15	0	0	0	3	0	105	56	51	17	82	27	12	0
"7"	17	280	0	0	2	0	0	0	410	0	37	7	0	0	1	0	0	3	0	20	13	8	0	0	7	79	2	10	0	0	0	0	37	85	15	30	14	0	3	11	0	45	0	52	9	25	0	25	6	7	0	1	0	37	0	7	0	0	0	10	2	0	0	0	1	0	0	0	0	7	0	13	44	5	0	4	4	24	0	0	0	1	14	0	4	0	0	0	21	0	2	1	0	8	2	6	0	0	0	0	10	4	25	1	0	15	10	0	0	0	0	0	23	25	38	1	46	3	1	0
"8"	29	67	2	1	3	9	2	4	8	0	9	23	1	6	0	0	40	0	0	14	0	1	0	0	15	36	2	3	0	2	4	0	64	7	30	57	0	0	21	9	5	67	0	0	3	6	0	20	0	16	0	0	0	12	0	0	0	0	0	0	2	0	0	0	14	0	0	0	0	89	0	9	18	15	2	5	3	81	0	0	0	17	22	0	7	0	0	0	12	0	0	14	3	29	0	4	35	0	0	0	6	2	8	2	0	0	1	0	0	0	0	0	57	24	62	38	13	15	8	0
"9"	32	352	0	0	15	0	11	0	95	0	0	49	0	234	0	0	0	0	0	21	0	0	0	0	31	5	0	10	0	0	0	0	27	0	12	8	19	1	7	16	0	1	0	0	4	23	0	11	0	9	1	0	1	22	0	2	0	2	0	0	0	0	1	0	32	0	0	0	0	9	5	10	79	85	0	4	5	0	0	0	0	1	26	0	16	2	0	0	3	0	0	48	4	42	0	7	16	0	0	0	5	0	25	0	0	0	16	0	12	0	0	0	5	34	36	35	47	9	12	0
"10"	27	103	0	0	48	13	11	0	6	0	361	0	0	14	41	6	0	10	0	38	15	3	1	3	21	30	0	36	0	0	0	0	29	0	70	6	1	7	8	1	0	7	0	0	23	14	0	31	5	5	21	0	0	8	0	2	2	0	0	0	28	0	0	0	0	0	0	0	0	27	0	4	11	28	0	26	0	38	0	0	0	0	13	0	28	0	0	0	0	0	9	17	2	22	0	10	6	0	0	0	7	2	20	4	1	0	12	0	1	0	15	0	40	3	7	3	86	3	0	0
