"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"
"1"	17	5	25	0	3	805	6	42	17	74	9	167	0	42	24	22	1	20	0	0	36	0	4	0	0	0	28	41	0	25	0	0	0	5	8	0	89	0	0	21	3	10	50	0	12	0	0	10	19	0	0	10	0	9	0	1	0	0	1	0	3	0	0	35	3	3	0	3	0	17	0	9	17	0	56	0	3	0	8	62
"2"	53	36	30	0	4	129	27	3	3	76	0	38	0	8	27	19	21	0	3	2	5	0	88	0	7	6	43	77	2	32	0	3	4	16	17	0	30	0	6	0	0	31	31	0	19	0	0	3	0	2	1	0	6	16	0	0	47	1	7	0	0	36	15	37	2	8	24	77	0	0	0	18	37	0	70	3	2	0	26	73
"3"	20	89	3	3	0	91	1	0	9	35	162	123	0	5	64	26	33	8	0	2	11	0	19	0	0	2	2	48	4	6	7	0	0	8	6	1	18	12	0	2	3	17	21	0	0	1	0	0	0	0	0	0	0	22	0	0	1	2	0	0	2	3	0	15	0	16	0	14	0	0	0	12	4	0	56	1	13	0	19	54
"4"	1	30	88	9	0	0	52	701	5	0	0	18	0	3	11	10	8	0	2	36	0	0	17	0	1	0	12	23	0	5	0	0	0	10	18	0	6	0	0	3	0	0	66	0	4	3	0	0	29	0	0	0	0	0	0	0	9	0	4	0	0	0	0	26	0	2	0	0	0	36	0	3	1	0	44	0	5	0	2	65
"5"	11	2	12	2	1	65	16	41	5	0	0	117	8	19	78	36	31	1	0	4	35	1	8	0	4	0	79	48	0	45	21	0	0	19	0	1	39	3	0	8	0	31	32	0	2	2	6	18	0	0	4	14	15	18	7	4	6	0	10	0	0	11	2	18	0	11	5	20	1	0	1	22	10	0	95	0	17	0	61	70
"6"	4	12	1	35	0	271	2	36	79	0	0	50	0	6	15	22	9	1	0	15	9	0	27	4	2	2	42	52	0	37	0	0	0	14	0	3	57	1	0	1	0	24	20	0	4	3	5	1	2	13	10	1	24	43	1	0	7	7	26	0	0	0	0	23	0	9	20	38	0	0	8	10	19	0	91	2	20	0	91	27
"7"	38	17	64	41	0	4	477	0	0	17	3	233	0	5	23	32	10	0	0	6	29	0	41	0	5	0	11	16	6	8	0	0	0	10	5	3	47	1	0	6	0	10	10	2	0	0	0	0	14	0	0	0	5	33	0	0	0	0	6	0	0	3	0	11	0	2	0	8	0	1	3	16	10	0	35	0	5	1	25	58
"8"	12	79	17	5	0	45	21	22	0	50	7	171	23	7	39	86	19	0	0	0	7	0	19	11	2	0	55	110	0	36	0	0	0	30	2	0	37	0	0	15	0	46	165	0	1	20	13	2	0	4	1	4	6	171	18	3	1	1	22	0	0	0	22	100	0	0	0	2	1	6	5	6	25	0	76	12	0	0	21	275
"9"	1	24	556	11	1	13	10	77	17	7	4	50	0	15	83	36	37	0	26	0	14	3	39	1	1	2	32	69	12	47	44	0	0	3	0	0	71	1	0	13	4	1	47	4	6	0	0	2	0	3	0	6	0	16	2	1	3	21	10	0	0	7	3	42	0	7	1	72	0	3	0	63	37	5	58	1	2	0	36	154
"10"	60	120	25	0	0	44	4	19	8	23	119	188	0	24	13	31	64	0	11	2	9	0	34	7	0	36	11	87	0	47	2	0	26	36	0	0	22	0	0	0	7	35	22	0	0	29	0	3	10	6	5	15	0	33	0	2	1	8	10	0	0	2	4	64	2	52	2	14	1	0	1	18	61	0	58	3	12	0	32	140
