"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"
"1"	129	199	71	1	542	1	10	192	200	247
"2"	126	72	669	35	17	0	39	67	2	169
"3"	66	141	52	0	813	13	0	353	416	63
"4"	5	1002	6	2	234	4	1	29	110	58
"5"	238	7	896	0	7	0	1	58	4	7
"6"	102	980	7	3	126	51	32	93	35	183
"7"	329	81	307	3	17	16	108	115	84	231
"8"	628	57	90	16	90	0	3	161	244	42
"9"	345	0	497	0	6	1	13	5	108	61
"10"	521	57	282	1	136	0	0	122	543	38
"11"	416	18	719	0	0	16	216	7	42	70
"12"	686	70	242	4	215	0	0	179	50	45
"13"	567	0	820	32	7	1	24	68	151	75
"14"	108	314	204	0	461	0	22	166	50	170
"15"	376	271	120	12	412	0	0	193	180	120
"16"	334	223	58	1	286	0	0	74	260	77
"17"	50	514	9	1	686	2	10	66	136	141
"18"	330	289	65	4	224	28	1	101	236	150
"19"	178	169	105	6	440	7	1	244	529	172
"20"	310	39	591	0	130	0	11	161	134	91
"21"	905	135	202	13	91	0	0	128	179	172
"22"	1056	0	420	30	0	0	70	33	59	102
"23"	160	192	183	0	134	14	20	74	714	139
"24"	131	36	284	0	233	3	12	359	589	179
"25"	552	1	343	5	0	2	205	42	40	88
