"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"
"1"	87	0	9	131	11	112	0	5	71	67	74	278	3	4	28	42	19	117	9	13	0	0	0	4	0	41	83	0	29	19	21	20	0	39	53	89	45	6	5	50
"2"	0	18	0	208	0	0	11	1	278	101	74	89	2	4	8	125	4	147	45	5	0	1	0	8	4	37	85	7	11	42	58	34	30	26	98	125	47	4	48	24
"3"	16	7	0	85	176	58	4	0	143	33	38	34	19	1	0	31	20	104	33	0	2	1	0	2	1	16	41	20	0	0	13	7	0	6	31	59	29	21	7	6
"4"	10	0	0	667	12	420	0	0	20	22	25	20	16	24	1	19	49	138	29	3	9	1	11	3	3	37	23	23	0	0	30	3	0	6	33	119	24	66	19	0
"5"	30	44	1	95	0	0	1	2	18	66	78	68	6	0	3	15	19	198	23	11	10	0	1	25	2	31	51	3	20	1	29	0	0	1	53	201	48	14	3	36
"6"	43	4	0	506	43	120	0	0	32	67	20	45	12	1	16	29	25	165	11	7	0	0	0	9	4	36	55	1	17	5	2	25	1	22	49	197	21	57	8	8
"7"	62	48	0	36	54	0	7	0	138	41	88	65	34	0	51	53	30	96	4	4	7	0	0	5	18	32	101	0	42	2	33	9	3	2	23	193	53	1	18	28
"8"	112	28	0	14	22	0	25	0	397	49	67	48	46	0	9	61	8	299	8	10	4	0	0	5	0	31	83	3	3	18	149	18	0	23	36	214	33	19	37	21
"9"	68	0	2	146	217	149	0	7	47	28	50	65	3	0	1	45	44	127	5	34	0	0	0	5	5	37	100	11	1	33	47	0	0	19	15	77	37	5	14	22
"10"	22	10	9	127	0	0	2	1	65	45	44	34	19	19	6	9	10	119	9	2	0	2	0	5	0	15	93	23	9	5	12	12	3	6	69	106	43	15	39	43
"11"	50	2	9	422	108	95	0	0	18	98	27	49	25	3	4	156	49	132	4	3	13	8	0	3	17	122	105	0	11	11	1	10	3	15	99	183	22	20	38	8
"12"	5	85	0	61	42	0	3	0	349	69	90	111	13	14	8	38	45	75	6	4	1	0	0	13	4	26	107	0	8	0	26	2	0	28	46	168	12	2	32	14
"13"	12	5	0	203	114	88	39	1	20	47	118	46	17	0	7	51	6	174	5	17	0	1	4	7	2	63	119	8	0	20	20	0	3	7	23	133	47	13	37	17
"14"	40	1	2	424	1	1	0	0	265	30	34	64	15	0	27	36	6	103	10	0	1	5	13	11	5	41	57	0	6	0	11	11	2	14	47	44	40	2	21	22
"15"	46	5	0	43	221	32	1	0	41	22	91	114	9	4	0	29	6	85	4	0	1	0	1	0	0	22	59	3	16	6	58	18	0	8	2	47	51	30	12	7
"16"	6	2	0	335	40	180	0	1	15	105	82	12	4	0	0	7	7	80	22	17	6	0	0	4	0	67	43	15	10	5	6	1	0	4	7	104	25	14	0	0
"17"	14	5	2	304	94	1	6	0	73	182	68	90	39	0	17	25	50	173	30	7	2	11	6	15	1	56	20	45	58	6	39	2	0	8	60	197	119	14	24	19
"18"	2	0	3	447	3	19	0	0	88	77	73	80	11	0	0	147	33	82	7	0	0	2	1	18	2	61	75	16	15	1	7	0	0	4	14	73	19	7	4	18
"19"	72	6	0	49	78	44	1	2	164	22	83	83	24	25	7	16	12	132	3	7	27	0	0	10	1	16	58	15	0	4	18	4	0	26	33	115	108	43	16	5
"20"	33	0	0	505	257	138	0	0	106	61	20	29	27	9	0	12	5	145	4	4	0	5	0	6	2	11	73	5	8	9	55	0	0	9	10	57	34	19	21	0
"21"	1	6	29	263	5	0	39	16	214	66	124	90	1	21	2	26	37	114	42	18	1	0	0	5	0	24	73	4	29	8	13	0	4	11	62	216	37	4	6	42
"22"	41	27	0	109	133	0	1	0	92	29	32	76	11	2	0	21	13	101	16	12	0	0	0	5	4	21	66	47	17	5	2	0	9	2	41	103	99	20	35	0
"23"	164	0	0	197	133	80	0	7	47	101	89	32	13	0	0	12	15	233	0	6	10	0	0	19	17	11	197	3	23	10	3	16	5	13	57	110	24	11	24	4
"24"	24	37	0	38	21	0	0	6	386	74	56	57	23	0	2	66	75	146	56	14	2	0	0	15	24	52	61	11	3	15	31	40	0	24	22	131	7	4	56	8
"25"	78	36	0	50	219	3	0	2	33	47	52	26	20	4	49	50	4	116	2	5	1	0	0	47	3	5	52	0	10	11	38	3	2	4	19	87	64	8	11	3
"26"	62	24	0	52	179	59	1	12	22	53	71	93	14	0	0	41	39	127	9	0	0	0	0	23	20	30	48	1	4	0	13	5	7	5	25	96	34	2	34	5
"27"	17	23	0	147	624	7	7	3	133	37	106	41	13	2	17	56	37	89	3	31	7	17	4	12	1	2	70	37	14	0	34	15	0	13	63	109	50	2	44	2
"28"	0	34	6	216	0	0	4	0	178	73	68	55	27	1	0	16	17	97	16	2	0	9	26	4	10	46	51	5	24	1	33	1	4	7	55	154	109	28	9	0
"29"	94	25	0	22	77	6	7	26	120	51	96	85	42	0	12	50	15	242	38	4	3	3	0	27	5	72	107	10	15	16	31	3	0	23	36	132	20	22	5	20
"30"	31	0	0	285	1	43	6	0	80	55	83	82	23	5	4	2	47	74	3	15	0	1	0	9	11	16	80	11	4	16	0	0	0	8	86	122	96	8	36	3
"31"	19	0	3	232	19	0	40	0	352	47	30	35	44	0	6	32	71	151	124	18	0	9	3	11	0	23	58	0	2	0	4	16	0	15	110	146	5	3	9	36
"32"	15	5	17	217	0	0	15	4	108	118	97	25	11	0	0	20	27	106	19	0	1	0	1	24	35	10	19	0	13	1	37	9	0	19	33	128	7	29	47	16
"33"	120	23	0	68	76	2	16	0	98	58	169	102	18	11	53	49	62	154	12	20	3	0	9	51	2	60	124	1	9	2	58	1	5	29	105	169	14	4	29	9
"34"	50	0	18	123	12	2	12	4	99	55	53	49	33	0	15	54	34	219	4	1	0	15	1	33	5	28	124	0	22	28	1	9	0	64	71	80	55	25	38	11
"35"	35	0	15	275	9	3	18	0	122	25	45	67	40	0	18	22	26	107	28	2	3	2	0	33	7	22	192	3	28	1	1	25	13	22	78	160	35	2	8	6
"36"	44	9	27	127	223	207	0	35	0	43	51	108	75	15	19	27	18	255	1	1	0	0	0	0	9	29	92	0	13	12	5	5	0	1	26	145	58	38	4	61
"37"	31	2	3	323	3	22	1	0	71	48	80	25	1	0	0	4	46	294	6	0	1	3	0	25	16	24	77	16	13	25	45	1	0	66	94	167	52	20	4	31
"38"	5	3	0	359	593	252	0	17	8	30	48	39	3	45	2	37	10	85	4	0	3	0	0	1	4	4	35	10	0	6	24	1	2	18	29	55	2	22	10	3
"39"	43	20	13	659	27	155	0	1	30	61	98	9	12	3	0	18	13	145	3	0	0	1	31	10	0	35	79	10	8	13	13	0	0	4	10	97	1	40	15	1
"40"	40	0	0	296	9	20	0	0	354	147	115	36	9	0	2	54	73	296	44	1	0	0	0	22	5	42	121	1	3	43	3	27	22	13	51	96	32	1	14	6
"41"	70	1	0	234	12	33	6	4	63	73	56	43	10	6	7	27	35	144	6	20	0	0	0	5	3	28	103	43	32	8	13	9	0	32	95	238	83	27	21	21
"42"	31	16	0	49	885	0	0	3	0	15	41	8	0	0	0	17	9	26	0	0	6	0	0	2	2	2	10	4	0	11	11	0	3	2	5	57	6	0	14	0
"43"	1	1	8	224	0	3	0	2	194	77	76	14	9	1	1	45	26	75	1	4	1	0	13	22	14	40	123	3	12	1	33	5	2	7	43	50	26	4	39	7
"44"	36	74	1	51	93	0	6	0	164	65	51	37	66	0	2	24	34	125	27	15	0	10	57	5	2	27	113	7	20	38	79	15	0	15	56	82	25	10	69	5
"45"	59	3	0	70	11	5	0	32	35	58	71	106	17	3	5	22	21	97	4	13	14	0	2	6	1	22	122	8	23	2	18	8	7	22	19	88	5	30	10	18
"46"	5	7	5	243	78	14	2	4	12	76	76	82	14	0	3	12	32	47	25	5	0	0	0	3	30	20	123	33	36	32	17	3	4	8	57	85	13	1	9	15
"47"	214	47	0	27	100	15	2	23	111	74	48	87	13	7	19	30	8	101	2	8	0	0	0	16	1	8	84	19	82	2	9	0	0	21	42	168	67	8	28	48
"48"	63	95	0	62	574	19	15	36	18	60	38	32	5	0	16	6	67	175	3	26	0	4	0	17	10	8	43	1	39	1	9	6	0	14	91	105	50	8	7	6
"49"	46	22	7	55	36	1	0	4	149	157	149	57	9	6	22	71	2	148	7	17	1	0	1	0	3	17	58	1	7	0	15	3	13	46	33	200	29	0	70	42
"50"	25	6	5	214	16	27	9	4	64	35	72	84	22	12	1	5	21	115	5	1	0	0	1	5	0	44	104	6	9	0	0	2	0	14	32	75	68	10	21	11
"51"	10	6	5	144	1	0	1	0	127	106	93	24	35	0	3	4	48	119	1	8	0	0	15	5	0	27	163	7	6	19	31	1	6	0	25	174	59	9	5	1
"52"	97	11	0	66	90	3	14	4	126	93	77	87	5	6	7	45	57	140	14	11	17	0	0	4	24	16	48	3	14	22	60	8	7	2	57	146	37	12	40	8
"53"	12	7	0	574	14	174	15	0	33	97	35	44	77	0	11	25	35	86	0	10	0	0	3	0	8	11	74	7	46	3	64	0	4	0	40	73	32	13	25	1
"54"	212	30	1	47	4	0	13	48	82	71	69	28	7	0	48	15	21	179	58	5	1	2	0	12	52	57	179	0	18	48	43	2	3	17	120	84	56	8	52	1
"55"	0	0	4	185	0	0	0	0	120	18	24	37	2	2	6	64	17	210	9	14	15	0	2	4	1	6	83	11	11	14	11	11	0	3	7	143	23	7	54	1
"56"	2	0	1	185	0	0	17	12	122	31	51	86	5	0	11	28	12	86	15	6	0	0	0	30	14	28	58	11	10	1	9	0	0	18	55	72	19	26	9	6
"57"	5	0	18	537	9	42	2	1	27	75	52	80	21	9	2	35	26	72	9	16	0	0	0	28	27	35	96	3	12	13	32	14	7	2	59	153	53	8	20	4
"58"	3	27	0	199	3	0	10	1	345	52	71	88	78	0	17	99	40	190	6	4	12	50	2	8	28	10	113	1	38	0	27	3	6	44	98	275	16	15	7	13
"59"	104	8	0	179	391	0	1	0	245	127	54	182	2	1	18	60	7	99	20	6	1	0	0	3	7	26	85	0	1	12	9	3	5	3	41	46	13	15	8	12
"60"	35	16	0	429	2	14	0	1	69	35	36	76	49	0	2	24	2	74	0	0	7	0	0	3	45	13	20	1	22	6	23	0	0	0	6	62	35	4	7	12
"61"	10	13	4	93	65	3	1	27	71	101	99	97	5	1	0	67	64	178	4	9	2	0	10	6	1	58	113	9	9	9	30	11	15	25	114	207	78	17	33	5
"62"	22	63	0	55	41	0	11	2	135	18	61	90	4	13	2	34	32	113	21	12	1	1	0	1	3	12	53	38	38	14	8	4	0	30	14	113	11	41	39	31
"63"	37	0	0	267	195	103	0	24	2	92	20	14	6	0	3	23	32	126	3	0	10	5	0	5	4	8	76	0	7	8	38	1	0	39	71	66	56	4	44	4
"64"	21	4	0	252	27	5	0	2	138	64	46	96	17	0	2	32	24	193	0	15	10	3	8	13	11	58	102	6	26	3	16	5	5	27	24	116	70	7	17	31
"65"	82	5	7	169	103	163	0	12	28	43	28	38	4	1	3	2	93	126	1	3	0	0	39	4	42	19	30	54	5	0	20	0	0	21	49	51	26	31	8	4
"66"	27	23	0	219	3	0	39	1	78	36	67	44	9	0	14	19	17	186	11	3	0	2	17	10	13	19	47	1	0	3	48	7	0	5	66	109	24	12	14	1
"67"	2	0	34	115	5	0	19	1	185	43	72	91	46	1	89	125	100	133	9	0	0	0	1	5	4	19	129	17	22	4	31	11	4	1	85	187	81	10	11	25
"68"	48	3	0	8	1	0	53	0	661	47	46	73	21	15	11	5	16	113	105	10	4	0	0	0	6	17	90	16	29	22	50	31	0	7	52	112	82	11	4	3
"69"	26	2	0	145	25	5	8	0	248	193	126	45	25	0	1	79	7	109	9	43	0	0	1	0	12	15	94	7	8	47	33	4	3	22	36	135	39	2	13	23
"70"	89	20	4	104	15	0	5	0	61	93	145	108	44	1	20	31	43	201	27	19	0	3	4	4	7	6	53	4	22	6	31	6	8	8	68	86	51	23	1	40
"71"	16	30	4	226	36	94	0	21	37	73	147	83	39	1	7	15	8	159	8	1	2	0	0	17	12	76	90	22	2	11	22	21	9	2	42	128	53	3	82	1
"72"	37	5	0	180	0	0	15	0	685	83	95	8	3	0	0	110	65	133	0	0	1	4	0	26	4	16	32	5	6	2	20	1	1	1	73	121	8	93	3	32
"73"	120	57	0	79	126	4	30	2	227	89	150	130	10	0	9	66	42	159	3	23	0	0	0	10	8	18	170	0	47	9	23	7	0	47	44	123	54	61	32	7
"74"	0	0	134	278	0	19	0	1	96	53	24	20	8	1	4	39	1	141	39	25	0	0	0	9	12	17	42	0	9	0	11	9	1	12	93	118	19	0	27	10
"75"	48	0	0	374	175	42	0	11	233	39	35	22	8	0	1	67	35	176	0	9	1	0	1	9	14	9	92	62	2	0	35	10	0	39	57	132	56	9	36	17
"76"	102	0	0	139	73	0	0	4	41	71	82	19	37	0	4	13	51	139	12	8	5	0	0	4	3	19	127	13	3	2	12	1	2	35	119	100	11	6	1	13
"77"	2	0	0	255	346	317	0	18	0	56	35	52	5	0	0	25	0	68	12	0	9	0	0	6	4	12	23	5	5	18	4	17	0	2	10	84	35	8	16	21
"78"	89	0	8	110	47	54	8	3	13	73	71	38	3	1	3	26	18	145	17	1	28	0	34	4	0	20	45	7	23	0	14	1	1	6	10	117	50	21	27	28
"79"	0	0	0	590	1	50	0	0	60	49	15	26	0	0	2	10	0	49	9	3	0	0	0	0	1	46	27	1	7	0	19	2	2	11	9	16	6	1	3	1
"80"	58	1	2	60	0	0	57	1	123	49	113	68	40	0	3	32	2	143	7	2	4	14	0	23	0	61	67	25	23	15	14	11	4	28	43	136	58	13	34	1
"81"	49	23	0	129	60	0	4	2	216	39	46	37	29	5	19	53	14	273	21	0	3	9	0	65	0	76	78	4	29	5	12	37	0	26	22	116	64	7	32	3
"82"	39	0	0	202	4	15	26	4	265	121	62	71	4	0	42	13	68	163	34	0	0	2	2	11	0	19	72	18	5	2	40	19	0	68	130	255	10	37	39	7
"83"	26	58	0	37	39	0	21	0	130	56	58	87	2	1	19	18	17	151	16	5	13	0	0	3	23	13	94	10	1	4	24	9	0	6	62	145	22	10	18	18
"84"	84	29	0	95	215	28	1	5	142	97	80	30	53	17	5	81	57	219	5	33	2	0	0	7	58	74	81	0	9	11	19	2	0	41	22	277	24	56	30	4
"85"	50	2	0	231	17	14	4	2	236	100	192	54	22	0	31	9	17	138	8	13	0	1	0	8	5	20	50	19	12	10	10	0	0	8	52	115	41	82	70	9
"86"	42	0	29	232	0	7	26	0	176	124	35	200	8	0	5	50	53	257	83	0	4	1	0	16	5	12	138	22	57	35	45	22	11	6	45	106	44	4	74	24
"87"	40	10	0	33	69	0	13	0	154	51	75	129	53	0	1	28	11	120	7	6	1	0	4	12	2	38	49	38	57	12	15	1	1	5	34	258	41	22	31	48
"88"	36	4	0	212	73	10	32	18	183	146	110	95	47	1	15	111	38	190	13	13	1	0	1	30	3	11	145	5	6	4	11	1	0	7	10	175	34	30	30	27
"89"	103	9	0	85	110	0	1	0	52	69	59	22	15	1	24	28	44	78	9	0	3	3	1	0	13	32	88	5	73	31	16	15	0	3	50	182	120	15	27	3
"90"	18	14	0	118	148	1	0	5	117	84	43	18	10	0	1	13	19	129	18	1	0	3	0	3	4	25	108	4	38	0	41	6	0	1	17	128	30	16	6	19
"91"	35	45	0	134	451	0	0	4	29	43	24	31	8	0	6	38	15	97	36	4	4	0	0	4	0	17	45	11	0	5	7	3	3	51	19	43	14	7	7	12
"92"	11	22	0	74	14	1	3	13	106	55	38	67	16	0	8	20	52	127	7	13	0	0	7	19	15	35	60	1	36	3	5	0	3	13	25	190	37	20	5	0
"93"	18	0	59	363	0	17	1	15	92	121	64	83	44	3	1	68	30	125	16	16	23	0	0	9	12	23	84	9	26	0	51	10	6	0	152	139	85	21	95	36
