"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"
"1"	73	174	250	277	900
"2"	81	4	1675	9	176
"3"	63	210	171	256	937
"4"	142	4	168	644	903
"5"	77	9	634	31	301
"6"	86	114	353	84	561
"7"	1	0	1634	0	52
"8"	13	8	1185	21	134
"9"	6	3	1342	1	175
"10"	53	3	859	8	184
"11"	109	121	522	107	696
"12"	36	3	1067	7	377
"13"	104	7	642	199	870
"14"	10	29	1107	0	94
"15"	71	18	788	5	205
"16"	74	34	854	37	223
"17"	46	0	1285	5	25
"18"	79	34	775	69	914
"19"	19	21	1558	5	100
"20"	18	42	1651	7	94
"21"	2	21	955	19	185
"22"	27	0	1170	3	240
"23"	32	273	349	82	652
"24"	111	149	492	148	950
"25"	151	12	1281	19	207
"26"	0	1	1331	1	111
"27"	6	6	1325	0	66
"28"	46	5	509	70	372
"29"	1	1	1025	0	95
"30"	23	97	1024	26	699
"31"	116	194	708	72	882
"32"	52	155	534	57	564
"33"	157	88	1047	66	582
"34"	47	2	1499	1	113
"35"	181	179	412	271	944
"36"	3	0	1535	1	6
"37"	18	23	1289	93	435
"38"	18	54	742	51	323
"39"	23	162	309	193	859
"40"	64	145	392	158	1110
"41"	2	28	1572	0	179
"42"	19	68	1118	0	58
"43"	92	59	1367	19	388
"44"	10	5	944	0	58
"45"	7	2	1048	0	93
"46"	31	38	1233	13	141
"47"	83	64	369	116	717
"48"	38	18	1236	5	151
"49"	42	14	965	44	118
"50"	11	278	118	42	554
