"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"
"1"	0	38	7	0	0	40	1	91	60	140	24	7	75	0	0	0	15	50	58	47	96	1	26	0	4	0	58	63	47	12	1	41	9	0	86	23	5	6	25	41	2	0	2	9	65	0	36	14	0	1
"2"	13	0	0	30	6	9	0	138	84	95	12	1	13	0	2	0	2	40	85	36	86	18	77	0	0	40	39	66	34	0	1	40	10	13	47	0	35	22	10	12	28	0	13	10	149	0	63	0	8	0
"3"	7	0	66	112	5	16	0	204	110	123	33	21	63	0	0	0	36	138	66	26	106	51	124	23	0	0	47	140	23	2	8	37	24	14	81	16	8	0	9	1	1	0	1	0	146	1	31	0	54	2
"4"	0	0	0	390	0	157	0	78	8	40	4	0	16	0	0	0	55	22	61	1	41	0	34	4	0	4	76	93	15	13	3	58	0	27	45	1	20	9	24	34	2	0	0	0	100	0	42	0	18	0
"5"	23	41	2	62	0	43	1	117	92	206	24	0	68	0	4	0	0	55	118	35	110	14	79	3	0	12	10	65	63	5	22	48	16	7	120	10	2	46	24	13	2	0	50	17	231	1	77	0	0	0
"6"	45	30	1	6	0	4	0	76	88	40	4	4	51	0	0	0	20	36	35	27	61	3	31	0	0	7	7	41	15	9	8	29	27	4	82	8	2	3	11	13	5	0	1	0	51	10	99	13	3	0
"7"	2	0	123	44	0	29	0	146	119	118	4	0	105	0	0	2	3	34	60	5	124	17	89	0	0	0	22	75	31	8	0	47	10	60	68	1	4	18	15	3	19	6	18	0	37	4	127	0	8	6
"8"	0	0	5	9	0	21	0	115	81	120	6	2	138	0	0	0	0	50	23	36	82	0	53	0	0	7	13	32	7	25	12	55	35	12	80	10	2	9	4	33	1	0	7	0	90	4	74	0	11	0
"9"	24	27	0	15	27	4	0	150	112	206	4	1	109	0	3	11	39	15	177	20	120	0	89	8	0	1	13	88	18	43	112	51	32	8	142	2	8	64	6	8	0	0	14	0	74	0	130	10	3	0
"10"	4	73	10	2	21	93	0	70	75	91	23	0	26	0	1	0	35	47	87	0	164	12	61	0	18	1	42	91	8	31	50	74	6	4	82	18	9	22	2	25	2	0	6	4	41	0	127	8	16	0
"11"	14	1	11	32	13	35	0	50	77	102	76	18	46	0	0	5	8	86	139	2	121	0	51	0	0	0	33	63	14	8	3	24	2	5	43	0	6	12	9	5	6	0	14	0	61	2	57	4	4	0
