"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"
"1"	194	549	1	0	53	18	14	19	65	138	162	150	365	0	75	0	1	23	168	4
"2"	28	51	231	34	2	40	6	23	45	58	19	73	145	6	79	11	3	51	100	0
"3"	120	365	0	3	0	42	6	34	122	156	135	228	188	6	104	28	3	63	122	0
"4"	249	289	11	147	70	0	17	4	68	161	53	117	163	17	155	0	0	18	77	0
"5"	105	52	258	185	1	1	5	21	112	117	79	178	385	0	63	0	1	6	46	0
"6"	59	106	390	294	0	1	19	17	56	134	48	95	293	0	22	0	0	16	139	7
"7"	49	15	861	207	5	9	4	26	28	27	67	23	79	0	29	12	0	3	15	0
"8"	31	157	152	288	3	8	4	30	137	122	144	154	365	0	30	11	0	45	148	0
"9"	131	119	242	573	0	0	33	1	41	116	50	83	159	0	44	0	18	11	24	1
"10"	76	280	17	48	46	29	1	31	112	77	74	109	205	0	31	14	0	20	57	2
"11"	132	135	52	12	9	18	25	46	115	108	43	203	153	6	81	4	0	18	54	22
"12"	60	9	499	146	37	0	21	42	56	145	93	140	180	3	59	0	0	5	47	4
"13"	76	291	77	466	16	0	10	32	45	168	54	52	128	1	37	0	0	32	56	0
"14"	53	46	58	54	27	14	4	30	57	81	85	190	219	7	114	1	1	62	73	1
"15"	59	167	41	16	24	2	27	9	141	150	63	176	330	0	80	4	0	15	43	3
"16"	25	292	3	486	2	2	0	8	75	102	24	47	41	0	56	5	0	3	74	0
"17"	89	120	228	137	14	22	48	8	60	135	77	156	325	0	115	17	0	58	170	46
"18"	36	335	39	583	1	0	14	8	70	71	50	65	154	0	40	2	0	20	29	4
"19"	77	223	152	280	0	0	5	35	23	99	150	169	119	7	68	15	1	2	92	20
"20"	75	24	101	302	35	4	3	14	79	155	22	54	136	0	59	2	0	31	70	1
"21"	109	559	8	270	25	0	18	25	85	163	190	179	107	1	91	11	8	7	108	1
"22"	143	301	75	542	3	0	4	17	36	214	108	161	153	2	54	10	1	7	77	0
"23"	139	152	65	193	3	5	11	3	223	168	87	195	298	11	180	17	2	15	120	3
"24"	54	69	257	83	0	5	8	16	31	112	39	53	205	0	54	0	3	10	59	2
"25"	72	57	313	291	0	18	1	18	26	152	123	163	143	26	54	68	1	13	41	1
"26"	67	12	92	363	8	0	24	6	57	81	10	51	107	0	49	37	0	6	36	8
"27"	16	42	269	390	15	0	6	12	146	191	193	147	83	0	61	0	0	15	70	6
"28"	89	202	7	141	22	18	12	59	85	115	36	175	216	7	95	31	0	12	138	11
"29"	45	208	57	410	17	7	34	17	47	102	89	210	129	0	123	0	0	50	133	2
"30"	24	543	0	12	47	0	1	46	46	55	35	110	55	0	20	3	0	11	16	0
"31"	14	0	758	575	0	0	0	2	14	44	17	21	141	0	11	0	0	0	49	0
"32"	16	3	128	1217	0	0	7	12	0	24	13	3	55	0	1	1	0	4	15	0
"33"	110	151	66	42	7	73	15	30	144	153	156	275	351	7	21	16	0	6	148	3
"34"	11	6	585	953	0	0	0	0	61	73	43	37	82	0	11	2	1	2	40	0
"35"	2	75	72	757	10	0	0	0	21	18	11	10	30	0	3	5	0	5	2	0
"36"	50	129	22	101	27	11	0	24	114	142	101	245	197	0	54	3	0	17	89	2
"37"	11	24	119	6	52	64	34	13	213	261	163	169	283	4	167	2	1	35	84	51
"38"	79	203	24	1	3	44	1	23	134	143	238	150	242	1	51	0	0	13	148	23
"39"	31	25	131	69	10	87	0	6	115	166	92	89	217	10	70	5	4	2	146	0
"40"	0	0	1280	195	0	2	2	2	21	37	50	62	59	0	36	7	0	11	17	3
"41"	12	18	78	59	74	8	3	32	126	119	49	192	256	4	61	48	0	27	172	13
"42"	46	47	33	407	7	0	14	9	43	93	32	90	133	2	27	8	0	4	90	18
"43"	63	82	81	223	0	15	2	1	105	89	88	159	300	0	96	0	4	1	102	5
"44"	126	118	5	63	111	0	28	54	107	232	132	189	326	0	66	19	0	43	100	3
"45"	63	13	159	104	2	4	2	13	80	135	39	129	160	3	71	11	0	10	91	1
"46"	9	10	682	155	7	1	0	25	51	137	42	89	146	0	60	4	0	15	88	2
"47"	39	24	534	334	5	9	3	12	40	60	36	279	213	0	42	10	0	25	34	2
"48"	107	134	156	69	3	14	9	74	174	174	178	204	399	3	144	0	2	34	42	1
"49"	37	98	264	217	10	4	2	29	179	123	139	194	152	0	129	24	6	90	163	16
"50"	35	2	236	732	9	0	2	9	28	53	12	38	83	0	36	5	0	0	19	0
