"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"
"1"	10	136	6	0	20	0	52	0	25	14	0	14	3	133	2	60	76	2	408	3	2	321	0	0	10	55	9	40	17	1	0	58	6	0	0	196	28	7	122	7
"2"	1	22	66	0	0	38	181	80	0	22	2	41	6	67	0	4	91	2	130	3	17	154	24	0	13	5	23	3	17	0	28	16	19	4	0	175	45	10	173	0
"3"	15	289	40	0	0	46	4	1	25	28	0	41	0	29	0	1	80	0	315	5	1	141	0	0	79	0	71	8	14	0	2	0	2	3	17	70	34	5	112	0
"4"	4	250	134	35	0	0	37	56	0	3	0	1	2	69	2	6	89	0	204	4	4	188	11	1	16	5	37	16	27	3	21	9	2	13	8	220	30	45	116	0
"5"	0	139	405	4	0	0	69	0	0	1	0	4	17	72	0	10	34	0	200	2	7	99	0	0	1	7	26	1	4	20	0	8	10	0	7	172	16	4	176	0
"6"	3	298	50	0	0	1	12	3	1	16	2	1	2	69	1	0	128	1	83	3	0	126	8	0	4	0	16	0	7	6	8	0	18	20	17	170	32	5	76	0
"7"	33	26	0	0	8	6	53	14	0	4	2	13	0	62	9	15	88	19	146	26	43	191	2	0	10	21	44	45	2	0	19	25	25	12	2	129	73	24	134	0
"8"	12	319	0	0	1	3	285	0	1	2	8	8	0	38	12	0	105	2	229	2	19	200	1	0	0	0	7	0	57	10	0	14	29	0	28	116	15	20	171	25
"9"	3	254	148	4	6	0	23	1	1	4	0	13	0	66	1	2	132	64	265	4	19	158	6	0	8	4	25	14	30	0	9	3	4	8	6	114	60	37	276	2
"10"	20	508	64	0	3	0	243	0	1	1	0	1	0	74	4	0	30	36	194	0	0	176	1	0	4	14	74	8	0	0	0	10	4	1	1	156	20	39	147	2
