"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"
"1"	106	0	628	0	14	154	10	0	88	0	0	15	13	14	21	28	30	36	2	13	0	0	3	20	0	92	0	142	0	170	12	2	0	43	1	148	7	14	3	1
"2"	138	0	300	32	5	46	430	21	32	2	0	12	0	10	27	0	12	0	24	0	16	0	5	7	0	172	6	145	3	96	0	54	1	162	0	105	12	15	20	0
"3"	82	0	578	6	0	32	39	34	30	5	2	45	4	0	14	70	13	0	5	0	23	0	17	3	0	63	1	143	0	159	3	2	0	82	0	70	6	7	0	0
"4"	130	38	290	4	111	33	94	0	18	3	5	13	4	147	37	23	4	0	3	1	8	0	6	6	4	133	1	331	0	160	0	14	1	50	0	169	62	82	4	0
"5"	109	14	215	1	74	90	44	0	52	0	10	3	0	25	1	40	44	0	11	0	4	0	22	36	23	77	2	289	7	260	10	11	0	48	0	69	2	21	5	0
"6"	77	0	223	0	60	2	385	1	6	2	0	27	0	41	27	10	5	30	7	0	37	0	8	15	0	136	2	142	1	122	19	1	0	70	0	91	2	16	0	3
"7"	73	3	35	11	36	14	433	8	29	0	0	0	0	0	4	18	40	0	1	0	0	0	1	26	0	95	0	202	0	112	4	25	0	5	2	43	4	14	0	0
"8"	73	23	28	0	1	31	447	4	11	6	0	0	1	44	6	10	14	10	1	1	8	15	5	94	6	94	4	161	3	120	13	22	1	38	0	45	1	11	6	0
"9"	147	0	293	5	12	6	160	9	8	0	0	0	0	26	42	17	4	1	7	0	0	0	2	15	20	195	0	212	0	267	7	9	5	34	0	56	17	12	0	0
"10"	109	0	213	0	14	7	358	54	5	24	4	37	0	5	31	4	23	0	9	0	9	12	15	11	0	151	1	161	1	185	0	13	4	61	2	103	13	33	30	1
"11"	28	0	61	0	117	223	25	0	53	3	0	3	0	2	1	5	8	10	0	34	1	4	19	5	5	49	5	154	0	81	0	11	0	13	0	101	1	10	12	0
"12"	14	9	26	0	89	0	514	26	0	0	14	2	0	1	36	6	17	0	7	5	12	0	2	2	0	124	6	102	0	145	3	60	14	49	1	37	2	9	7	0
"13"	190	28	122	44	13	0	232	26	6	1	0	0	0	4	4	24	13	12	9	0	0	1	28	1	0	81	2	218	0	130	0	4	1	51	0	33	3	6	0	4
"14"	78	7	408	116	0	57	2	0	16	0	0	0	0	0	0	7	2	4	0	0	1	0	15	3	3	44	0	92	2	34	0	3	4	48	4	49	12	2	3	0
"15"	48	0	14	12	205	306	25	0	85	0	0	11	0	40	0	23	1	1	3	0	0	0	2	6	3	177	0	155	13	165	0	7	0	93	0	54	13	33	0	0
"16"	148	0	212	2	1	205	356	0	10	1	0	6	0	16	3	7	3	0	10	21	0	0	0	3	0	147	0	134	0	109	0	9	2	72	0	20	6	33	22	0
"17"	337	15	268	50	0	150	97	0	47	3	55	1	1	10	22	8	19	0	4	15	0	0	42	4	1	147	0	126	0	146	2	26	11	114	0	96	5	23	0	0
"18"	89	58	28	5	40	164	149	6	46	0	0	32	3	6	6	15	14	2	1	0	0	24	26	29	1	251	0	349	14	230	11	9	6	49	43	176	11	15	0	4
"19"	31	0	207	0	374	0	4	8	2	0	0	5	0	18	12	16	10	5	2	2	0	0	0	0	0	56	2	116	0	115	1	1	0	50	1	16	7	4	7	0
"20"	52	0	28	10	47	28	778	0	20	0	0	6	0	34	4	0	3	1	0	1	0	0	1	8	0	49	0	292	3	139	0	4	1	68	0	21	3	49	1	0
"21"	161	25	73	4	2	211	326	0	21	0	5	14	0	12	2	25	5	1	4	5	0	0	10	7	0	83	2	153	0	174	3	4	0	28	0	32	12	10	0	0
"22"	123	1	693	5	7	63	21	10	42	5	0	2	0	5	11	18	46	0	0	10	0	0	3	11	0	10	5	83	0	129	0	2	0	10	1	29	24	6	10	6
"23"	160	4	523	0	76	81	192	0	22	1	0	7	8	28	7	43	31	0	1	0	0	0	1	8	0	170	0	108	0	188	1	8	21	47	0	150	11	39	4	1
"24"	106	15	123	13	21	177	90	4	43	5	2	7	1	15	2	13	6	0	1	3	0	0	4	1	1	70	1	131	8	215	7	7	33	24	0	100	14	7	32	0
"25"	59	0	344	2	6	12	256	0	34	0	0	15	0	2	15	29	0	2	3	0	16	8	7	13	0	84	0	86	0	57	1	7	37	25	0	32	0	23	8	0
"26"	106	0	105	0	104	7	90	7	0	0	0	30	0	10	18	14	7	1	3	3	0	21	6	3	0	80	0	136	19	169	33	16	0	41	1	55	36	7	6	0
"27"	81	3	63	5	21	2	495	25	4	0	0	1	45	0	5	7	5	33	4	0	0	0	10	12	2	119	5	170	0	128	2	3	0	42	0	94	32	34	0	0
"28"	161	2	91	24	1	295	198	0	16	9	19	9	0	11	6	2	1	0	4	0	0	0	3	4	1	124	0	119	0	56	2	25	0	10	3	28	9	4	3	0
"29"	31	0	18	5	63	983	12	0	52	0	0	15	0	30	2	1	6	2	3	10	0	0	1	1	0	66	1	128	0	121	0	17	12	46	1	37	21	0	4	0
"30"	155	0	521	6	10	48	2	0	32	0	0	1	0	13	8	0	0	0	8	0	0	0	1	2	6	47	8	122	0	135	5	2	0	70	26	36	3	29	16	0
"31"	185	0	250	14	0	9	573	5	2	1	0	0	0	4	2	1	5	2	19	0	0	0	8	19	0	155	0	264	8	106	0	61	1	60	0	58	8	15	1	116
"32"	133	0	330	2	79	94	20	0	51	0	0	10	0	67	20	16	22	0	1	1	2	0	7	42	1	98	8	244	11	81	0	30	0	59	2	105	2	25	0	0
"33"	31	0	993	0	6	5	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6	0	20	0	29	0	80	0	5	0	6	0	10	0	3	0	0
"34"	43	0	776	0	6	37	0	0	1	0	0	12	0	0	3	0	1	0	0	0	0	0	0	0	0	6	0	35	0	51	0	3	0	73	0	18	6	4	24	0
"35"	35	0	726	0	148	13	15	0	0	1	0	0	0	0	5	3	0	0	22	1	0	0	0	16	0	69	0	30	0	113	0	10	0	4	0	13	13	62	1	0
"36"	38	0	61	14	12	319	38	0	3	0	0	0	0	43	30	22	46	0	8	0	33	0	23	2	0	104	0	80	0	162	0	11	1	27	0	71	3	11	15	0
"37"	30	0	1334	0	89	0	17	0	0	5	0	3	0	0	0	17	7	0	0	0	0	0	1	0	0	90	10	120	1	115	0	6	1	44	4	49	24	1	0	0
"38"	82	22	74	10	33	71	0	0	57	1	0	6	0	15	48	1	66	0	22	15	13	2	1	15	0	171	2	192	10	169	0	8	1	91	0	102	29	65	9	1
"39"	90	0	93	3	8	340	115	3	91	1	0	1	0	26	36	66	0	19	0	21	0	6	0	19	3	116	0	144	0	112	20	12	3	32	3	48	12	8	0	0
"40"	38	0	845	0	47	0	115	0	5	0	0	31	0	6	0	1	1	0	6	0	0	0	0	0	0	15	0	133	0	56	6	0	12	5	0	53	11	3	0	1
"41"	20	0	222	0	712	0	0	75	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	36	5	30	0	42	0	6	0	1	0	7	10	22	0	0
"42"	141	5	419	0	7	4	122	0	33	0	0	23	0	4	11	41	20	2	21	0	0	0	33	18	1	110	0	182	0	116	0	15	43	32	0	105	1	15	11	0
"43"	137	0	563	0	213	24	39	0	78	0	0	8	2	4	30	14	3	0	12	0	3	0	15	0	0	17	5	71	1	103	1	37	6	13	0	38	0	20	0	0
"44"	55	0	0	13	0	50	858	8	0	0	0	1	0	4	6	3	0	0	10	0	0	6	0	42	0	21	0	142	2	66	0	1	5	24	0	50	0	1	22	1
"45"	352	1	206	22	0	408	52	0	63	0	0	2	0	22	3	5	28	1	1	3	0	0	8	0	1	137	0	212	0	145	1	21	0	31	5	69	52	34	8	0
"46"	157	0	61	9	2	129	264	12	14	1	0	2	2	3	18	2	0	2	2	0	3	3	2	2	2	89	14	105	1	103	0	0	13	80	5	108	0	2	2	0
"47"	163	0	659	0	26	32	118	0	6	15	8	0	15	103	3	6	12	4	0	0	0	12	13	2	0	54	33	277	0	222	1	11	25	53	0	51	25	12	0	10
"48"	74	0	52	10	0	100	710	0	4	0	0	1	0	0	11	33	0	0	18	0	0	0	5	14	0	90	2	58	2	75	0	0	0	4	0	95	8	4	0	0
"49"	80	0	1440	0	4	0	13	0	0	0	0	0	7	0	0	2	5	0	0	3	0	2	0	0	0	38	0	34	0	60	0	2	2	17	0	7	2	0	1	0
"50"	87	15	87	3	17	46	26	16	5	0	13	62	0	39	10	4	12	9	3	0	0	0	26	24	0	124	0	116	8	191	0	18	8	26	0	103	4	9	3	0
"51"	231	0	530	11	18	146	127	0	32	2	0	0	0	5	12	11	26	22	0	1	0	0	50	2	0	175	0	128	0	199	5	5	9	41	25	72	24	30	1	0
"52"	41	50	9	21	43	118	101	13	77	5	0	10	0	7	1	27	36	8	41	6	0	0	14	9	0	113	10	106	9	58	0	3	1	69	0	50	5	12	11	0
"53"	138	10	62	1	14	71	80	5	13	0	0	6	0	24	7	4	7	39	6	23	0	2	23	10	3	88	0	150	10	206	2	21	0	12	0	115	9	15	2	0
"54"	47	1	38	1	8	9	157	57	2	3	0	2	1	2	21	7	5	1	9	6	5	0	1	5	0	120	0	154	0	236	0	3	1	63	0	110	32	3	2	15
"55"	33	0	70	33	74	181	76	0	19	0	0	43	0	44	26	36	2	10	2	16	0	12	14	4	1	193	0	117	4	269	1	27	14	10	8	100	16	43	10	0
"56"	34	31	92	0	389	57	12	1	41	0	1	0	0	18	2	23	22	0	23	1	1	0	12	14	2	104	28	234	3	247	0	4	1	253	7	104	7	7	48	0
"57"	129	0	407	28	0	1	124	4	2	3	0	0	0	7	5	3	2	0	0	4	0	0	1	0	9	68	0	89	0	64	0	11	1	54	0	20	1	10	0	1
"58"	140	1	325	43	31	126	164	0	17	2	0	7	1	16	20	15	1	0	31	8	0	5	15	16	0	95	11	132	0	104	3	24	0	93	17	108	4	29	17	0
"59"	88	0	140	3	74	10	80	1	85	8	1	1	1	27	19	19	58	3	39	4	0	2	4	37	0	182	7	443	11	301	0	76	4	160	2	73	9	10	8	4
"60"	75	0	344	2	40	7	132	0	22	48	2	0	0	9	25	20	19	2	1	0	0	8	3	46	0	194	4	80	0	186	13	23	0	44	17	56	10	16	2	0
"61"	40	0	209	0	107	0	101	1	2	3	1	3	0	46	9	31	16	0	2	0	0	34	22	3	5	45	2	213	0	212	0	38	0	134	15	28	0	9	9	0
"62"	110	3	79	1	86	103	44	0	25	1	0	1	0	60	31	22	31	5	41	26	19	0	17	46	0	111	5	301	0	274	2	14	0	23	1	161	30	25	27	0
"63"	126	2	513	7	4	3	43	0	5	0	0	3	1	22	3	0	21	4	15	1	8	0	1	0	0	58	1	181	0	157	0	0	9	41	1	24	1	26	4	2
"64"	55	7	563	2	1	0	95	8	0	0	0	1	0	2	24	5	1	1	2	7	0	0	4	3	0	16	0	108	0	36	2	4	5	16	1	26	6	25	20	0
"65"	172	14	168	41	1	110	5	0	17	0	1	2	0	1	15	33	12	1	20	17	4	6	19	14	0	122	6	173	17	132	0	6	0	37	2	133	8	20	4	0
"66"	69	0	188	29	17	245	64	0	9	0	0	10	0	24	17	1	27	1	11	5	14	0	22	80	0	185	1	172	2	244	13	8	1	170	37	81	30	5	5	0
"67"	63	5	18	0	215	63	379	4	118	0	0	4	10	30	23	43	4	1	76	0	6	1	43	22	0	117	2	162	0	176	0	54	0	90	31	64	5	31	10	0
