"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"
"1"	45	43	3	24	0	61	0	126	0	1	0	23	0	92	39	5	2	0	0	12	31	7	0	0	2	0	19	10	2	15	3	1	0	8	0	10	0	0	2	0	25	0	0	0	0	0	3	19	0	0	54	12	0	11	5	23	0	12	5	0	8	0	0	13	0	29	0	5	0	3	26	0	2	0	1	2	1	2	0	0	0	0	0	0	0	0	2	9	5	0	0	29	2	2	4	1	0	0	53	12	0	0	0	9	0	75	16	1	8	0	23	78	0	18	0	2	1	6	2	17
"2"	85	73	61	0	22	16	50	0	0	0	0	10	22	68	0	27	6	0	2	0	5	7	0	1	4	0	2	19	3	26	2	1	0	20	2	46	0	26	5	0	64	1	35	0	7	0	0	39	21	0	45	1	3	3	0	0	0	9	19	3	67	0	0	2	0	85	19	0	2	1	46	1	0	11	3	0	2	0	0	0	1	6	0	3	4	0	28	2	0	0	0	17	0	0	15	0	0	0	12	26	0	0	0	30	0	87	2	36	24	41	18	26	0	9	4	0	16	14	9	10
"3"	78	7	16	20	0	0	4	13	0	63	0	0	2	84	28	0	1	0	0	19	0	4	0	2	47	0	5	9	0	29	25	0	0	3	4	51	1	2	10	0	58	0	0	0	0	10	0	39	0	0	62	44	50	21	17	1	0	17	22	7	1	0	7	10	1	10	0	0	0	31	1	5	0	5	29	0	8	5	0	14	0	1	0	0	0	0	11	7	0	0	60	36	0	0	11	2	0	0	46	26	0	1	0	44	13	12	50	0	28	0	57	10	3	5	0	2	3	8	44	18
"4"	57	6	25	0	15	0	3	27	0	0	0	0	0	262	3	14	52	0	0	0	7	1	0	6	3	0	13	21	7	11	5	3	0	14	6	60	0	6	8	0	45	1	0	17	21	4	2	121	0	1	41	13	0	24	0	8	0	11	1	2	0	45	23	10	0	66	0	4	9	5	64	0	3	0	13	0	0	0	0	14	20	0	3	0	9	0	11	28	2	0	0	13	0	0	0	0	1	10	33	41	0	0	11	0	0	47	93	0	52	12	19	33	1	6	0	0	0	10	35	83
"5"	2	197	16	0	0	69	16	1	0	0	1	17	0	65	6	4	1	0	0	4	0	52	0	4	25	0	15	30	20	10	0	2	1	6	0	73	0	2	74	0	71	0	6	14	6	5	0	12	0	0	83	99	1	33	5	5	0	77	4	13	0	0	0	17	4	67	0	0	0	20	3	4	0	1	8	0	0	0	0	0	20	0	0	0	9	0	16	17	0	0	0	12	0	0	3	14	0	0	26	40	0	0	8	64	0	101	65	50	39	0	6	66	1	0	0	0	19	40	33	11
"6"	1	476	0	0	0	66	110	0	0	2	0	6	0	104	0	28	0	0	0	7	0	9	0	0	4	0	0	6	0	14	37	0	0	0	0	119	0	8	62	0	7	1	6	0	1	0	0	93	0	0	18	37	0	3	3	11	0	10	0	0	0	2	0	2	0	11	0	3	0	18	5	18	0	0	5	0	0	4	3	0	0	0	0	0	0	0	14	55	2	3	2	44	0	0	0	9	0	0	10	31	0	0	0	14	0	45	12	36	9	0	17	19	0	12	1	3	1	12	14	5
"7"	10	28	8	1	2	1	3	0	0	8	0	0	1	17	15	14	19	0	0	2	0	12	1	0	6	0	6	19	0	4	3	4	0	0	0	30	0	2	18	0	43	0	0	2	0	1	0	15	0	0	29	7	3	0	3	5	0	9	1	0	3	3	0	4	0	12	3	0	0	1	16	1	5	0	17	0	0	0	0	0	0	0	3	0	0	2	1	51	2	0	0	40	0	0	11	70	1	0	55	52	0	0	7	14	0	87	9	0	33	0	42	39	25	19	28	2	0	3	12	11
"8"	37	97	0	0	0	27	8	0	0	463	0	32	0	0	0	10	39	0	0	0	0	56	0	0	5	0	0	3	5	6	1	3	2	2	0	27	0	21	45	4	45	0	1	0	4	0	0	41	0	0	70	35	0	20	2	0	0	78	8	2	0	0	0	3	0	30	5	3	6	2	69	0	3	0	3	0	0	0	0	6	12	0	1	1	0	0	9	58	1	0	0	22	0	0	5	0	0	0	36	79	0	0	0	67	0	56	8	4	18	0	44	78	1	15	0	1	6	11	7	9
"9"	110	8	20	130	3	31	0	11	0	2	90	0	0	16	37	27	1	0	0	0	0	8	1	0	0	0	11	26	0	4	0	8	3	9	0	91	4	4	27	1	112	1	0	0	10	33	0	78	0	21	124	38	0	7	0	0	0	26	6	1	7	0	0	23	0	5	0	0	0	11	10	0	1	0	15	0	0	24	0	0	0	0	0	5	1	2	19	36	17	0	9	28	6	0	9	3	0	0	36	20	8	0	1	37	4	118	21	0	37	32	168	27	0	11	6	11	1	35	5	8
"10"	37	43	91	4	24	0	13	0	0	5	0	0	5	62	36	2	18	0	3	0	5	5	0	0	3	11	0	20	16	14	0	0	1	0	0	67	2	0	17	0	54	0	0	0	10	12	0	24	0	0	72	20	0	0	1	1	0	44	2	28	14	0	1	10	0	2	1	0	0	31	8	0	3	0	13	0	2	6	0	1	0	0	11	0	0	0	6	0	0	0	9	15	11	0	10	0	0	0	50	16	0	0	0	79	0	23	8	1	18	0	14	12	0	22	24	3	4	4	1	4
