"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"
"1"	255	1	412	53	195	25	27	1	133	14	92	177	199	53	9	116	0	1	0	51
"2"	53	0	666	28	86	32	19	0	36	11	30	79	55	14	0	49	0	1	0	6
"3"	201	0	144	10	587	107	5	3	56	0	100	152	27	16	16	70	4	3	0	28
"4"	45	0	435	0	431	21	2	0	11	0	37	1	46	2	3	38	0	0	11	5
"5"	184	1	184	350	260	26	29	35	111	24	185	109	91	49	11	157	0	4	0	55
"6"	25	3	234	5	785	95	7	0	79	0	42	41	44	12	0	46	35	0	0	18
"7"	139	0	421	91	151	13	8	2	33	1	69	48	103	8	0	69	0	4	13	8
"8"	89	11	6	647	6	13	8	18	54	0	47	20	100	26	1	42	0	7	0	3
"9"	404	1	226	60	77	105	47	18	130	8	121	109	82	26	1	111	3	0	1	27
"10"	462	0	133	434	48	49	113	12	73	2	167	152	79	37	1	104	0	0	0	41
"11"	538	39	47	173	103	16	17	32	63	0	117	57	125	51	2	129	4	0	1	56
"12"	4	0	1508	2	20	0	13	1	20	0	19	1	0	32	0	22	0	0	0	0
"13"	221	0	697	41	337	37	32	11	69	0	31	91	196	18	0	113	3	9	1	54
"14"	28	0	894	231	7	22	16	3	88	6	112	73	43	14	1	66	0	1	20	21
"15"	253	30	326	153	289	9	23	13	119	1	143	76	99	79	0	111	0	0	0	33
"16"	296	111	101	115	405	80	11	11	79	1	104	118	79	42	0	137	0	0	1	23
"17"	93	0	212	26	238	20	7	5	42	1	96	115	46	40	9	106	19	0	0	22
"18"	205	0	469	231	114	56	44	2	107	11	53	94	122	30	25	154	0	0	0	19
"19"	52	0	71	552	6	0	6	1	32	1	85	56	68	13	3	40	1	0	2	44
"20"	305	53	136	178	171	19	2	5	49	9	102	66	77	30	34	118	4	2	3	37
"21"	261	11	234	12	639	89	10	13	70	5	111	57	54	30	16	124	14	0	0	34
"22"	179	2	296	468	131	3	31	0	137	14	104	105	73	16	9	152	14	1	5	55
"23"	134	10	216	29	418	11	21	13	89	0	29	125	72	5	69	36	10	8	1	17
"24"	220	2	231	68	129	20	16	10	55	0	122	60	114	40	1	45	2	18	0	22
"25"	56	10	30	1606	0	1	4	0	19	0	31	19	21	3	0	40	1	0	0	10
"26"	182	15	86	73	202	8	26	0	132	0	151	127	67	28	13	55	16	0	0	56
