"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"	"taxa81"	"taxa82"	"taxa83"	"taxa84"	"taxa85"	"taxa86"	"taxa87"	"taxa88"	"taxa89"	"taxa90"	"taxa91"	"taxa92"	"taxa93"	"taxa94"	"taxa95"	"taxa96"	"taxa97"	"taxa98"	"taxa99"	"taxa100"	"taxa101"	"taxa102"	"taxa103"	"taxa104"	"taxa105"	"taxa106"	"taxa107"	"taxa108"	"taxa109"	"taxa110"	"taxa111"	"taxa112"	"taxa113"	"taxa114"	"taxa115"	"taxa116"	"taxa117"	"taxa118"	"taxa119"	"taxa120"
"1"	0	0	0	2	0	24	8	0	41	16	269	0	0	38	3	26	9	5	0	3	7	0	0	0	0	38	41	0	0	64	55	13	6	8	0	3	16	7	23	0	1	0	5	0	1	9	0	0	0	35	39	0	0	0	6	0	0	2	27	0	7	7	8	0	0	0	0	6	17	0	0	6	9	0	6	1	0	19	0	0	0	43	41	0	3	0	14	0	6	2	1	0	0	0	0	0	26	4	0	15	37	33	0	1	2	3	1	71	1	25	20	0	5	5	0	1	2	119	31	10
"2"	1	5	0	0	0	19	55	9	0	0	0	0	0	0	11	209	6	43	0	18	37	2	0	0	0	9	3	0	0	31	14	6	20	9	7	0	0	0	24	0	0	10	4	11	0	1	0	0	0	41	12	0	0	9	18	0	0	0	15	0	1	5	3	1	0	0	0	2	0	0	0	14	5	0	12	0	4	45	0	10	0	87	5	0	18	0	0	0	48	1	0	0	0	1	30	2	15	20	23	7	8	3	0	0	0	5	1	25	8	11	4	0	2	0	9	4	5	58	40	92
"3"	6	0	25	8	0	0	6	29	0	16	0	0	5	4	119	173	4	11	8	59	25	0	0	8	3	30	6	0	2	34	24	1	23	14	0	22	0	38	16	0	0	1	2	35	0	21	1	0	0	38	20	2	0	0	7	0	0	0	27	0	2	38	11	5	0	9	1	5	0	0	5	0	35	0	5	0	1	1	0	0	0	19	94	22	14	3	2	5	6	5	0	0	0	0	26	0	0	0	10	12	0	38	0	0	18	15	17	26	0	103	0	0	1	0	0	0	2	45	57	36
"4"	1	1	0	0	78	0	80	25	0	1	0	0	8	27	0	36	65	5	7	30	0	0	0	7	0	26	7	0	0	77	92	1	41	7	0	0	0	1	0	0	0	0	4	9	4	3	1	0	0	51	78	7	0	0	11	0	0	0	39	8	14	2	13	0	0	3	0	7	0	0	1	6	0	0	20	2	0	10	2	0	1	74	28	1	9	6	1	1	17	0	0	0	8	0	113	0	10	19	0	6	68	62	0	0	0	11	3	22	1	2	1	0	50	0	0	4	0	69	35	72
"5"	1	0	0	2	1	0	4	126	0	0	1	39	0	94	6	10	28	18	3	2	2	0	32	0	0	34	16	2	14	67	56	0	57	30	0	0	0	32	18	2	0	0	7	1	0	30	0	0	27	41	58	0	0	0	43	0	10	0	46	0	15	3	1	3	14	7	1	10	0	29	0	17	0	0	56	1	0	104	1	1	4	52	55	0	20	0	31	0	10	0	4	0	7	10	55	0	14	0	11	46	21	40	0	0	4	6	10	33	0	37	0	0	27	0	1	36	0	74	41	57
"6"	0	0	0	5	24	0	1	79	0	2	0	102	14	63	0	5	25	24	12	5	2	1	0	2	1	86	5	0	0	117	66	8	50	20	0	0	2	45	14	17	0	25	6	44	0	15	1	5	1	38	47	0	0	0	5	0	0	0	22	0	14	37	51	0	0	0	0	5	0	0	0	0	0	0	1	13	0	9	5	0	0	36	33	0	77	1	0	0	6	0	0	0	0	1	45	22	6	2	26	19	18	25	0	0	0	15	2	40	0	22	2	0	41	0	0	0	31	90	19	48
"7"	0	1	2	2	0	0	74	0	0	5	4	4	0	45	11	0	61	62	0	130	15	0	45	0	1	51	5	0	0	101	56	3	27	1	3	8	0	61	4	0	6	0	0	2	0	7	0	0	1	24	64	12	21	0	5	0	0	0	30	0	27	10	1	3	0	0	1	18	0	0	2	2	0	0	4	6	19	5	0	1	0	35	81	1	19	0	0	0	33	0	0	0	0	0	17	2	4	1	50	18	24	39	0	0	0	2	10	76	0	9	0	0	29	0	17	0	58	10	28	68
"8"	1	3	1	22	0	0	169	0	74	17	0	14	11	2	15	92	2	32	1	29	7	0	0	2	1	24	43	7	0	93	50	3	27	6	0	0	0	51	2	1	18	0	5	4	1	39	0	4	0	82	94	0	8	0	18	0	0	0	2	0	7	18	0	43	0	0	0	58	0	0	0	4	0	0	5	0	2	3	0	1	0	29	60	0	2	0	18	0	12	0	0	0	0	1	148	0	0	19	4	63	52	13	1	1	1	0	64	25	8	29	0	0	49	0	0	0	6	3	10	105
"9"	0	0	0	2	43	0	14	6	0	42	4	0	0	113	0	2	45	32	0	4	29	0	14	0	0	44	2	29	3	30	6	0	56	13	2	0	0	42	12	0	38	0	0	24	0	18	2	7	0	16	5	0	0	2	11	0	0	0	8	0	0	10	0	0	0	5	0	0	0	0	11	2	2	0	6	0	0	4	7	0	3	52	15	0	14	0	33	17	5	0	0	0	0	0	9	13	5	3	13	0	2	7	0	0	4	4	6	3	7	13	0	0	27	0	0	0	6	56	20	27
"10"	0	0	0	0	27	0	75	126	0	122	10	1	0	171	0	22	53	10	1	54	4	0	0	1	18	14	12	17	0	48	37	11	123	25	0	0	0	37	0	1	0	2	2	0	4	53	2	0	0	38	9	0	0	0	18	5	0	0	51	1	31	74	21	1	0	0	18	2	0	3	0	0	0	0	1	0	1	12	0	0	0	7	33	1	16	0	9	0	12	0	0	0	0	3	3	2	0	0	4	29	39	13	0	37	0	1	40	23	4	23	0	0	24	0	0	6	14	144	64	74
