"taxa1"	"taxa2"	"taxa3"	"taxa4"	"taxa5"	"taxa6"	"taxa7"	"taxa8"	"taxa9"	"taxa10"	"taxa11"	"taxa12"	"taxa13"	"taxa14"	"taxa15"	"taxa16"	"taxa17"	"taxa18"	"taxa19"	"taxa20"	"taxa21"	"taxa22"	"taxa23"	"taxa24"	"taxa25"	"taxa26"	"taxa27"	"taxa28"	"taxa29"	"taxa30"	"taxa31"	"taxa32"	"taxa33"	"taxa34"	"taxa35"	"taxa36"	"taxa37"	"taxa38"	"taxa39"	"taxa40"	"taxa41"	"taxa42"	"taxa43"	"taxa44"	"taxa45"	"taxa46"	"taxa47"	"taxa48"	"taxa49"	"taxa50"	"taxa51"	"taxa52"	"taxa53"	"taxa54"	"taxa55"	"taxa56"	"taxa57"	"taxa58"	"taxa59"	"taxa60"	"taxa61"	"taxa62"	"taxa63"	"taxa64"	"taxa65"	"taxa66"	"taxa67"	"taxa68"	"taxa69"	"taxa70"	"taxa71"	"taxa72"	"taxa73"	"taxa74"	"taxa75"	"taxa76"	"taxa77"	"taxa78"	"taxa79"	"taxa80"
"1"	127	53	0	0	331	8	85	11	0	0	0	3	25	12	0	0	0	3	0	60	4	2	2	24	12	5	194	0	0	46	2	51	2	3	1	61	1	2	0	22	2	0	0	3	37	0	117	0	64	29	47	9	1	4	0	35	2	0	0	6	30	89	11	0	62	0	39	56	0	6	3	63	2	0	101	1	0	0	0	0
"2"	0	55	0	17	101	0	101	0	0	14	0	0	2	17	0	9	0	4	8	39	0	0	13	5	0	0	61	0	1	46	0	95	0	0	3	25	0	19	0	20	6	4	0	0	29	0	95	0	85	4	30	3	3	0	1	2	0	0	5	15	2	41	0	0	10	0	13	128	0	0	6	7	0	9	93	0	20	8	0	0
"3"	72	0	0	0	61	0	6	0	0	19	10	15	4	52	0	5	0	38	3	62	6	2	7	10	10	3	23	0	0	71	1	117	21	0	0	30	0	5	0	14	7	0	30	5	33	0	82	0	44	33	63	20	6	7	60	4	0	0	0	0	20	101	8	0	27	0	12	32	0	1	0	1	7	9	19	0	12	0	0	0
"4"	40	62	0	26	84	0	26	134	0	1	40	1	3	18	0	68	0	10	10	56	40	2	9	3	7	0	44	1	0	175	0	49	0	0	0	6	0	6	2	4	2	0	0	8	17	1	37	0	78	64	46	0	4	1	9	23	0	0	0	9	4	104	0	0	33	0	38	68	0	4	12	17	6	0	32	1	4	0	0	0
"5"	37	0	0	0	5	0	765	0	0	0	4	1	80	1	0	31	0	11	0	59	0	5	1	10	0	0	7	0	0	4	0	28	0	0	0	2	0	0	0	0	7	0	3	0	0	0	41	0	18	7	29	0	0	0	0	5	0	0	0	0	31	6	0	0	10	0	4	36	0	10	0	1	4	0	17	0	0	0	0	0
"6"	132	30	0	1	101	0	498	0	0	4	0	2	1	17	0	0	0	62	4	11	16	0	1	38	5	2	40	0	0	43	0	44	0	0	6	6	0	3	0	25	4	0	10	2	2	0	33	0	53	9	63	0	0	1	0	61	0	3	0	0	17	27	0	0	24	0	19	49	5	0	0	12	14	0	18	0	1	0	0	0
"7"	224	11	3	0	117	2	131	34	2	40	0	0	4	54	0	4	0	31	6	80	0	32	8	0	0	0	39	28	9	15	0	54	15	1	0	22	0	9	0	62	16	0	0	0	14	0	94	3	79	70	11	3	5	1	14	0	0	3	0	0	4	45	1	0	10	0	36	61	30	0	0	3	27	1	63	0	0	0	0	9
"8"	114	42	10	0	145	0	971	0	8	0	0	12	7	11	29	0	0	27	8	46	0	1	41	0	0	7	39	1	0	38	0	109	0	0	0	5	0	0	0	11	0	0	0	0	12	0	23	0	19	35	32	1	0	1	5	6	0	27	0	0	6	11	9	0	18	0	3	20	0	0	0	8	0	8	41	0	8	0	0	0
"9"	134	9	1	0	482	0	14	59	0	3	0	0	8	26	0	5	0	38	2	30	0	0	7	3	27	0	50	0	0	14	17	32	0	53	0	37	0	19	0	43	10	3	0	1	15	1	39	8	80	8	18	2	0	4	8	3	0	0	0	36	35	25	0	0	109	0	1	18	1	24	7	0	0	0	81	0	24	4	0	0
"10"	147	0	0	0	1064	0	0	122	0	0	21	0	2	0	0	0	0	0	0	1	1	1	6	0	0	0	1	0	0	1	0	26	0	0	0	2	0	0	0	11	0	0	0	0	6	0	7	14	26	1	41	0	1	3	0	1	0	0	0	9	7	2	0	0	5	0	2	20	0	2	0	0	16	0	1	0	5	0	0	0
"11"	116	0	19	0	23	0	219	203	0	1	46	0	1	18	0	6	0	13	1	83	8	0	14	13	2	1	87	0	0	14	0	106	3	0	4	65	0	1	7	14	29	5	9	0	31	0	77	1	57	149	79	0	5	22	0	11	1	0	22	7	53	54	0	0	30	0	23	92	0	2	0	2	17	0	59	0	1	0	0	7
"12"	42	19	1	0	160	8	42	0	4	46	16	1	0	1	0	8	0	13	2	45	2	4	8	0	4	0	46	0	0	20	0	50	0	0	17	40	0	10	0	34	6	1	3	19	21	1	67	2	44	24	90	5	0	20	6	2	1	9	6	10	49	61	3	0	27	0	15	99	0	0	4	11	9	0	66	0	0	6	3	0
"13"	67	53	0	3	535	0	67	1	0	17	0	0	26	13	0	0	0	30	9	25	10	0	24	0	1	0	32	0	0	28	0	77	0	0	14	45	0	0	0	12	5	0	0	1	24	0	87	9	120	72	73	4	1	2	0	24	0	10	3	1	18	68	0	1	12	0	50	50	0	2	5	0	5	9	48	0	0	0	1	5
"14"	146	5	1	0	23	0	136	13	0	2	0	0	1	14	0	0	1	25	14	27	2	25	7	3	0	19	94	0	0	38	0	63	0	0	10	31	0	0	0	20	12	2	0	4	29	2	38	1	49	77	51	31	1	0	5	9	3	14	0	0	0	27	0	1	10	17	1	89	0	2	0	19	9	0	51	4	1	0	0	0
"15"	42	83	1	0	696	36	70	14	12	0	40	0	2	0	0	0	0	13	8	29	5	0	7	30	1	0	86	0	0	3	0	34	0	0	0	6	5	2	0	52	0	3	3	0	1	0	37	6	19	45	14	0	0	0	5	6	2	0	0	9	15	29	2	0	3	0	10	2	0	0	3	0	2	1	22	0	3	0	0	0
"16"	82	13	2	0	96	13	53	19	0	0	21	2	9	28	1	0	0	19	7	70	8	1	20	0	4	7	46	1	0	27	0	66	0	0	0	81	0	1	0	27	36	0	1	3	3	0	57	30	113	33	93	1	0	0	5	1	0	0	0	2	11	51	0	0	17	1	25	13	0	0	0	0	4	0	38	9	7	0	0	0
"17"	65	3	4	16	12	0	365	63	0	5	0	0	3	54	3	0	0	16	1	9	14	1	0	0	18	5	31	0	0	38	0	46	0	0	4	28	0	10	0	36	1	39	1	2	16	0	29	8	71	30	54	0	1	2	4	0	1	0	0	5	5	10	0	0	22	0	39	56	0	0	1	0	1	1	27	0	24	0	0	0
"18"	197	39	0	6	160	0	0	10	10	33	14	12	14	1	0	2	0	20	3	77	0	0	11	2	24	0	24	2	0	50	0	70	11	0	0	51	0	0	0	64	3	0	11	0	27	0	41	0	47	57	29	12	0	1	0	1	8	0	0	2	6	77	6	0	14	0	42	79	0	5	26	2	12	2	32	0	7	0	0	0
"19"	16	4	0	0	0	12	309	0	1	0	1	2	68	21	6	5	0	49	12	77	0	0	0	34	0	0	5	37	0	85	0	37	0	6	0	103	0	49	0	12	26	0	24	3	95	0	68	0	78	71	106	2	32	23	0	17	0	2	0	2	7	27	1	0	26	0	19	63	0	0	0	49	29	5	29	0	0	0	0	6
"20"	171	1	24	0	58	15	5	44	0	0	3	1	39	2	0	2	1	10	6	106	13	13	7	1	0	3	28	13	3	9	0	125	0	0	5	33	0	7	0	26	15	0	3	0	12	0	103	0	180	20	101	0	0	0	32	5	4	0	0	33	3	85	1	0	46	0	23	104	0	0	0	0	1	0	69	0	2	0	3	0
"21"	129	4	2	7	97	0	6	289	17	0	110	0	29	17	0	34	0	5	52	61	16	0	43	9	0	0	44	0	8	25	0	53	10	0	2	5	0	10	11	24	0	0	22	0	23	0	62	1	50	40	29	28	0	0	16	4	2	0	0	0	10	59	0	0	16	1	53	82	0	9	4	5	15	3	24	0	19	0	0	0
"22"	30	1	0	5	0	0	199	215	0	1	0	0	2	21	4	0	0	49	1	28	8	0	0	0	34	0	3	1	0	4	0	18	2	0	1	9	0	0	0	31	26	0	0	0	1	0	24	0	83	5	25	0	1	1	5	0	0	0	0	0	0	10	4	0	18	0	30	25	2	0	9	7	36	0	55	0	22	0	0	0
"23"	38	10	0	98	1	0	41	56	0	16	25	0	0	17	0	1	4	21	4	17	4	2	14	11	0	7	79	0	0	45	0	89	24	0	0	49	0	2	0	103	0	4	0	0	4	0	29	1	71	51	65	5	0	2	0	1	0	15	27	12	38	48	0	0	3	0	40	58	1	5	0	13	17	3	31	12	4	0	0	2
"24"	12	13	0	13	20	0	137	31	0	1	2	0	0	26	0	8	0	6	6	71	19	0	13	40	1	0	30	8	0	59	0	123	12	0	0	13	0	6	0	22	1	0	0	0	0	47	71	0	74	54	42	4	0	4	0	27	0	3	16	24	6	63	0	0	56	0	23	10	0	0	0	42	9	3	90	0	3	0	0	0
"25"	38	31	0	0	192	0	82	0	0	0	0	1	12	3	0	17	0	1	2	29	4	1	0	20	2	0	5	0	1	45	0	81	2	0	19	36	0	1	0	13	1	12	3	11	40	0	91	9	14	13	49	3	0	15	1	9	11	1	0	0	2	80	0	0	30	0	48	23	0	0	2	0	14	4	52	0	0	0	0	0
"26"	127	0	19	0	26	8	392	12	0	2	17	0	0	1	0	13	0	29	5	44	0	4	7	3	0	3	11	0	0	10	0	29	0	0	22	38	0	0	0	24	4	0	0	2	8	0	68	0	37	84	38	0	13	17	0	21	0	0	0	1	18	37	0	3	5	0	34	77	18	4	9	23	29	0	28	0	2	2	0	0
"27"	10	14	0	2	15	0	87	3	0	0	0	3	14	17	0	0	2	11	1	35	0	2	8	29	5	3	53	0	0	11	0	31	0	0	0	32	0	9	0	45	14	0	5	12	39	0	33	0	109	20	29	9	8	0	1	6	18	0	2	6	3	96	17	0	13	0	17	60	2	1	0	12	6	2	19	1	0	10	0	2
"28"	29	14	0	0	158	0	0	418	0	0	34	0	34	4	0	1	0	29	7	8	0	0	13	0	31	0	26	0	0	11	0	51	0	2	0	12	3	3	0	32	12	11	11	0	0	0	74	0	28	39	83	21	0	0	1	26	0	0	0	0	1	50	0	5	68	0	11	14	0	1	0	0	4	0	50	0	0	0	0	0
"29"	2	3	0	0	0	32	1130	2	0	2	13	0	0	0	0	17	0	9	1	7	39	0	23	0	7	0	99	0	0	17	0	32	0	0	0	2	1	12	0	5	0	0	0	17	6	0	13	0	39	14	11	91	0	34	3	0	0	0	0	9	0	25	0	0	13	0	48	71	0	0	0	1	8	0	2	0	3	0	4	0
"30"	10	45	0	3	55	64	36	33	127	0	7	0	20	9	0	11	0	30	8	92	0	2	54	13	7	1	83	0	0	52	0	122	1	2	0	75	0	3	0	11	16	0	11	25	7	0	127	0	155	4	41	8	1	0	1	10	3	1	0	9	22	123	0	0	2	0	21	98	1	0	0	3	3	15	10	0	1	0	0	0
"31"	123	3	0	12	840	0	0	6	0	24	11	0	20	4	0	8	0	66	1	24	12	2	11	0	5	0	13	0	0	14	0	35	0	0	28	58	11	6	0	36	1	0	0	0	17	0	82	4	23	21	43	0	0	0	0	0	0	0	2	0	71	83	2	0	2	0	7	49	0	0	0	14	0	0	4	1	0	0	0	11
"32"	4	25	0	3	999	0	0	66	0	55	0	0	1	11	0	10	0	128	37	50	1	0	0	0	1	0	9	0	0	32	0	5	0	0	0	15	0	2	0	8	18	0	0	0	0	0	35	29	24	19	20	1	7	11	2	6	4	0	0	9	11	20	0	0	15	0	31	40	6	0	0	0	0	0	27	0	4	0	0	0
"33"	46	0	0	0	0	0	848	0	0	2	0	0	0	3	0	0	0	1	13	11	6	0	20	1	0	0	8	0	0	14	0	25	0	0	4	6	0	0	0	2	2	0	1	14	6	0	25	0	45	6	4	0	0	3	0	18	0	0	0	0	1	27	0	0	0	0	0	25	0	0	0	0	0	0	5	0	0	0	0	0
"34"	17	15	2	0	2	15	1	169	8	33	4	0	25	25	0	5	0	45	24	150	0	0	35	23	0	0	71	0	0	31	0	46	0	0	8	79	0	14	0	58	7	11	1	0	8	0	170	0	35	31	92	24	0	0	3	3	12	0	0	36	16	61	0	0	69	3	61	122	0	0	30	9	89	1	68	0	0	1	0	1
"35"	67	6	0	0	142	7	0	0	0	222	0	0	2	22	0	3	0	0	0	28	0	0	9	3	1	0	17	0	0	22	0	39	0	0	5	45	0	3	0	16	6	0	9	0	10	0	28	10	13	26	19	14	11	4	0	4	0	0	0	0	1	33	0	0	8	0	10	22	0	30	2	12	0	0	60	0	45	5	0	0
